Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates software engineering agents on real GitHub issues by requiring them to generate a patch that makes the repository’s tests pass, with tasks filtered/validated to be solvable and reliably graded. It emphasizes end-to-end debugging and code modification under realistic project constraints rather than isolated coding puzzles.","L1: Language Comprehension
L2: Planning, Logical Reasoning, Working Memory, Adaptive Error Correction, Decision-making (minor)
L3: ",L2
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a more difficult, more contamination-resistant successor-style benchmark that expands beyond Python and increases task diversity and realism for professional software engineering. Models must diagnose issues, navigate larger codebases, and produce correct multi-file fixes that satisfy automated evaluation criteria.","L1: Language Comprehension
L2: Planning, Logical Reasoning, Working Memory, Adaptive Error Correction
L3: Cognitive Flexibility (minor)",L2
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp evaluates “deep research” behavior where a model must use browsing/search to answer hard questions that require finding and synthesizing information rather than recalling it. It stresses query formulation, evidence selection, and coherent final reporting under tool and time constraints.","L1: Language Production (minor)
L2: Planning, Decision-making, Attention, Semantic Understanding & Context Recognition, Working Memory
L3: ",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-ai-agents,https://arxiv.org/abs/2406.12045,"τ2-bench evaluates interactive agent behavior in simulated customer-support domains (e.g., retail/airline/telecom) where the agent must use tools/APIs while following explicit policies. Success requires managing multi-turn dialogue, executing correct tool actions, and maintaining consistent policy compliance across a conversation.","L1: Language Comprehension
L2: Planning, Decision-making
L3: Social Reasoning & Theory of Mind, Inhibitory Control, Empathy (minor)",L3
ARC-AGI,https://arcprize.org/arc-agi,https://arxiv.org/abs/1911.01547,ARC-AGI tests few-shot abstract reasoning on novel grid transformation puzzles where models infer hidden rules from a small number of examples and apply them to new inputs. It is designed to reduce reliance on memorization and to emphasize flexible induction and compositional generalization.,"L1: 
L2: Logical Reasoning, Working Memory, Spatial Representation & Mapping, Attention (minor)
L3: Cognitive Flexibility",L3
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas measures real-world tool-use via Model Context Protocol servers, requiring models to discover, call, and chain tools correctly across multi-step workflows. It emphasizes reliable API interaction (arguments, schemas, error handling) and synthesis of tool outputs into correct final answers.","L1: Language Comprehension (minor)
L2: Planning, Decision-making, Working Memory, Adaptive Error Correction
L3: ",L2
Humanity’s Last Exam,https://agi.safe.ai/,https://arxiv.org/abs/2501.14249,"Humanity’s Last Exam is a high-difficulty, broad-coverage benchmark intended to probe frontier knowledge and reasoning across many domains, often with multimodal elements. Questions are designed to be challenging for models without robust reasoning, tool use, and careful synthesis.","L1: Language Comprehension
L2: Logical Reasoning, Semantic Understanding & Context Recognition, Working Memory (minor), Multisensory Integration (minor), Scene Understanding & Visual Reasoning (minor)
L3: ",L2
AIME 2025,https://matharena.ai/?view=problem&comp=aime--aime_2025,https://arxiv.org/abs/2505.23281,AIME 2025 consists of competition mathematics problems that require multi-step symbolic reasoning and precise final numeric answers. It is commonly used to measure mathematical problem-solving reliability under strict correctness criteria.,"L1: 
L2: Logical Reasoning, Working Memory, Planning (minor), Adaptive Error Correction (minor)
L3: ",L2
GPQA Diamond,https://artificialanalysis.ai/evaluations/gpqa-diamond,https://arxiv.org/abs/2311.12022,"GPQA Diamond is a carefully curated subset of graduate-level, Google-resistant multiple-choice science questions with high-quality filtering to ensure difficulty and discriminative power. It evaluates deep scientific reasoning and domain knowledge rather than surface pattern matching.","L1: Language Comprehension (minor)
L2: Semantic Understanding & Context Recognition, Logical Reasoning, Working Memory (minor)
L3: ",L2
MMMLU,https://huggingface.co/datasets/openai/MMMLU,https://arxiv.org/abs/2009.03300,"MMMLU extends MMLU-style academic testing to many non-English languages, measuring multilingual knowledge and reasoning across a broad set of subjects. It focuses on whether models preserve competence when comprehension and context must be maintained across languages.","L1: Language Comprehension, Language Production (minor)
L2: Semantic Understanding & Context Recognition, Logical Reasoning (minor)
L3: ",L2
