Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates real-world software engineering by asking a model to generate a code patch that resolves a GitHub issue and passes project tests in a repository-based harness. The Verified split adds human validation that tasks are solvable and that evaluation is reliable, making it a common reference point for agentic coding performance.","L1: Language Comprehension (minor)
L2: Planning, Logical Reasoning, Working Memory, Adaptive Error Correction, Decision-making (minor)
L3: ",L2
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a harder, more contamination-resistant software engineering benchmark that expands task diversity and difficulty and includes multiple programming languages and more realistic engineering constraints. It emphasizes end-to-end codebase understanding, robust patch generation, and higher failure tolerance than SWE-bench Verified.","L1: 
L2: Planning, Logical Reasoning, Working Memory, Adaptive Error Correction, Decision-making (minor)
L3: Cognitive Flexibility",L3
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp evaluates “deep research” style web-browsing agents on questions that typically require searching, reading, and synthesizing evidence from multiple sources rather than recalling a single fact. It stresses iterative retrieval, context management over long browsing trajectories, and citation/grounding discipline when forming final answers.","L1: Language Comprehension (minor)
L2: Planning, Attention, Semantic Understanding & Context Recognition, Working Memory, Decision-making (minor)
L3: ",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-ai-agents,https://arxiv.org/abs/2406.12045,"τ2-bench measures interactive, policy-constrained customer-support agent performance in simulated domains (e.g., retail, airline, telecom) where the model must follow rules while calling APIs/tools over multiple turns. It highlights robustness to user pressure, tool/API correctness, and consistent policy adherence across long dialogues.","L1: Language Production, Language Comprehension (minor)
L2: Decision-making, Planning
L3: Social Reasoning & Theory of Mind, Inhibitory Control",L3
ARC-AGI,https://arcprize.org/arc-agi,https://arxiv.org/abs/1911.01547,ARC-AGI tests few-shot abstraction and pattern induction on grid-based tasks where the underlying rule must be inferred from only a handful of input–output examples. It is designed to emphasize novel reasoning and generalization to unseen transformations rather than memorization or broad factual knowledge.,"L1: Visual Perception (minor)
L2: Logical Reasoning, Working Memory, Spatial Representation & Mapping, Attention (minor)
L3: Cognitive Flexibility",L3
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas evaluates tool-use via the Model Context Protocol by requiring models to discover, invoke, and chain real tools across multi-step workflows while handling errors and retries. The benchmark focuses on correctness of tool selection and calling, and on synthesizing final outputs from tool results in production-like settings.","L1: Language Comprehension (minor), Language Production (minor)
L2: Planning, Decision-making, Adaptive Error Correction, Working Memory
L3: ",L2
Humanity’s Last Exam,https://agi.safe.ai/,https://arxiv.org/abs/2501.14249,"Humanity’s Last Exam (HLE) is a frontier-level, often multimodal benchmark intended to probe advanced reasoning and knowledge across difficult, expert-facing questions. It is commonly evaluated both with and without external tools (e.g., search, code execution) to separate core reasoning from tool-augmented problem solving.","L1: Language Comprehension
L2: Logical Reasoning, Semantic Understanding & Context Recognition, Scene Understanding & Visual Reasoning (minor), Multisensory Integration (minor), Working Memory (minor)
L3: ",L2
AIME 2025,https://matharena.ai/?view=problem&comp=aime--aime_2025,https://arxiv.org/abs/2505.23281,"AIME 2025 consists of competition-style math problems that require multi-step derivations, algebraic manipulation, and careful error checking under time-like constraints. It is widely used to assess mathematical reasoning without relying on tool execution (though some reports also include tool-enabled variants).","L1: 
L2: Logical Reasoning, Working Memory, Planning (minor), Adaptive Error Correction (minor)
L3: ",L2
GPQA Diamond,https://artificialanalysis.ai/evaluations/gpqa-diamond,https://arxiv.org/abs/2311.12022,"GPQA Diamond is a high-quality subset of challenging, “Google-proof” graduate-level science multiple-choice questions curated to be difficult for non-experts and resistant to shallow retrieval. It measures scientific reasoning and careful reading more than broad trivia recall, with strong emphasis on selecting the best-supported option.","L1: Language Comprehension
L2: Semantic Understanding & Context Recognition, Logical Reasoning, Working Memory (minor), Decision-making (minor)
L3: ",L2
MMMLU,https://huggingface.co/datasets/openai/MMMLU,https://arxiv.org/abs/2009.03300,"MMMLU extends MMLU-style knowledge-and-reasoning questions to many non-English languages, testing whether a model can maintain competence across languages and subjects. It probes multilingual generalization, instruction/question understanding, and consistent reasoning under language shifts.","L1: Language Comprehension
L2: Semantic Understanding & Context Recognition, Logical Reasoning (minor), Working Memory (minor)
L3: Cognitive Flexibility",L3
