Benchmark,Website,Paper,Description,Cognitive Functions
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 evaluates agentic performance on real command-line tasks (e.g., inspecting repositories, running programs, manipulating files, and using CLI tools) under an agent harness. Success depends on producing correct sequences of shell actions and recovering from tool/runtime errors rather than only answering in natural language.","Planning, Adaptive Error Correction, Working Memory, Decision-making, Language Comprehension (minor), Language Production (minor)"
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp measures “deep research” by requiring models to answer difficult questions using web-style information retrieval, often with evidence spread across sources. It emphasizes iterative search, reading, synthesis, and deciding when sufficient evidence has been gathered to finalize an answer.","Semantic Understanding & Context Recognition, Language Comprehension, Planning, Decision-making, Attention, Working Memory"
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld evaluates multimodal computer-use agents performing tasks inside a desktop operating system environment, such as navigating GUIs, editing files, and using applications. It tests whether an agent can perceive screen states, choose appropriate UI actions, and complete multi-step goals under realistic interaction constraints.","Visual Perception, Scene Understanding & Visual Reasoning, Sensorimotor Coordination, Planning, Adaptive Error Correction, Attention (minor), Decision-making (minor)"
ARC-AGI,https://arcprize.org/arc-agi,https://arxiv.org/abs/1911.01547,"ARC-AGI is a fluid intelligence benchmark where systems infer latent rules from a few input-output grid examples and produce the correct output for a new grid. It targets generalization to novel puzzles with minimal examples, stressing abstraction rather than memorization of task families.","Logical Reasoning, Cognitive Flexibility, Working Memory, Spatial Representation & Mapping, Visual Perception (minor)"
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon agent coherence and strategy in a simulated year-long vending-machine business. Agents must manage inventory, pricing, supplier interactions, and budget constraints over many decisions, so success reflects sustained planning and adaptation over time.","Planning, Decision-making, Reward Mechanisms, Working Memory, Adaptive Error Correction (minor), Self-reflection (minor)"
CyberGym,https://www.cybergym.io/,https://arxiv.org/abs/2506.02548,"CyberGym evaluates cybersecurity capabilities across large numbers of tasks, including identifying known vulnerabilities in real software and discovering new ones. It stresses reading technical context, forming hypotheses about bugs/exploits, and iteratively testing fixes or proof-of-concepts.","Logical Reasoning, Planning, Adaptive Error Correction, Working Memory, Semantic Understanding & Context Recognition"
SpreadsheetBench,https://spreadsheetbench.github.io/,https://arxiv.org/abs/2406.14991,"SpreadsheetBench measures an agent’s ability to understand, navigate, and manipulate complex spreadsheets derived from realistic scenarios. Tasks often require multi-step transformations, formula reasoning, and careful bookkeeping to avoid subtle consistency errors.","Working Memory, Logical Reasoning, Planning, Attention (minor), Adaptive Error Correction (minor)"
Humanity’s Last Exam,https://agi.safe.ai/,https://arxiv.org/abs/2501.14249,"Humanity’s Last Exam is a large, frontier-difficulty benchmark spanning many academic domains with an emphasis on expert-level reasoning and (in some settings) multimodal understanding. It is designed to be hard to solve via shallow pattern matching, stressing synthesis and rigorous problem solving across topics.","Logical Reasoning, Semantic Understanding & Context Recognition, Working Memory, Language Comprehension, Visual Perception (minor)"
GPQA Diamond,https://artificialanalysis.ai/evaluations/gpqa-diamond,https://arxiv.org/abs/2311.12022,"GPQA Diamond is a high-quality subset of very difficult, graduate-level multiple-choice science questions intended to resist simple web lookup. It probes deep scientific understanding and careful reasoning under distractors that can trap superficial strategies.","Logical Reasoning, Semantic Understanding & Context Recognition, Working Memory, Language Comprehension (minor)"
MMMU-Pro,https://mmmu-benchmark.github.io/,https://arxiv.org/abs/2409.02813,"MMMU-Pro is a multimodal benchmark covering many disciplines where questions require reasoning over images (diagrams, plots, screenshots) combined with text. It emphasizes integrating visual evidence with domain knowledge to select or generate correct answers.","Multisensory Integration, Visual Perception, Scene Understanding & Visual Reasoning, Logical Reasoning, Working Memory (minor), Visual Attention & Eye Movements (minor)"
