Benchmark,Website,Paper,Description,Cognitive Functions
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates an agent’s ability to resolve real-world software engineering issues by generating patches in actual GitHub repositories and passing the associated tests. The “Verified” subset focuses on tasks that have been validated as solvable and uses an execution-based grading setup, emphasizing end-to-end debugging and code modification rather than only answering questions about code.","Planning, Logical Reasoning, Working Memory, Adaptive Error Correction, Semantic Understanding & Context Recognition, Language Comprehension (minor), Decision-making (minor)"
SWE-bench Multilingual,https://www.swebench.com/multilingual.html,https://arxiv.org/abs/2504.21798,"SWE-bench Multilingual extends the SWE-bench paradigm beyond Python to multiple programming languages, testing whether agents can localize, modify, and validate fixes across diverse ecosystems. It emphasizes robustness to different build systems, language idioms, and tooling conventions while maintaining the same repository-level, test-driven notion of correctness.","Planning, Logical Reasoning, Adaptive Error Correction, Cognitive Flexibility, Working Memory (minor), Semantic Understanding & Context Recognition (minor)"
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a more challenging, broader software engineering benchmark intended to be more contamination-resistant and industrially relevant, with a larger and harder task set spanning multiple languages. It stresses long-horizon repository understanding, correct integration with project constraints, and reliable patch generation under realistic evaluation harnesses.","Planning, Decision-making, Adaptive Error Correction, Logical Reasoning, Cognitive Flexibility, Working Memory"
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 evaluates agents operating in a command-line environment on realistic tasks such as installing dependencies, running programs, diagnosing failures, and manipulating files and processes. Success depends on choosing effective shell actions, interpreting system feedback, and iterating toward a working state under resource and time constraints.","Planning, Decision-making, Adaptive Error Correction, Working Memory, Language Comprehension (minor), Sensorimotor Coordination (minor)"
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp measures a model’s ability to perform deep, multi-step information-seeking using browsing or search tools, typically requiring synthesis across multiple documents. It targets agentic research behaviors like query refinement, evidence tracking, and producing grounded answers rather than relying on parametric recall alone.","Planning, Attention, Semantic Understanding & Context Recognition, Working Memory, Episodic Memory (minor), Decision-making (minor), Language Production (minor)"
τ2-bench,https://sierra.ai/uk/blog/benchmarking-ai-agents,https://arxiv.org/abs/2406.12045,"τ2-bench (tau2-bench) evaluates interactive customer-support agents that must follow domain policies while using tools/APIs in multi-turn conversations (e.g., retail, airline, telecom). It emphasizes consistent policy adherence, correct tool invocation over long dialogs, and user-aligned resolution strategies under constraints and exceptions.","Social Reasoning & Theory of Mind, Inhibitory Control, Planning, Decision-making, Working Memory, Language Comprehension, Language Production, Empathy (minor)"
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld evaluates multimodal computer-use agents that complete tasks in a full operating-system environment by perceiving screens and executing actions (mouse/keyboard-like operations via tools). It tests the ability to navigate GUIs, locate relevant interface elements, and execute correct multi-step workflows in dynamic, partially observable settings.","Visual Perception, Visual Attention & Eye Movements, Scene Understanding & Visual Reasoning, Planning, Decision-making, Working Memory, Sensorimotor Coordination"
ARC-AGI,https://arcprize.org/arc-agi,https://arxiv.org/abs/1911.01547,ARC-AGI is a “fluid intelligence” benchmark based on abstract grid transformation tasks where the model must infer latent rules from only a few examples and apply them to novel inputs. It is designed to stress generalization to unfamiliar pattern-composition problems rather than learned domain knowledge.,"Logical Reasoning, Spatial Representation & Mapping, Scene Understanding & Visual Reasoning, Working Memory, Cognitive Flexibility, Attention (minor)"
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon agent coherence and decision-making by simulating management of a vending-machine business over an extended time period. Agents must plan procurement and pricing, negotiate or communicate with suppliers (often via email-like interactions), manage inventory, and adapt strategies as conditions change.","Planning, Decision-making, Reward Mechanisms, Working Memory, Episodic Memory (minor), Self-reflection (minor), Motivational Drives (minor)"
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas measures real-world tool-use performance via the Model Context Protocol, focusing on selecting appropriate tools, calling them with correct arguments, handling errors, and composing multi-step workflows. It evaluates whether agents can reliably integrate tool outputs into final answers under production-like API interactions.","Planning, Decision-making, Working Memory, Adaptive Error Correction, Language Comprehension (minor), Semantic Understanding & Context Recognition (minor)"
