Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates software engineering agents on real GitHub issues by requiring them to produce a code patch that makes a failing test suite pass. The “Verified” subset consists of tasks validated by humans to be solvable and to have reliable evaluation signals, aiming to reduce noise and reward genuine debugging and implementation skill.","L1: Language Comprehension (minor), Language Production (minor)
L2: Planning, Decision-making, Logical Reasoning, Working Memory, Adaptive Error Correction
L3: ",L2
SWE-bench Multilingual,https://www.swebench.com/multilingual.html,https://arxiv.org/abs/2504.21798,"SWE-bench Multilingual extends SWE-bench-style issue resolution to multiple programming languages, measuring whether agents can transfer software engineering competence beyond Python. Tasks still require end-to-end repository understanding, patch creation, and passing tests, while introducing additional complexity from language- and ecosystem-specific tooling.","L1: 
L2: Planning, Decision-making, Logical Reasoning, Working Memory, Semantic Understanding & Context Recognition, Adaptive Error Correction
L3: Cognitive Flexibility",L3
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a larger and harder software engineering benchmark designed to be more representative of professional, industrial code maintenance and feature work across multiple languages. It emphasizes robustness to contamination and requires stronger long-horizon reasoning over large codebases, dependency ecosystems, and evaluation harnesses.","L1: 
L2: Planning, Decision-making, Logical Reasoning, Working Memory, Semantic Understanding & Context Recognition, Adaptive Error Correction
L3: Cognitive Flexibility",L3
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 evaluates agentic performance in realistic command-line environments, where models must choose and execute sequences of shell commands to complete tasks. It measures operational competence such as troubleshooting, environment navigation, iterative debugging, and using tooling under resource and step constraints.","L1: Language Comprehension (minor)
L2: Planning, Decision-making, Working Memory, Adaptive Error Correction, Logical Reasoning, Attention (minor)
L3: ",L2
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp evaluates “deep research” style browsing agents by asking questions whose answers require searching, synthesizing, and verifying information across multiple sources. The benchmark stresses tool-mediated information foraging, evidence integration, and resisting plausible but unsupported conclusions.","L1: Language Production (minor)
L2: Planning, Decision-making, Semantic Understanding & Context Recognition, Episodic Memory, Working Memory, Attention
L3: ",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-ai-agents,https://arxiv.org/abs/2406.12045,"τ2-bench measures interactive agent performance in multi-turn customer-support-like settings where the agent must use tools/APIs while following domain policies (e.g., retail, airline, telecom). It tests whether an agent can maintain state across a dialogue, choose compliant actions, and reliably execute tool calls to resolve the user’s issue.","L1: Language Comprehension, Language Production
L2: Decision-making, Planning, Working Memory
L3: Social Reasoning & Theory of Mind, Inhibitory Control, Empathy (minor)",L3
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld evaluates multimodal computer-use agents on operating-system tasks (e.g., using apps, navigating UIs, editing content) under step limits. It stresses perception of screen state, grounding language instructions in UI elements, and planning action sequences with recovery from UI or tool errors.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Visual Attention & Eye Movements, Sensorimotor Coordination, Planning, Decision-making, Working Memory, Adaptive Error Correction
L3: ",L2
ARC-AGI,https://arcprize.org/arc-agi,https://arxiv.org/abs/1911.01547,"ARC-AGI is a fluid-intelligence benchmark where systems infer latent transformation rules from a few input–output grid examples and generalize to new inputs. It aims to minimize reliance on memorized knowledge by emphasizing novel, abstract pattern induction and compositional reasoning.","L1: Visual Perception
L2: Logical Reasoning, Working Memory, Spatial Representation & Mapping, Scene Understanding & Visual Reasoning
L3: Cognitive Flexibility",L3
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon agent coherence by simulating a vending-machine business over an extended period, scoring final profit/balance after many decisions. Success requires sustained strategic planning, adaptive inventory and pricing choices, and robust handling of changing conditions and constraints.","L1: 
L2: Planning, Decision-making, Reward Mechanisms, Episodic Memory, Working Memory, Adaptive Error Correction (minor)
L3: Motivational Drives (minor)",L2
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas assesses tool-use via the Model Context Protocol by requiring models to discover, invoke, and compose real tools across multi-step workflows. It emphasizes correct API selection and parameterization, handling intermediate failures, and synthesizing results into accurate end outputs.","L1: Language Comprehension (minor), Language Production (minor)
L2: Planning, Decision-making, Working Memory, Semantic Understanding & Context Recognition, Adaptive Error Correction
L3: ",L2
