Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates software engineering agents on real GitHub issues where the model must produce a code patch that makes the repository’s tests pass. The “Verified” subset consists of tasks that have been human-validated as solvable, emphasizing reliability of automated evaluation via unit tests.","L1: Language Comprehension
L2: Planning, Logical Reasoning, Adaptive Error Correction, Working Memory (minor), Decision-making (minor)
L3: ",L2
SWE-bench Multilingual,https://www.swebench.com/multilingual.html,https://arxiv.org/abs/2504.21798,"SWE-bench Multilingual extends SWE-bench to multiple programming languages, requiring models to resolve real-world issues across diverse language ecosystems and tooling conventions. It emphasizes cross-language generalization, code understanding, and patch generation under varying build/test workflows.","L1: Language Comprehension
L2: Planning, Logical Reasoning, Adaptive Error Correction, Semantic Understanding & Context Recognition (minor)
L3: Cognitive Flexibility",L3
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a larger, more difficult software engineering benchmark designed to better reflect industrial complexity and to be more resistant to contamination and shortcutting. It typically requires deeper repo understanding, longer dependency chains, and more robust debugging than SWE-bench Verified.","L1: Language Comprehension
L2: Planning, Logical Reasoning, Adaptive Error Correction, Working Memory (minor)
L3: Inhibitory Control (minor)",L2
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 measures how well an agent can complete realistic tasks in a command-line environment, such as installing dependencies, manipulating files, running programs, and debugging failures. It stresses iterative interaction with a tool (the shell) under resource and state constraints typical of real systems.","L1: Language Comprehension (minor)
L2: Planning, Decision-making, Adaptive Error Correction, Working Memory, Attention (minor)
L3: ",L2
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp evaluates deep research and browsing agents on questions that require gathering and synthesizing evidence from many documents rather than relying on memorized facts. It is designed to test search strategy, source integration, and faithful citation-like grounding over multi-step information-seeking episodes.","L1: Language Production (minor)
L2: Planning, Semantic Understanding & Context Recognition, Working Memory, Decision-making, Episodic Memory (minor)
L3: ",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-ai-agents,https://arxiv.org/abs/2406.12045,"τ2-bench measures agentic customer-support performance in simulated domains (e.g., retail, airline, telecom) where models must converse with a user and call APIs while adhering to domain policies. It emphasizes multi-turn procedural compliance, tool-use reliability, and resolving user goals under constraints.","L1: Language Comprehension, Language Production
L2: Decision-making, Planning
L3: Social Reasoning & Theory of Mind, Inhibitory Control (minor), Empathy (minor)",L3
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld evaluates multimodal “computer use” agents that must operate a desktop-like environment to complete tasks via GUI interactions, often using screenshots and action tools (click, type, scroll). It probes end-to-end perception-action loops, including interpreting interfaces and executing multi-step procedures.","L1: Visual Perception
L2: Visual Attention & Eye Movements, Sensorimotor Coordination, Planning, Decision-making, Adaptive Error Correction (minor)
L3: ",L2
ARC-AGI,https://arcprize.org/arc-agi,https://arxiv.org/abs/1911.01547,"ARC-AGI tests fluid reasoning by asking models to infer latent rules from a small number of input-output grid examples and then apply the inferred transformation to a new grid. It aims to minimize reliance on prior knowledge, focusing on novel pattern discovery and systematic generalization.","L1: 
L2: Logical Reasoning, Working Memory, Spatial Representation & Mapping, Scene Understanding & Visual Reasoning (minor)
L3: Cognitive Flexibility",L3
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon autonomous agency by simulating operation of a vending machine business over extended time, scoring outcomes like final balance. Success requires sustained coherence, strategic adaptation to market dynamics, and consistent execution across many sequential decisions.","L1: 
L2: Planning, Decision-making, Reward Mechanisms, Working Memory, Episodic Memory (minor)
L3: Self-reflection (minor)",L2
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas assesses real-world tool use via the Model Context Protocol, requiring models to discover tools, execute multi-step workflows across MCP servers, and integrate results into correct final answers. It stresses correct API invocation, error recovery, and coordination across heterogeneous tools and data sources.","L1: Language Comprehension (minor)
L2: Planning, Decision-making, Adaptive Error Correction, Working Memory (minor)
L3: ",L2
FinanceAgent,https://www.vals.ai/benchmarks/finance_agent,,"FinanceAgent evaluates agent performance on tasks resembling entry-level financial analyst work, such as financial modeling, document-driven analysis, and producing justified recommendations. It emphasizes domain-specific reasoning, structured output quality, and accurate integration of numbers and assumptions.","L1: Language Production (minor)
L2: Logical Reasoning, Semantic Understanding & Context Recognition, Decision-making, Planning (minor), Working Memory (minor)
L3: ",L2
CyberGym,https://www.cybergym.io/,https://arxiv.org/abs/2506.02548,"CyberGym evaluates cybersecurity agent capability on large-scale vulnerability tasks, including identifying known vulnerabilities from descriptions and discovering new issues in real software projects. It emphasizes rigorous technical reasoning, careful reading of codebases, and iterative debugging/testing under realistic constraints.","L1: 
L2: Logical Reasoning, Planning, Adaptive Error Correction, Attention (minor), Working Memory (minor)
L3: Inhibitory Control (minor)",L2
SpreadsheetBench,https://spreadsheetbench.github.io/,https://arxiv.org/abs/2406.14991,"SpreadsheetBench measures how well agents can navigate, manipulate, and compute within complex spreadsheets derived from realistic scenarios. Tasks often require multi-step transformations, formula reasoning, and consistent handling of structured tabular data under tool-based execution.","L1: 
L2: Planning, Working Memory, Logical Reasoning, Adaptive Error Correction, Attention (minor), Decision-making (minor)
L3: ",L2
Humanity’s Last Exam,https://agi.safe.ai/,https://arxiv.org/abs/2501.14249,"Humanity’s Last Exam is a challenging multimodal benchmark intended to probe frontier knowledge and reasoning across many disciplines, with questions designed to be difficult for both models and non-expert humans. It stresses robust reasoning, careful interpretation of prompts (and sometimes images), and avoiding overconfident hallucinated answers.","L1: Language Comprehension, Visual Perception (minor)
L2: Logical Reasoning, Semantic Understanding & Context Recognition, Working Memory (minor), Scene Understanding & Visual Reasoning (minor)
L3: ",L2
AIME 2025,https://matharena.ai/?view=problem&comp=aime--aime_2025,https://arxiv.org/abs/2505.23281,"AIME 2025 consists of competition-level mathematics problems that require multi-step symbolic reasoning and careful constraint handling. Performance reflects an agent’s ability to plan solution paths, maintain intermediate states, and execute error-free derivations under time-pressured-style problem formats.","L1: 
L2: Logical Reasoning, Working Memory, Planning (minor), Adaptive Error Correction (minor)
L3: ",L2
GPQA Diamond,https://artificialanalysis.ai/evaluations/gpqa-diamond,https://arxiv.org/abs/2311.12022,"GPQA Diamond is a high-difficulty, graduate-level multiple-choice science benchmark designed to be resistant to simple web search and shallow pattern matching. The “Diamond” subset focuses on high-quality questions where experts succeed and non-experts frequently fail, emphasizing deep conceptual understanding and careful reasoning.","L1: 
L2: Semantic Understanding & Context Recognition, Logical Reasoning, Working Memory (minor), Decision-making (minor)
L3: ",L2
MMMLU,https://huggingface.co/datasets/openai/MMMLU,https://arxiv.org/abs/2009.03300,"MMMLU is a multilingual extension of broad academic knowledge testing across many subjects, evaluating both knowledge and reasoning in multiple languages. It measures cross-lingual generalization and robustness to linguistic variation in questions and answer options.","L1: Language Comprehension, Language Production (minor)
L2: Semantic Understanding & Context Recognition, Logical Reasoning
L3: Cognitive Flexibility (minor)",L2
MMMU,https://mmmu-benchmark.github.io/,https://arxiv.org/abs/2311.16502,"MMMU is a large-scale multimodal benchmark spanning many disciplines where models must answer questions grounded in images (diagrams, charts, screenshots) plus text. It targets integrated vision-language reasoning and the ability to extract and manipulate information from diverse visual formats.","L1: Visual Perception, Language Comprehension
L2: Scene Understanding & Visual Reasoning, Multisensory Integration, Working Memory (minor), Attention (minor)
L3: ",L2
