Benchmark,Website,Paper,Description,Cognitive Functions
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates software engineering agents on real GitHub issues by requiring them to generate a patch that makes a project’s tests pass. The “Verified” subset contains tasks confirmed by human engineers to be solvable, emphasizing end-to-end debugging and codebase modification under realistic constraints.","Planning, Adaptive Error Correction, Logical Reasoning, Working Memory, Language Comprehension (minor), Language Production (minor)"
SWE-bench Multilingual,https://www.swebench.com/multilingual.html,https://arxiv.org/abs/2504.21798,"SWE-bench Multilingual extends SWE-bench-style issue-to-patch evaluation beyond Python to multiple programming languages, measuring whether agents can apply software engineering skill across diverse ecosystems. It emphasizes adapting debugging and patching strategies to different tooling, idioms, and build/test setups.","Cognitive Flexibility, Planning, Adaptive Error Correction, Logical Reasoning, Working Memory, Language Comprehension (minor), Language Production (minor)"
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a more difficult and more contamination-resistant software engineering benchmark where models must produce correct patches for realistic issues across multiple languages and repositories. It targets industrially relevant engineering behaviors like complex debugging, refactoring, and respecting project conventions under stricter evaluation conditions.","Planning, Adaptive Error Correction, Logical Reasoning, Working Memory, Cognitive Flexibility, Inhibitory Control (minor)"
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 evaluates agents on real tasks performed in a command-line environment, such as installing dependencies, manipulating files, running programs, and diagnosing failures. It measures reliable tool use and iterative problem-solving when feedback arrives through logs, exit codes, and partial outputs.","Planning, Decision-making, Adaptive Error Correction, Working Memory, Logical Reasoning, Inhibitory Control (minor)"
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp evaluates “deep research” agents that must search, read, and synthesize information across many documents to answer difficult questions, often requiring multi-step evidence gathering. It emphasizes selecting good queries, tracking provenance, and integrating disparate facts into a final response.","Planning, Attention, Decision-making, Semantic Understanding & Context Recognition, Working Memory, Episodic Memory (minor), Language Production (minor)"
τ2-bench,https://sierra.ai/uk/blog/benchmarking-ai-agents,https://arxiv.org/abs/2406.12045,"τ2-bench measures interactive agent performance in simulated customer-support domains (e.g., retail, airline, telecom) where the agent must use tools/APIs while following domain policies over multiple turns. It stresses policy adherence, robust conversation control, and correct tool invocation under changing user goals and constraints.","Decision-making, Planning, Inhibitory Control, Social Reasoning & Theory of Mind, Language Comprehension, Language Production, Empathy (minor)"
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld evaluates multimodal computer-use agents that must complete tasks inside an operating-system desktop environment (apps, windows, settings) within a step budget. It tests whether an agent can perceive UI state, choose actions (click/type/scroll), recover from errors, and finish long tool chains.","Visual Perception, Scene Understanding & Visual Reasoning, Visual Attention & Eye Movements, Sensorimotor Coordination, Planning, Decision-making, Adaptive Error Correction, Working Memory (minor)"
ARC-AGI,https://arcprize.org/arc-agi,https://arxiv.org/abs/1911.01547,"ARC-AGI tests fluid reasoning on abstract grid transformation puzzles where only a few input-output examples are provided, and models must infer the hidden rule. It is designed to reduce reliance on memorized knowledge and to emphasize generalization, compositional pattern discovery, and rule induction.","Logical Reasoning, Cognitive Flexibility, Working Memory, Spatial Representation & Mapping, Scene Understanding & Visual Reasoning, Planning (minor)"
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon agent coherence by simulating management of a vending-machine business over an extended period, with many sequential decisions affecting final profit. It probes sustained strategy, adaptation to market dynamics, and consistent execution of multi-step operational workflows.","Planning, Decision-making, Reward Mechanisms, Adaptive Error Correction, Working Memory, Motivational Drives (minor), Self-reflection (minor)"
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas measures real-world tool use through the Model Context Protocol, requiring models to discover relevant tools, call them with correct arguments, handle errors, and synthesize results across multi-step workflows. The benchmark targets robust “tool-using agent” behavior in production-like API environments.","Planning, Decision-making, Adaptive Error Correction, Working Memory, Language Comprehension (minor), Language Production (minor)"
