Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro evaluates models on realistic software engineering issues drawn from real repositories, where the model must produce patches that satisfy hidden tests. Compared with easier coding evals, it emphasizes longer problem statements, multi-file changes, and robustness against superficial pattern matching, making it a stronger proxy for professional coding work.","L1: Language Comprehension, Language Production
L2: Semantic Understanding & Context Recognition, Logical Reasoning, Planning, Decision-making, Working Memory, Adaptive Error Correction
L3: ",L2
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld evaluates multimodal “computer use” agents that must complete tasks by interacting with a desktop operating system (e.g., navigating GUIs, opening apps, editing files) based on visual observations. It tests whether models can translate natural-language goals into sequences of grounded UI actions while coping with interface variability and errors.","L1: Visual Perception, Language Comprehension
L2: Scene Understanding & Visual Reasoning, Visual Attention & Eye Movements, Planning, Decision-making, Sensorimotor Coordination, Spatial Representation & Mapping, Working Memory, Adaptive Error Correction
L3: ",L2
ARC-AGI,https://arcprize.org/arc-agi,https://arxiv.org/abs/1911.01547,"ARC-AGI measures fluid, few-shot abstract reasoning on grid-based puzzles: given a small set of input–output examples, models must infer the underlying rule and generate the correct output for a new input. It is designed to reward compositional rule induction and generalization rather than memorization of domain knowledge.","L1: 
L2: Logical Reasoning, Working Memory, Spatial Representation & Mapping, Scene Understanding & Visual Reasoning, Planning, Attention
L3: Cognitive Flexibility",L3
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon agent performance in a simulated vending-machine business over an extended period, requiring many sequential decisions (pricing, inventory, supplier negotiation) to maximize final balance. The benchmark stresses sustained coherence, strategic adaptation to changing conditions, and avoiding compounding errors over time.","L1: Language Comprehension, Language Production
L2: Planning, Decision-making, Working Memory, Reward Mechanisms, Adaptive Error Correction, Semantic Understanding & Context Recognition
L3: ",L2
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas evaluates real-world tool use through the Model Context Protocol (MCP), where models must discover, invoke, and chain API-like tools to complete tasks in production-like environments. It emphasizes correct tool selection, parameterization, multi-step workflow execution, and recovery from tool or environment errors.","L1: Language Comprehension, Language Production
L2: Planning, Decision-making, Semantic Understanding & Context Recognition, Working Memory, Adaptive Error Correction
L3: Inhibitory Control",L3
CyberGym,https://www.cybergym.io/,https://arxiv.org/abs/2506.02548,"CyberGym evaluates agentic cybersecurity capability across large-scale tasks including identifying known vulnerabilities from descriptions and, in some settings, discovering new ones in real open-source codebases. It stresses code comprehension, hypothesis-driven debugging, and iterative testing with real tooling constraints.","L1: Language Comprehension
L2: Semantic Understanding & Context Recognition, Logical Reasoning, Planning, Decision-making, Working Memory, Adaptive Error Correction
L3: ",L2
Humanity’s Last Exam,https://agi.safe.ai/,https://arxiv.org/abs/2501.14249,"Humanity’s Last Exam is a multimodal benchmark at the frontier of academic and professional knowledge, spanning difficult questions that often require multi-step reasoning and careful interpretation. Variants may allow tools (e.g., search or code) to test end-to-end problem solving and verification behaviors under realistic conditions.","L1: Language Comprehension, Visual Perception
L2: Logical Reasoning, Semantic Understanding & Context Recognition, Working Memory, Scene Understanding & Visual Reasoning, Planning, Decision-making
L3: ",L2
GPQA Diamond,https://artificialanalysis.ai/evaluations/gpqa-diamond,https://arxiv.org/abs/2311.12022,"GPQA Diamond is a high-quality subset of extremely challenging, graduate-level multiple-choice science questions intended to be resistant to shallow lookup strategies. It primarily tests deep conceptual understanding and reasoning in physics, chemistry, and biology under tight answer constraints.","L1: Language Comprehension
L2: Semantic Understanding & Context Recognition, Logical Reasoning, Working Memory, Decision-making
L3: ",L2
MMMU-Pro,https://mmmu-benchmark.github.io/,https://arxiv.org/abs/2409.02813,"MMMU-Pro is a difficult multimodal benchmark covering many disciplines where models must answer questions that combine text with images such as diagrams, plots, and complex visual layouts. It targets higher-level multimodal reasoning rather than simple recognition, including interpreting figures and integrating multiple evidence sources.","L1: Visual Perception, Language Comprehension
L2: Visual Attention & Eye Movements, Scene Understanding & Visual Reasoning, Multisensory Integration, Logical Reasoning, Working Memory
L3: ",L2
OmniDocBench 1.5,https://github.com/opendatalab/OmniDocBench,https://arxiv.org/abs/2412.07626,"OmniDocBench 1.5 evaluates document understanding and OCR-centric capabilities across heterogeneous content, including text, tables, formulas, and reading order. It tests whether a model can accurately extract and structure information from realistic documents with challenging layouts.","L1: Visual Perception, Language Comprehension
L2: Visual Attention & Eye Movements, Scene Understanding & Visual Reasoning, Semantic Understanding & Context Recognition, Working Memory
L3: ",L2
