Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,SWE-bench Verified evaluates software engineering agents by asking them to produce code patches that resolve real issues in open-source repositories. The “Verified” subset consists of tasks confirmed by human annotators to be solvable and is typically graded by running repository tests to check whether the patch fixes the issue without breaking other behavior.,"L1: Language Comprehension
L2: Planning, Decision-making, Logical Reasoning, Working Memory, Adaptive Error Correction
L3: ",L2
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 tests agentic performance in a command-line environment, where a model must complete practical tasks by executing shell commands and manipulating files. It emphasizes iterative troubleshooting under tool feedback (stdout/stderr) and rewards agents that can reliably reach correct end states rather than merely describing solutions.","L1: Language Comprehension
L2: Planning, Decision-making, Adaptive Error Correction, Working Memory
L3: ",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-ai-agents,https://arxiv.org/abs/2406.12045,"τ2-bench measures how well an agent handles multi-turn customer-support style interactions while using tools/APIs and adhering to domain policies (e.g., retail, airline, telecom). Success depends on correctly interpreting user intent, choosing policy-compliant actions, and maintaining coherence across long dialog trajectories.","L1: Language Comprehension, Language Production
L2: Planning, Decision-making, Working Memory
L3: Social Reasoning & Theory of Mind, Inhibitory Control",L3
ARC-AGI,https://arcprize.org/arc-agi,https://arxiv.org/abs/1911.01547,"ARC-AGI evaluates “fluid” abstract reasoning via few-shot grid transformation puzzles, where systems infer latent rules from a small set of input–output examples. It is designed to reduce reliance on memorized knowledge and instead probe generalization to novel pattern-manipulation tasks.","L1: Visual Perception
L2: Logical Reasoning, Working Memory, Spatial Representation & Mapping, Scene Understanding & Visual Reasoning, Attention
L3: Cognitive Flexibility",L3
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon agent coherence by placing an agent in a simulated year-long vending-machine business with many sequential decisions (inventory, pricing, suppliers, budgeting). The score is tied to business outcomes (e.g., final balance), requiring strategic planning, adaptation, and consistency over thousands of steps.","L1: 
L2: Planning, Decision-making, Reward Mechanisms, Working Memory, Adaptive Error Correction
L3: ",L2
Humanity’s Last Exam,https://agi.safe.ai/,https://arxiv.org/abs/2501.14249,"Humanity’s Last Exam is a difficult multimodal benchmark intended to probe frontier academic knowledge and reasoning across many disciplines at or beyond typical expert levels. Questions often require synthesis, careful reading, and sometimes tool-like reasoning patterns (e.g., computations or multi-step inference) rather than retrieval alone.","L1: Language Comprehension, Visual Perception
L2: Multisensory Integration, Logical Reasoning, Semantic Understanding & Context Recognition, Working Memory, Planning
L3: ",L2
AIME 2025,https://matharena.ai/?view=problem&comp=aime--aime_2025,https://arxiv.org/abs/2505.23281,"AIME 2025 comprises competition-style mathematics problems that require multi-step derivations and exact final numeric answers. Performance reflects structured mathematical reasoning under limited problem statements, with little benefit from superficial pattern matching.","L1: 
L2: Logical Reasoning, Working Memory, Attention
L3: ",L2
GPQA Diamond,https://artificialanalysis.ai/evaluations/gpqa-diamond,https://arxiv.org/abs/2311.12022,"GPQA Diamond is a high-quality subset of extremely challenging, “Google-proof” graduate-level science multiple-choice questions. It targets deep domain understanding and reasoning by using questions that experts can solve but non-experts (and shallow heuristics) often miss.","L1: Language Comprehension
L2: Semantic Understanding & Context Recognition, Logical Reasoning, Working Memory
L3: ",L2
MMMLU,https://huggingface.co/datasets/openai/MMMLU,https://arxiv.org/abs/2009.03300,"MMMLU extends the MMLU paradigm to many non-English languages, testing subject-matter knowledge and reasoning across diverse academic areas. It stresses whether models can transfer competence across languages while preserving precision in comprehension and choice selection.","L1: Language Comprehension
L2: Semantic Understanding & Context Recognition, Logical Reasoning, Working Memory
L3: ",L2
MMMU-Pro,https://mmmu-benchmark.github.io/,https://arxiv.org/abs/2409.02813,"MMMU-Pro evaluates expert-level multimodal understanding by combining text with images (e.g., diagrams, charts, scientific figures) across many disciplines. It emphasizes higher-difficulty questions and settings that require careful visual grounding and cross-referencing between modalities.","L1: Visual Perception, Language Comprehension
L2: Scene Understanding & Visual Reasoning, Multisensory Integration, Logical Reasoning, Visual Attention & Eye Movements, Working Memory
L3: ",L2
