Benchmark,Website,Paper,Description,Cognitive Functions
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a large-scale software engineering benchmark where a model must generate patches that resolve real issues in open-source repositories under realistic constraints (tests, dependencies, and project conventions). It expands beyond Python and is designed to be more challenging and more resistant to contamination than earlier SWE-bench variants.","Logical Reasoning, Planning, Adaptive Error Correction, Working Memory, Decision-making, Language Comprehension (minor), Language Production (minor)"
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld evaluates multimodal “computer use” by requiring an agent to complete tasks in a full desktop operating-system environment using screenshots and UI interactions (e.g., clicking, typing, navigation). Success requires reliably perceiving interfaces, choosing actions over many steps, and recovering from tool/interaction errors.","Visual Perception, Scene Understanding & Visual Reasoning, Visual Attention & Eye Movements, Sensorimotor Coordination, Planning, Decision-making, Working Memory, Inhibitory Control (minor)"
ARC-AGI,https://arcprize.org/arc-agi,https://arxiv.org/abs/1911.01547,ARC-AGI is a fluid reasoning benchmark based on abstract grid transformation puzzles where the model must infer a latent rule from a few input–output examples and apply it to a new input. It emphasizes generalization to novel patterns with minimal task-specific prior exposure.,"Logical Reasoning, Cognitive Flexibility, Working Memory, Spatial Representation & Mapping, Attention (minor)"
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 measures long-horizon agent performance by simulating operation of a vending machine business over an extended time period, scoring by final balance/profit. The agent must make coherent decisions across many steps, adapting to changing conditions (inventory, suppliers, pricing) without losing goal consistency.","Planning, Decision-making, Reward Mechanisms, Working Memory, Adaptive Error Correction, Semantic Understanding & Context Recognition (minor), Motivational Drives (minor)"
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas evaluates real-world tool use via the Model Context Protocol by testing whether a model can discover, invoke, and chain tools across multi-step workflows. Tasks require correct API selection, parameterization, error handling, and synthesis of results into a final answer.","Planning, Decision-making, Working Memory, Adaptive Error Correction, Language Comprehension (minor), Language Production (minor), Inhibitory Control (minor)"
CyberGym,https://www.cybergym.io/,https://arxiv.org/abs/2506.02548,"CyberGym evaluates agentic cybersecurity capabilities on tasks grounded in real software vulnerabilities, including identifying known vulnerabilities and, in some settings, discovering new ones. It stresses iterative investigation, hypothesis testing, and producing actionable outputs (e.g., proof-of-concept reasoning or patch-level changes).","Logical Reasoning, Planning, Adaptive Error Correction, Decision-making, Working Memory, Language Comprehension (minor)"
Humanity’s Last Exam,https://agi.safe.ai/,https://arxiv.org/abs/2501.14249,"Humanity’s Last Exam is a multimodal benchmark of difficult questions intended to sit near the frontier of human knowledge, spanning many domains and often requiring multi-step reasoning. It is commonly evaluated both without tools and with tools (e.g., search and code execution), testing end-to-end problem solving under realistic assistance settings.","Language Comprehension, Logical Reasoning, Semantic Understanding & Context Recognition, Working Memory, Visual Perception (minor), Scene Understanding & Visual Reasoning (minor)"
GPQA Diamond,https://artificialanalysis.ai/evaluations/gpqa-diamond,https://arxiv.org/abs/2311.12022,GPQA Diamond is a subset of GPQA consisting of high-quality graduate-level science multiple-choice questions that are designed to be difficult to answer via superficial pattern matching or simple web search. It probes deep conceptual understanding and careful multi-step elimination among plausible distractors.,"Language Comprehension, Logical Reasoning, Semantic Understanding & Context Recognition, Working Memory, Decision-making (minor)"
MMMU-Pro,https://mmmu-benchmark.github.io/,https://arxiv.org/abs/2409.02813,"MMMU-Pro is a challenging multimodal benchmark covering expert-level questions across diverse disciplines, where models must interpret images (figures, diagrams, charts) alongside text. It emphasizes robust visual grounding and reasoning rather than surface recognition alone.","Visual Perception, Scene Understanding & Visual Reasoning, Language Comprehension, Logical Reasoning, Working Memory, Spatial Representation & Mapping (minor)"
OmniDocBench 1.5,https://github.com/opendatalab/OmniDocBench,https://arxiv.org/abs/2412.07626,"OmniDocBench 1.5 evaluates document understanding/OCR by measuring how accurately models transcribe and structure content from complex documents (text, tables, formulas, and reading order). It focuses on faithful extraction under layout complexity rather than purely conversational ability.","Visual Perception, Visual Attention & Eye Movements, Scene Understanding & Visual Reasoning, Spatial Representation & Mapping, Language Comprehension (minor), Working Memory (minor)"
Video-MMMU,https://videommmu.github.io/,https://arxiv.org/abs/2501.13826,"Video-MMMU extends multimodal evaluation to videos, requiring models to integrate information across time to answer questions about events, actions, and causal/temporal relations. It tests whether an agent can maintain and update hypotheses as new frames provide additional context.","Visual Perception, Attention, Working Memory, Cognitive Timing & Predictive Modeling, Scene Understanding & Visual Reasoning, Language Comprehension (minor), Auditory Processing (minor)"
