Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates software engineering by asking a model/agent to generate a code patch that resolves real GitHub issues in Python repositories, with correctness checked by running tests. The “Verified” split emphasizes tasks that have been validated as solvable and reduces noisy/ambiguous instances, making it a key benchmark for end-to-end code editing reliability.","L1: Language Comprehension (minor), Language Production (minor)
L2: Planning, Logical Reasoning, Working Memory, Adaptive Error Correction
L3: ",L2
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 measures an agent’s ability to accomplish realistic tasks in a command-line environment (e.g., inspecting files, running programs, installing dependencies, debugging, and producing artifacts). Success typically requires iterating between tool use and reasoning under resource and time constraints, making it a practical proxy for autonomous “ops-style” problem solving.","L1: Language Comprehension (minor)
L2: Planning, Decision-making, Working Memory, Adaptive Error Correction
L3: Inhibitory Control (minor)",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-ai-agents,https://arxiv.org/abs/2406.12045,"τ2-bench evaluates tool-using customer-support agents in simulated domains (e.g., retail, airline, telecom) where the model must follow policies, interact with APIs, and handle multi-turn dialogue with a user simulator. The benchmark stresses robustness to long interactions, policy compliance, and correct sequencing of tool calls to resolve user issues.","L1: Language Comprehension, Language Production
L2: Planning, Decision-making
L3: Inhibitory Control, Social Reasoning & Theory of Mind (minor)",L3
ARC-AGI,https://arcprize.org/arc-agi,https://arxiv.org/abs/1911.01547,ARC-AGI tests “fluid” abstract reasoning using small grid-based puzzles where a model must infer a hidden transformation rule from a handful of examples and apply it to a new input. It emphasizes out-of-distribution generalization and compositional pattern discovery rather than memorized knowledge.,"L1: Visual Perception (minor)
L2: Logical Reasoning, Spatial Representation & Mapping, Working Memory (minor), Scene Understanding & Visual Reasoning
L3: Cognitive Flexibility",L3
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon agent performance in a simulated year-long vending-machine business, where the agent must manage inventory, pricing, supplier communication, and finances over thousands of steps. The score is based on economic outcomes (e.g., final balance), emphasizing sustained coherence, strategic adaptation, and tool-mediated operations.","L1: 
L2: Planning, Decision-making, Working Memory, Reward Mechanisms, Adaptive Error Correction (minor)
L3: Social Reasoning & Theory of Mind (minor)",L2
Humanity’s Last Exam,https://agi.safe.ai/,https://arxiv.org/abs/2501.14249,"Humanity’s Last Exam (HLE) is a multimodal benchmark designed to probe frontier-level academic and professional knowledge with difficult questions that often require multi-step reasoning. It can be evaluated with or without tools (e.g., search, code execution), highlighting both raw reasoning and tool-augmented problem solving.","L1: Language Comprehension, Visual Perception (minor)
L2: Semantic Understanding & Context Recognition, Logical Reasoning, Multisensory Integration (minor), Planning (minor)
L3: ",L2
AIME 2025,https://matharena.ai/?view=problem&comp=aime--aime_2025,https://arxiv.org/abs/2505.23281,"AIME 2025 consists of competition-style math problems requiring symbolic manipulation, proof-like reasoning, and careful case analysis, typically answered as integers. It is commonly used to test mathematical reasoning in a tool-free setting or with optional computation tools, separating conceptual skill from calculator-like execution.","L1: 
L2: Logical Reasoning, Working Memory, Planning (minor), Adaptive Error Correction (minor)
L3: ",L2
GPQA Diamond,https://artificialanalysis.ai/evaluations/gpqa-diamond,https://arxiv.org/abs/2311.12022,"GPQA Diamond is the most challenging subset of GPQA: graduate-level multiple-choice questions in physics, chemistry, and biology designed to be difficult to answer by web search alone. It tests deep scientific understanding and careful elimination of distractors under a standardized, closed-choice format.","L1: Language Comprehension (minor)
L2: Semantic Understanding & Context Recognition, Logical Reasoning, Working Memory (minor)
L3: ",L2
MMMLU,https://huggingface.co/datasets/openai/MMMLU,https://arxiv.org/abs/2009.03300,"MMMLU extends MMLU to multiple languages, measuring broad academic knowledge and reasoning across many subjects with multilingual prompts and answer options. It probes whether models can transfer knowledge and reasoning across languages rather than relying on English-only patterns.","L1: Language Comprehension
L2: Semantic Understanding & Context Recognition, Logical Reasoning (minor), Working Memory (minor)
L3: ",L2
MMMU-Pro,https://mmmu-benchmark.github.io/,https://arxiv.org/abs/2409.02813,"MMMU-Pro is a stronger, more difficult variant of MMMU that evaluates multimodal understanding and reasoning across many disciplines using images paired with text questions. It targets high-fidelity visual reasoning (e.g., diagrams, charts, figures) alongside domain knowledge and structured inference.","L1: Visual Perception, Language Comprehension (minor)
L2: Scene Understanding & Visual Reasoning, Multisensory Integration, Logical Reasoning (minor)
L3: ",L2
