Benchmark,Website,Paper,Description,Cognitive Functions
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a large-scale software engineering benchmark where an agent must modify real repositories to resolve issues, producing patches that satisfy tests and task requirements. It emphasizes end-to-end problem solving in realistic codebases, including comprehension of existing code, implementation, debugging, and validation under a single-attempt evaluation setting in many reports.","Language Comprehension, Planning, Logical Reasoning, Working Memory, Adaptive Error Correction, Decision-making (minor)"
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld evaluates multimodal “computer use” agents that operate within a full operating system environment to accomplish user-specified tasks (e.g., navigating apps, settings, files, and webpages). Success depends on perceiving GUI state, choosing actions over long horizons, and recovering from mistakes while interacting with dynamic interfaces.","Visual Perception, Visual Attention & Eye Movements (minor), Scene Understanding & Visual Reasoning, Planning, Decision-making, Adaptive Error Correction, Sensorimotor Coordination, Working Memory (minor)"
ARC-AGI,https://arcprize.org/arc-agi,https://arxiv.org/abs/1911.01547,ARC-AGI is a fluid reasoning benchmark based on abstract grid transformation puzzles where models infer hidden rules from a few input–output examples. It is designed to emphasize generalization to novel patterns and compositional reasoning rather than memorized domain knowledge.,"Logical Reasoning, Working Memory, Cognitive Flexibility, Spatial Representation & Mapping, Visual Perception, Scene Understanding & Visual Reasoning, Planning (minor)"
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 is a long-horizon agent benchmark where a model manages a simulated vending machine business over an extended period, making thousands of interdependent decisions. It probes sustained coherence, strategic adaptation to a changing environment, and effective resource management under delayed outcomes.","Planning, Decision-making, Reward Mechanisms, Working Memory, Adaptive Error Correction (minor), Cognitive Timing & Predictive Modeling (minor), Motivational Drives (minor)"
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas evaluates real-world tool use via the Model Context Protocol, where models must discover, call, and compose multiple tools/APIs in multi-step workflows. The benchmark emphasizes correct tool selection, argument construction, error handling, and synthesis of tool outputs into a final answer.","Planning, Decision-making, Adaptive Error Correction, Working Memory, Language Comprehension, Language Production (minor), Semantic Understanding & Context Recognition"
CyberGym,https://www.cybergym.io/,https://arxiv.org/abs/2506.02548,"CyberGym measures cybersecurity agent performance on tasks involving identifying and exploiting known vulnerabilities and, in some settings, discovering previously unknown issues in real open-source projects. It stresses iterative investigation, code reading, hypothesis testing, and precise actions in a technical environment.","Logical Reasoning, Planning, Adaptive Error Correction, Working Memory, Semantic Understanding & Context Recognition, Decision-making (minor)"
Humanity’s Last Exam,https://agi.safe.ai/,https://arxiv.org/abs/2501.14249,"Humanity’s Last Exam is a broad, frontier-knowledge benchmark spanning difficult questions across many academic domains and modalities. It targets deep reasoning and synthesis under uncertainty, and in tool-enabled settings also measures whether a model can integrate external evidence into coherent answers.","Language Comprehension, Logical Reasoning, Semantic Understanding & Context Recognition, Working Memory (minor), Visual Perception (minor), Scene Understanding & Visual Reasoning (minor), Decision-making (minor)"
GPQA Diamond,https://artificialanalysis.ai/evaluations/gpqa-diamond,https://arxiv.org/abs/2311.12022,GPQA Diamond is a high-difficulty multiple-choice science benchmark intended to be resistant to shallow pattern matching and simple web lookup. It emphasizes rigorous scientific reasoning and careful reading to select the correct option among plausible distractors.,"Language Comprehension, Logical Reasoning, Semantic Understanding & Context Recognition, Working Memory (minor), Inhibitory Control (minor)"
MMMU-Pro,https://mmmu-benchmark.github.io/,https://arxiv.org/abs/2409.02813,"MMMU-Pro is an expert-level multimodal benchmark requiring models to answer questions that combine images (e.g., diagrams, charts, instruments, screenshots) and text across many disciplines. It evaluates the integration of visual evidence with domain knowledge and multi-step reasoning, often under structured answer formats.","Visual Perception, Scene Understanding & Visual Reasoning, Multisensory Integration, Attention (minor), Language Comprehension, Logical Reasoning, Working Memory (minor)"
OmniDocBench 1.5,https://github.com/opendatalab/OmniDocBench,https://arxiv.org/abs/2412.07626,"OmniDocBench 1.5 evaluates document understanding and OCR-like extraction from complex pages containing text, tables, formulas, and layout/reading order. It measures how well a model can preserve structured content and formatting fidelity rather than only capturing surface text.","Visual Perception, Scene Understanding & Visual Reasoning, Visual Attention & Eye Movements (minor), Language Comprehension, Working Memory (minor), Semantic Understanding & Context Recognition (minor)"
