Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates software engineering agents on real GitHub issues where the model must generate code patches that make a repository’s test suite pass. The “Verified” subset consists of tasks validated by human annotators as solvable and correctly specified, emphasizing reliable end-to-end bug fixing over partial solutions.","L1: 
L2: Planning, Logical Reasoning, Working Memory, Semantic Understanding & Context Recognition
L3: Self-reflection (minor)",L2
SWE-bench Multilingual,https://www.swebench.com/multilingual.html,https://arxiv.org/abs/2504.21798,"SWE-bench Multilingual extends SWE-bench-style repository patching beyond Python to multiple programming languages and ecosystems. It tests whether agents can transfer debugging and implementation skills across differing toolchains, build systems, and language idioms.","L1: Language Comprehension (minor)
L2: Planning, Logical Reasoning, Working Memory, Semantic Understanding & Context Recognition
L3: Cognitive Flexibility",L3
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a larger and more difficult software engineering benchmark designed to be more industrially realistic and harder to overfit, spanning multiple languages and complex repositories. It emphasizes robust problem diagnosis, patch generation, and verification under more varied and contamination-resistant conditions.","L1: 
L2: Planning, Decision-making, Logical Reasoning, Working Memory, Semantic Understanding & Context Recognition
L3: Inhibitory Control (minor)",L2
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 evaluates agentic performance in command-line environments, where models must accomplish practical tasks by issuing shell commands, inspecting files, and iterating based on tool outputs. It stresses operational competence, error recovery, and maintaining a coherent plan across multi-step terminal interactions.","L1: 
L2: Planning, Decision-making, Working Memory, Attention, Logical Reasoning
L3: Self-reflection (minor)",L2
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp measures deep research and web-browsing capability, requiring models to search, retrieve, and synthesize information from documents to answer questions. It targets multi-step evidence gathering, source comparison, and maintaining correctness under noisy or distracting content.","L1: 
L2: Planning, Attention, Working Memory, Semantic Understanding & Context Recognition, Logical Reasoning, Decision-making (minor)
L3: ",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-agents-in-collaborative-real-world-scenarios,https://arxiv.org/abs/2506.07982,"τ2-bench evaluates interactive tool-use agents in collaborative, policy-constrained customer-support style scenarios (e.g., retail, airline, telecom) involving multi-turn dialogue plus API actions. Success requires consistent policy adherence, correct tool invocation, and stable goal pursuit across long conversations with a simulated user.","L1: Language Comprehension (minor)
L2: Planning, Decision-making, Working Memory
L3: Social Reasoning & Theory of Mind, Inhibitory Control",L3
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld evaluates multimodal “computer use” agents that operate graphical desktop environments to complete tasks across applications (e.g., settings, browsers, productivity tools). It probes visual grounding, action sequencing, and the ability to adapt to interface state changes while staying aligned to the task objective.","L1: Visual Perception
L2: Visual Attention & Eye Movements, Scene Understanding & Visual Reasoning, Planning, Working Memory, Decision-making (minor)
L3: ",L2
ARC-AGI-2,https://arcprize.org/arc-agi/2,https://arxiv.org/abs/1911.01547,ARC-AGI-2 is a fluid reasoning benchmark based on abstract grid transformation tasks where models infer hidden rules from a few examples and generalize to a new input. It is designed to emphasize novel pattern induction and systematic generalization rather than recall of domain knowledge.,"L1: 
L2: Logical Reasoning, Working Memory, Attention, Planning (minor)
L3: Cognitive Flexibility",L3
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon autonomy in a simulated business environment where an agent manages a vending machine operation over extended time, balancing inventory, pricing, suppliers, and finances. It emphasizes sustained coherence, strategic decision-making, and compounding outcomes over thousands of steps.","L1: 
L2: Planning, Decision-making, Working Memory, Semantic Understanding & Context Recognition, Reward Mechanisms (minor)
L3: Self-reflection (minor)",L2
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas assesses real-world tool use via the Model Context Protocol (MCP), requiring models to discover tools, call them correctly, and integrate results across multi-step workflows. It targets reliability under API complexity, error handling, and compositional execution across heterogeneous services.","L1: 
L2: Planning, Decision-making, Working Memory, Semantic Understanding & Context Recognition
L3: Inhibitory Control (minor)",L2
