Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates real-world software engineering by asking models to generate patches that fix issues in existing GitHub repositories, validated by running the project’s test suite. The “Verified” subset consists of tasks that have been human-checked to be solvable and to have reliable evaluation signals, making it a common reference for agentic coding performance.","L1: Language Comprehension (minor)
L2: Planning, Logical Reasoning, Working Memory, Decision-making
L3: ",L2
SWE-bench Multilingual,https://www.swebench.com/multilingual.html,https://arxiv.org/abs/2504.21798,"SWE-bench Multilingual extends SWE-bench-style bug-fixing to multiple programming languages beyond Python, emphasizing generalizable software engineering skill. Models must read problem statements, understand unfamiliar codebases, and produce correct patches that satisfy tests across diverse language ecosystems.","L1: Language Comprehension (minor)
L2: Planning, Logical Reasoning, Working Memory
L3: Cognitive Flexibility",L3
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a harder, more contamination-resistant software engineering benchmark designed to better reflect industrially relevant tasks across multiple languages and repositories. It emphasizes robust debugging, larger search spaces, and higher difficulty than SWE-bench Verified while still using executable checks to score solutions.","L1: 
L2: Planning, Logical Reasoning, Working Memory, Decision-making
L3: Cognitive Flexibility",L3
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 evaluates agents operating in a command-line environment on realistic multi-step tasks such as installing tools, manipulating files, running programs, and diagnosing failures. Success depends on correctly sequencing shell actions under constraints and recovering from errors using tool feedback.","L1: 
L2: Planning, Decision-making, Working Memory
L3: Cognitive Flexibility, Inhibitory Control (minor)",L3
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp measures web-browsing research ability: agents must find and synthesize information from web sources to answer questions that typically require multi-hop retrieval and verification. It stresses long-horizon search strategy, source triangulation, and faithful citation/grounding under time and context limits.","L1: 
L2: Planning, Attention, Working Memory, Semantic Understanding & Context Recognition, Decision-making
L3: ",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-agents-in-collaborative-real-world-scenarios,https://arxiv.org/abs/2506.07982,"τ2-bench evaluates interactive agent performance in multi-turn, policy-constrained customer support settings (e.g., retail, airline, telecom) with tool/API use. Agents must follow domain policies, ask clarifying questions, and coordinate actions across a conversation to resolve user needs without violating constraints.","L1: Language Comprehension, Language Production
L2: Planning, Decision-making
L3: Social Reasoning & Theory of Mind, Inhibitory Control (minor)",L3
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld benchmarks computer-use agents in an OS-like graphical environment, requiring navigation, form filling, file operations, and application control from pixel/GUI observations. It tests whether an agent can interpret screen state and execute correct multi-step actions to complete tasks end-to-end.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Visual Attention & Eye Movements, Planning, Decision-making, Working Memory (minor)
L3: ",L2
ARC-AGI-2,https://arcprize.org/arc-agi/2,https://arxiv.org/abs/1911.01547,"ARC-AGI-2 is a few-shot, grid-based abstract reasoning benchmark where models infer hidden transformation rules from a handful of input–output examples and apply them to new inputs. It is intended to measure fluid reasoning and generalization to novel patterns rather than memorized knowledge.","L1: Visual Perception (minor)
L2: Logical Reasoning, Working Memory, Spatial Representation & Mapping
L3: Cognitive Flexibility",L3
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon autonomous agent coherence and strategy in a simulated business management setting (running a vending machine operation over extended time). Agents must plan inventory, pricing, supplier interactions, and budgeting to maximize final balance while adapting to changing conditions.","L1: 
L2: Planning, Decision-making, Working Memory, Reward Mechanisms (minor)
L3: Cognitive Flexibility, Social Reasoning & Theory of Mind (minor)",L3
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas measures tool-use via the Model Context Protocol (MCP): models discover available tools, invoke them correctly, handle errors, and compose multi-step workflows across services. The benchmark emphasizes reliable action selection and integration of tool outputs into correct final responses.","L1: Language Comprehension (minor)
L2: Planning, Decision-making, Working Memory
L3: Cognitive Flexibility",L3
