Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates software-engineering agents by asking them to produce patches that fix real issues in open-source Python repositories, with success determined by running the repo’s tests. The “Verified” subset filters to tasks that have been validated as solvable and reliably testable, improving evaluation signal for end-to-end coding agents.","L1: 
L2: Planning, Logical Reasoning, Working Memory
L3: Cognitive Flexibility (minor), Inhibitory Control (minor)",L2
SWE-bench Multilingual,https://www.swebench.com/multilingual.html,https://arxiv.org/abs/2504.21798,"SWE-bench Multilingual extends the SWE-bench paradigm beyond Python to multiple programming languages and ecosystems, testing whether a model can generalize software-engineering behaviors across tooling and conventions. Tasks still require generating correct patches that pass project-specific automated tests.","L1: 
L2: Planning, Logical Reasoning, Working Memory, Semantic Understanding & Context Recognition (minor)
L3: Cognitive Flexibility",L3
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a larger and more challenging software-engineering benchmark designed to be more contamination-resistant and more representative of professional development work across multiple languages. It emphasizes robust patch generation on diverse repos and issues, typically with stricter or more varied evaluation infrastructure than SWE-bench Verified.","L1: 
L2: Planning, Logical Reasoning, Decision-making, Working Memory
L3: Cognitive Flexibility",L3
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 evaluates agentic performance in a command-line environment, where the model must use shell commands and file operations to accomplish real tasks under execution constraints. Success is measured by task-specific graders and outcomes produced by interacting with a live terminal harness.","L1: 
L2: Planning, Decision-making, Working Memory, Logical Reasoning
L3: Inhibitory Control (minor), Cognitive Flexibility (minor)",L2
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp evaluates deep-research and web-browsing agents on questions that require locating and synthesizing information from the web rather than recalling it from parametric memory. It tests the agent loop end-to-end: search strategy, evidence selection, and producing a grounded final answer.","L1: Language Comprehension (minor), Language Production (minor)
L2: Planning, Attention, Working Memory, Semantic Understanding & Context Recognition
L3: ",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-agents-in-collaborative-real-world-scenarios,https://arxiv.org/abs/2506.07982,"τ2-bench evaluates interactive agents that must solve multi-turn customer-support style tasks by calling tools/APIs while following domain policies (e.g., retail, airline, telecom). It probes reliability across long dialogues, correct tool use, and policy adherence under realistic conversational pressure.","L1: 
L2: Planning, Decision-making, Working Memory
L3: Social Reasoning & Theory of Mind, Inhibitory Control, Emotional intelligence (minor)",L3
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld measures multimodal computer-use ability: the agent must operate a desktop-like environment by interpreting screenshots and performing UI actions to complete tasks. It stresses perception-to-action grounding, long-horizon navigation, and robustness to interface complexity and state changes.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Visual Attention & Eye Movements (minor), Planning, Decision-making, Working Memory
L3: Cognitive Flexibility (minor)",L2
ARC-AGI-2,https://arcprize.org/arc-agi/2,https://arxiv.org/abs/1911.01547,"ARC-AGI-2 is a fluid-reasoning benchmark of novel grid-transformation puzzles where the model must infer an underlying rule from a handful of examples and apply it to a new input. It is designed to emphasize abstraction and generalization under strong distribution shift, with minimal reliance on memorized domain facts.","L1: 
L2: Logical Reasoning, Working Memory, Spatial Representation & Mapping (minor), Scene Understanding & Visual Reasoning (minor)
L3: Cognitive Flexibility",L3
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon agent coherence by simulating management of a vending-machine business over extended time, requiring repeated decisions about inventory, suppliers, pricing, and strategy. The score is typically tied to final business outcomes (e.g., ending balance), rewarding sustained planning and adaptation.","L1: 
L2: Planning, Decision-making, Working Memory, Episodic Memory (minor), Reward Mechanisms (minor)
L3: Cognitive Flexibility (minor)",L2
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas measures real-world tool-use via the Model Context Protocol, where a model must discover appropriate tools, call them with correct arguments, handle errors, and synthesize results. It emphasizes multi-step workflow execution in production-like API environments rather than isolated single-call tool demos.","L1: 
L2: Planning, Decision-making, Working Memory
L3: Inhibitory Control (minor), Cognitive Flexibility (minor)",L2
