Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates an agent’s ability to fix real bugs in open-source Python repositories by generating patches that make hidden unit tests pass. The “Verified” subset consists of issues confirmed by human annotators to be solvable with the provided repository context and test harness, reducing noise from ambiguous tasks.","L1: 
L2: Planning, Logical Reasoning, Working Memory, Adaptive Error Correction (minor)
L3: Self-reflection (minor)",L2
SWE-bench Multilingual,https://www.swebench.com/multilingual.html,https://arxiv.org/abs/2504.21798,"SWE-bench Multilingual extends the SWE-bench paradigm beyond Python, evaluating bug-fixing and patch generation across multiple programming languages and ecosystems. It stresses whether an agent can transfer software-engineering skills across different syntaxes, tooling conventions, and library idioms.","L1: 
L2: Planning, Logical Reasoning, Working Memory, Semantic Understanding & Context Recognition (minor)
L3: Cognitive Flexibility",L3
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a larger, harder software-engineering benchmark designed to be more realistic and contamination-resistant, with tasks spanning multiple languages and more complex repositories. It evaluates whether agents can produce correct, high-quality patches under more challenging constraints and broader industrial context.","L1: 
L2: Planning, Decision-making, Logical Reasoning, Working Memory, Adaptive Error Correction (minor)
L3: Self-reflection (minor)",L2
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 evaluates autonomous agents on real command-line tasks inside sandboxed environments (e.g., debugging, scripting, building/running software, and system operations). Success requires choosing and sequencing shell commands, interpreting tool output, and iteratively correcting failures under resource constraints.","L1: 
L2: Planning, Decision-making, Working Memory, Logical Reasoning, Adaptive Error Correction
L3: Inhibitory Control (minor)",L2
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp evaluates deep-research agents on questions that require browsing and synthesizing information from the web (often across multiple sources) rather than recalling memorized facts. It emphasizes tool-mediated information seeking, source triangulation, and producing a final grounded answer.","L1: Language Comprehension (minor), Language Production (minor)
L2: Planning, Decision-making, Attention, Working Memory, Semantic Understanding & Context Recognition
L3: ",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-agents-in-collaborative-real-world-scenarios,https://arxiv.org/abs/2506.07982,"τ2-bench measures an agent’s ability to resolve multi-turn customer-support tasks by interacting with simulated users and programmatic APIs while adhering to domain policies (e.g., retail, airline, telecom). It stresses robust dialogue management, policy compliance, and correct tool/API usage over long interactions.","L1: Language Comprehension (minor), Language Production (minor)
L2: Planning, Decision-making, Working Memory
L3: Social Reasoning & Theory of Mind, Inhibitory Control, Empathy (minor)",L3
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld evaluates multimodal computer-use agents on completing realistic tasks in operating-system-like GUI environments using screenshots and interaction actions (click/type). It emphasizes interpreting visual interfaces, tracking state across steps, and executing correct action sequences to accomplish goals.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Visual Attention & Eye Movements, Planning, Working Memory, Decision-making (minor), Sensorimotor Coordination (minor)
L3: ",L2
ARC-AGI-2,https://arcprize.org/arc-agi/2,https://arxiv.org/abs/1911.01547,ARC-AGI-2 is a fluid-intelligence style benchmark of abstract grid-transformation puzzles where models must infer hidden rules from a handful of input–output examples and apply them to new inputs. It is designed to reward generalizable reasoning over pattern memorization and to remain challenging for modern models.,"L1: 
L2: Logical Reasoning, Working Memory, Scene Understanding & Visual Reasoning, Spatial Representation & Mapping (minor)
L3: Cognitive Flexibility",L3
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon agent coherence by simulating management of a vending-machine business over an extended time period, requiring many interdependent decisions. Agents must plan, adapt to market dynamics, manage inventory and pricing, and sustain consistent strategy over thousands of steps.","L1: 
L2: Planning, Decision-making, Working Memory, Episodic Memory (minor), Reward Mechanisms (minor)
L3: Self-reflection (minor)",L2
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas evaluates real-world tool use via the Model Context Protocol, requiring models to discover tools, call them with correct schemas, handle errors, and combine results into a final answer. Tasks often require multi-step workflows across multiple services, stressing reliable orchestration rather than pure text generation.","L1: 
L2: Planning, Decision-making, Working Memory, Semantic Understanding & Context Recognition (minor)
L3: Inhibitory Control (minor)",L2
FinanceAgent,https://www.vals.ai/benchmarks/finance_agent,,"FinanceAgent measures how well models perform tasks typical of an entry-level financial analyst, such as analyzing financial statements, extracting figures, performing calculations, and producing justified recommendations. It emphasizes grounded quantitative reasoning, structured reporting, and correctly following finance-domain constraints.","L1: Language Production (minor)
L2: Logical Reasoning, Decision-making, Working Memory, Semantic Understanding & Context Recognition, Planning (minor)
L3: ",L2
CyberGym,https://www.cybergym.io/,https://arxiv.org/abs/2506.02548,"CyberGym evaluates cybersecurity agents on large suites of tasks such as locating known vulnerabilities from descriptions and discovering new vulnerabilities in real open-source projects. It stresses code understanding, adversarial thinking, and precise, testable outputs under realistic security constraints.","L1: 
L2: Logical Reasoning, Planning, Working Memory, Adaptive Error Correction (minor)
L3: Cognitive Flexibility (minor), Inhibitory Control (minor)",L2
SpreadsheetBench,https://spreadsheetbench.github.io/,https://arxiv.org/abs/2406.14991,"SpreadsheetBench evaluates agents on manipulating and analyzing complex spreadsheets, often requiring reading formulas, editing cells, transforming tables, and generating correct computed outputs. It tests end-to-end productivity skills that blend structured reasoning with careful execution over many dependent steps.","L1: 
L2: Working Memory, Planning, Logical Reasoning, Attention, Decision-making (minor), Sensorimotor Coordination (minor)
L3: ",L2
Humanity’s Last Exam,https://agi.safe.ai/,https://arxiv.org/abs/2501.14249,"Humanity’s Last Exam is a frontier benchmark spanning many expert-level questions (often multimodal) intended to probe broad, difficult knowledge and reasoning beyond standard academic tests. It stresses synthesis, careful justification, and (in tool-enabled settings) effective use of search or computation without over-relying on memorized snippets.","L1: Language Comprehension (minor), Language Production (minor)
L2: Semantic Understanding & Context Recognition, Logical Reasoning, Working Memory, Scene Understanding & Visual Reasoning (minor), Multisensory Integration (minor)
L3: ",L2
AIME 2025,https://matharena.ai/?view=problem&comp=aime--aime_2025,https://arxiv.org/abs/2505.23281,"AIME 2025 consists of competition-style mathematics problems (AIME) that require multi-step derivations and careful symbolic manipulation to produce exact answers. It is commonly used to measure structured mathematical reasoning under short, well-defined problem statements.","L1: 
L2: Logical Reasoning, Working Memory, Planning
L3: ",L2
GPQA Diamond,https://artificialanalysis.ai/evaluations/gpqa-diamond,https://arxiv.org/abs/2311.12022,"GPQA Diamond is a high-quality subset of graduate-level, “Google-proof” multiple-choice science questions designed to defeat shallow pattern matching. It tests whether models can reason through challenging scientific content and select the correct option under distractors.","L1: 
L2: Semantic Understanding & Context Recognition, Logical Reasoning, Working Memory, Decision-making (minor)
L3: ",L2
