Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates LLM-based software engineering by asking models to generate patches for real GitHub issues, with solutions judged by project-specific tests. The “Verified” subset emphasizes tasks that have been human-validated as solvable and reduces noisy or underspecified issues, making pass@1 results more interpretable.","L1: 
L2: Planning, Logical Reasoning, Working Memory, Decision-making, Semantic Understanding & Context Recognition (minor)
L3: Inhibitory Control (minor)",L2
SWE-bench Multilingual,https://www.swebench.com/multilingual.html,https://arxiv.org/abs/2504.21798,"SWE-bench Multilingual extends SWE-bench-style patch generation beyond Python to multiple programming languages, testing whether models can localize, understand, and fix bugs across diverse toolchains and idioms. It emphasizes cross-language generalization, repository understanding, and test-driven correctness under single-attempt constraints.","L1: Language Comprehension (minor)
L2: Planning, Logical Reasoning, Working Memory, Semantic Understanding & Context Recognition (minor)
L3: Cognitive Flexibility",L3
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a more difficult and contamination-resistant software engineering benchmark that broadens language coverage and targets more realistic, industrially relevant tasks. It stresses robust repo navigation, multi-file changes, and reliably passing tests under stricter evaluation protocols.","L1: 
L2: Planning, Decision-making, Logical Reasoning, Working Memory
L3: Inhibitory Control (minor), Self-reflection (minor)",L2
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 evaluates agentic performance in real command-line environments, where models must use shell commands and tooling to complete practical tasks. Success depends on choosing effective command sequences, interpreting outputs/errors, and iterating toward a correct end state within resource constraints.","L1: 
L2: Planning, Decision-making, Working Memory, Logical Reasoning, Adaptive Error Correction (minor)
L3: Inhibitory Control (minor)",L2
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp measures deep-research behavior by requiring models to answer questions using web browsing/search, often involving multi-step evidence gathering and synthesis. It emphasizes sourcing, cross-checking, and assembling a final answer from distributed online information rather than closed-book recall.","L1: Language Comprehension (minor)
L2: Planning, Attention, Working Memory, Decision-making, Semantic Understanding & Context Recognition (minor)
L3: ",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-agents-in-collaborative-real-world-scenarios,https://arxiv.org/abs/2506.07982,"τ2-bench evaluates interactive tool-using agents in collaborative customer-service-like environments (e.g., retail, airline, telecom) with simulated users and APIs plus domain policies. It tests whether an agent can follow policies consistently while still resolving complex, multi-turn user goals through appropriate tool calls.","L1: Language Production (minor)
L2: Decision-making, Planning
L3: Social Reasoning & Theory of Mind, Inhibitory Control, Emotional intelligence (minor)",L3
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld benchmarks computer-use agents operating in a desktop OS setting, requiring interaction with GUIs to accomplish tasks across applications. It stresses visual grounding, multi-step navigation, and reliable action selection under partial observability and step limits.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Planning, Decision-making, Visual Attention & Eye Movements (minor), Working Memory (minor)
L3: ",L2
ARC-AGI-2,https://arcprize.org/arc-agi/2,https://arxiv.org/abs/1911.01547,"ARC-AGI-2 is a few-shot abstract reasoning benchmark based on grid transformations, designed to measure generalization to novel rules from a handful of examples. Compared with typical academic benchmarks, it emphasizes discovering latent structure, composing rules, and adapting strategies to new tasks rather than recalling learned facts.","L1: 
L2: Logical Reasoning, Working Memory, Planning (minor)
L3: Cognitive Flexibility",L3
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon agent coherence by simulating a vending machine business over extended time, scoring performance by final financial outcomes. Agents must manage inventory, pricing, supplier interactions, and evolving conditions across many decisions, rewarding sustained strategy and consistency.","L1: 
L2: Planning, Decision-making, Working Memory, Reward Mechanisms (minor), Episodic Memory (minor)
L3: Self-reflection (minor)",L2
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas evaluates real-world tool use through the Model Context Protocol, where models must discover tools, call them correctly, and compose multi-step workflows across services. It tests practical robustness: handling tool errors, retries, parameterization, and synthesizing results into correct final outputs.","L1: Language Comprehension (minor)
L2: Planning, Decision-making, Working Memory, Logical Reasoning
L3: ",L2
FinanceAgent,https://www.vals.ai/benchmarks/finance_agent,,"FinanceAgent measures performance on tasks resembling entry-level financial analyst work, such as analysis, modeling, and producing finance-relevant deliverables. It emphasizes numerical/financial reasoning, constraint following, and producing structured outputs that match professional expectations.","L1: Language Production (minor)
L2: Logical Reasoning, Decision-making, Planning, Working Memory, Semantic Understanding & Context Recognition (minor)
L3: ",L2
CyberGym,https://www.cybergym.io/,https://arxiv.org/abs/2506.02548,"CyberGym evaluates cybersecurity capability at scale, including identifying known vulnerabilities given descriptions and, in some settings, discovering new ones in real open-source codebases. It emphasizes precise technical reasoning about program behavior, exploit conditions, and patch-level remediation under realistic constraints.","L1: 
L2: Logical Reasoning, Planning, Working Memory, Decision-making (minor)
L3: Inhibitory Control (minor)",L2
SpreadsheetBench,https://spreadsheetbench.github.io/,https://arxiv.org/abs/2406.14991,"SpreadsheetBench tests whether models can navigate, edit, and compute with complex spreadsheets derived from real-world scenarios. Tasks require understanding table structure, applying correct transformations or formulas, and producing consistent spreadsheet artifacts rather than only textual answers.","L1: 
L2: Working Memory, Planning, Logical Reasoning, Attention (minor), Decision-making (minor)
L3: ",L2
Humanity’s Last Exam,https://agi.safe.ai/,https://arxiv.org/abs/2501.14249,"Humanity’s Last Exam is a broad, frontier-knowledge benchmark spanning difficult questions (including multimodal items) intended to stress advanced reasoning beyond routine exam datasets. It measures how well models integrate domain knowledge with multi-step inference, and—when tools are allowed—how effectively they use external resources without leaking from answer keys.","L1: Language Comprehension (minor)
L2: Logical Reasoning, Semantic Understanding & Context Recognition, Working Memory, Multisensory Integration (minor), Planning (minor)
L3: ",L2
AIME 2025,https://matharena.ai/?view=problem&comp=aime--aime_2025,https://arxiv.org/abs/2505.23281,"AIME 2025 evaluates competition-style mathematics problem solving, where solutions typically require creative multi-step derivations rather than direct recall. Scores reflect mathematical reasoning accuracy under time-pressured contest distributions and often benefit from careful symbolic manipulation and case analysis.","L1: 
L2: Logical Reasoning, Working Memory, Planning (minor)
L3: Cognitive Flexibility (minor)",L2
GPQA Diamond,https://artificialanalysis.ai/evaluations/gpqa-diamond,https://arxiv.org/abs/2311.12022,GPQA Diamond is a high-quality subset of GPQA containing particularly challenging graduate-level science multiple-choice questions intended to be “Google-proof.” It emphasizes deep conceptual understanding and multi-step scientific reasoning rather than shallow pattern matching or memorized trivia.,"L1: 
L2: Semantic Understanding & Context Recognition, Logical Reasoning, Working Memory (minor), Decision-making (minor)
L3: ",L2
MMMLU,https://huggingface.co/datasets/openai/MMMLU,https://arxiv.org/abs/2009.03300,"MMMLU extends MMLU-style breadth evaluations across many non-English languages, testing whether knowledge and reasoning transfer beyond English. It emphasizes multilingual comprehension, subject-matter knowledge, and consistent inference across diverse linguistic contexts.","L1: Language Comprehension
L2: Semantic Understanding & Context Recognition, Logical Reasoning (minor), Working Memory (minor)
L3: ",L2
MMMU,https://mmmu-benchmark.github.io/,https://arxiv.org/abs/2311.16502,"MMMU is a multimodal benchmark spanning many disciplines, requiring models to answer questions grounded in images (charts, diagrams, figures) plus text. It tests whether models can combine visual evidence with domain knowledge to perform expert-level multimodal reasoning.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Multisensory Integration, Logical Reasoning, Attention (minor)
L3: ",L2
MMMU-Pro,https://mmmu-benchmark.github.io/,https://arxiv.org/abs/2409.02813,"MMMU-Pro is a more demanding variant of MMMU designed to better separate top models through harder items and evaluation settings. It places greater emphasis on robust visual grounding and high-precision reasoning on complex, expert-style multimodal questions.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Logical Reasoning, Multisensory Integration, Working Memory (minor)
L3: ",L2
LAB-Bench FigQA,https://huggingface.co/datasets/futurehouse/lab-bench,https://arxiv.org/abs/2407.10362,"LAB-Bench FigQA evaluates whether models can interpret and reason about scientific figures from biology papers, including extracting trends, comparing conditions, and drawing supported conclusions. It emphasizes careful figure reading, visual-to-text grounding, and domain-aware inference rather than generic captioning.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Multisensory Integration, Logical Reasoning, Attention (minor)
L3: ",L2
WebArena,https://webarena.dev/,https://arxiv.org/abs/2307.13854,"WebArena evaluates autonomous web agents completing realistic tasks across multiple web apps (e-commerce, CMS, code hosting, etc.) using browser interactions. It stresses robust multi-step navigation, state tracking, and correct execution under dynamic interfaces and partial observability.","L1: Visual Perception (minor)
L2: Planning, Decision-making, Working Memory, Scene Understanding & Visual Reasoning (minor)
L3: Inhibitory Control (minor)",L2
MathArena Apex,https://matharena.ai/?view=problem&comp=apex--apex_2025,https://arxiv.org/abs/2505.23281,"MathArena Apex aggregates challenging math problems aimed at differentiating frontier reasoning systems, often including longer proofs, tricky constructions, and multi-constraint tasks. It emphasizes sustained mathematical reasoning quality and robustness, sometimes with standardized tooling or evaluation protocols depending on the competition setting.","L1: 
L2: Logical Reasoning, Working Memory, Planning (minor)
L3: Cognitive Flexibility (minor)",L2
ScreenShot-Pro,https://gui-agent.github.io/grounding-leaderboard/,https://arxiv.org/abs/2504.07981,"ScreenShot-Pro evaluates UI understanding from screenshots, requiring models to answer questions or take actions based on fine-grained interface details. It tests visual grounding (icons, text, layout), spatial relationships, and the ability to map perceived UI state into correct decisions or instructions.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Visual Attention & Eye Movements, Decision-making (minor), Working Memory (minor)
L3: ",L2
CharXiv Reasoning,https://charxiv.github.io/,https://arxiv.org/abs/2406.18521,"CharXiv Reasoning evaluates reasoning over scientific figures and associated context from arXiv-style documents, often requiring quantitative interpretation and multi-step inference. It emphasizes extracting structured information from charts/plots and integrating it with textual constraints to produce correct answers.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Logical Reasoning, Multisensory Integration (minor), Working Memory (minor)
L3: ",L2
OmniDocBench 1.5,https://github.com/opendatalab/OmniDocBench,https://arxiv.org/abs/2412.07626,"OmniDocBench 1.5 evaluates document understanding across mixed content types such as text, tables, formulas, and reading order, reflecting realistic OCR+layout challenges. It stresses accurate perception of document structure and faithful transcription or reconstruction under formatting constraints.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Attention, Working Memory (minor)
L3: ",L2
Video-MMMU,https://videommmu.github.io/,https://arxiv.org/abs/2501.13826,"Video-MMMU extends multimodal understanding to video, requiring models to integrate information across frames and time to answer questions. It stresses temporal evidence accumulation, grounding language in dynamic visual content, and handling long multi-frame contexts.","L1: Visual Perception (minor)
L2: Multisensory Integration, Scene Understanding & Visual Reasoning, Attention, Working Memory
L3: Cognitive Timing & Predictive Modeling (minor)",L2
LiveCodeBench Pro,https://livecodebenchpro.com/projects/livecodebench-pro/leaderboard,https://arxiv.org/abs/2506.11928,"LiveCodeBench Pro measures coding ability on competitively difficult, frequently updated programming tasks, often summarized via an ELO-style rating. It emphasizes algorithmic reasoning, implementation correctness, and robustness against overfitting to stale problem sets.","L1: 
L2: Logical Reasoning, Planning, Working Memory, Decision-making (minor)
L3: Inhibitory Control (minor)",L2
FACTS Benchmark Suite,https://deepmind.google/blog/facts-benchmark-suite-systematically-evaluating-the-factuality-of-large-language-models/,https://arxiv.org/abs/2512.10791,"FACTS Benchmark Suite systematically evaluates factuality and grounding behavior, measuring whether model outputs remain supported by given sources or known truths across varied scenarios. It targets error modes like hallucination, unsupported elaboration, and citation/attribution failures.","L1: Language Comprehension (minor)
L2: Semantic Understanding & Context Recognition, Working Memory (minor)
L3: Inhibitory Control, Self-reflection (minor)",L3
SimpleQA Verified,https://www.kaggle.com/benchmarks/deepmind/simpleqa-verified,https://arxiv.org/abs/2509.07968,"SimpleQA Verified is a factual question answering benchmark with verified ground truth and standardized evaluation, used to probe precision on short, unambiguous queries. It emphasizes resisting hallucination and producing concise, correct responses rather than persuasive but unsupported text.","L1: Language Comprehension (minor)
L2: Semantic Understanding & Context Recognition
L3: Inhibitory Control, Self-reflection (minor)",L3
Global PIQA,https://huggingface.co/datasets/mrlbenchmarks/global-piqa-nonparallel,https://arxiv.org/abs/2510.24081,"Global PIQA evaluates commonsense reasoning about physical interactions and everyday procedures across many languages, aiming to probe “what would work” in the real world. It emphasizes intuitive physics and practical plausibility judgments, not just linguistic fluency.","L1: Language Comprehension
L2: Logical Reasoning, Semantic Understanding & Context Recognition, Spatial Representation & Mapping (minor), Scene Understanding & Visual Reasoning (minor)
L3: ",L2
MRCR v2 (8-needle),https://huggingface.co/datasets/openai/mrcr,https://arxiv.org/abs/2409.12640,"MRCR v2 (8-needle) evaluates long-context retrieval and multi-round coreference by inserting multiple similar “needle” interactions into long “haystacks,” then asking models to reproduce a specific target response. It stresses stable attention over long contexts and precise matching of the correct referenced instance amid distractors.","L1: Language Comprehension
L2: Working Memory, Attention, Semantic Understanding & Context Recognition (minor)
L3: ",L2
GDPval,https://openai.com/index/gdpval/,https://arxiv.org/abs/2510.04374,"GDPval evaluates well-specified professional knowledge-work tasks across many occupations, judged by experts via head-to-head comparisons against human outputs. Tasks often require producing real artifacts (e.g., spreadsheets, presentations, plans) under constraints, emphasizing end-to-end utility and correctness.","L1: Language Production
L2: Planning, Decision-making, Working Memory, Semantic Understanding & Context Recognition (minor)
L3: Self-reflection (minor)",L2
SWE-Lancer,https://openai.com/index/swe-lancer/,https://arxiv.org/abs/2502.12115,"SWE-Lancer targets agentic software engineering work that more closely resembles professional “ticket” execution, often involving ambiguity, prioritization, and iterative refinement. It emphasizes reliable end-to-end delivery: understanding requirements, modifying code correctly, and producing patches that satisfy evaluation criteria.","L1: 
L2: Planning, Decision-making, Logical Reasoning, Working Memory
L3: Self-reflection (minor)",L2
Graphwalks,https://huggingface.co/datasets/openai/graphwalks,,"Graphwalks evaluates reasoning over graph-structured data, such as executing or simulating walks, reachability, and relational queries that require tracking nodes and edges across steps. It stresses systematic multi-step inference under distraction and long dependency chains rather than factual recall.","L1: 
L2: Logical Reasoning, Working Memory, Attention, Spatial Representation & Mapping (minor)
L3: ",L2
