Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates software engineering agents on real GitHub issues by requiring them to produce a patch that makes a failing test suite pass. The “Verified” subset uses tasks that have been validated as solvable and reliably testable, emphasizing end-to-end debugging, code editing, and regression-free fixes.","L1: Language Comprehension (minor), Language Production (minor)
L2: Planning, Logical Reasoning, Working Memory, Semantic Understanding & Context Recognition (minor)
L3: Self-reflection (minor)",L2
SWE-bench Multilingual,https://www.swebench.com/multilingual.html,https://arxiv.org/abs/2504.21798,"SWE-bench Multilingual extends the SWE-bench paradigm beyond Python to multiple programming languages and ecosystems, testing whether an agent can localize defects and implement fixes under different toolchains and language idioms. It stresses transfer of debugging and patch-construction skills across languages and project conventions.","L1: Language Comprehension (minor), Language Production (minor)
L2: Planning, Logical Reasoning, Working Memory, Semantic Understanding & Context Recognition (minor)
L3: Cognitive Flexibility",L3
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a larger and harder software engineering benchmark aimed at more industrially realistic tasks and stronger contamination resistance. Models must generate correct patches for real issues across multiple languages and repositories, often requiring longer dependency chains and more robust test-driven iteration.","L1: 
L2: Planning, Decision-making, Logical Reasoning, Working Memory
L3: Self-reflection (minor), Cognitive Flexibility (minor)",L2
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 evaluates agentic performance in command-line environments, where a model must use shell commands to inspect files, run programs, and complete real tasks inside a container. Success depends on iterative diagnosis, correct command sequencing, and handling tool feedback under resource and time constraints.","L1: 
L2: Planning, Working Memory, Logical Reasoning, Decision-making (minor), Attention (minor)
L3: Self-reflection (minor)",L2
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp measures an agent’s ability to answer difficult questions by searching and reading web content, often requiring multi-hop retrieval and cross-document synthesis. It emphasizes tool-driven information acquisition, source selection, and faithful aggregation of evidence into a final answer.","L1: Language Comprehension (minor)
L2: Planning, Attention, Working Memory, Semantic Understanding & Context Recognition, Decision-making (minor)
L3: Inhibitory Control (minor)",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-agents-in-collaborative-real-world-scenarios,https://arxiv.org/abs/2506.07982,"τ2-bench evaluates agents in multi-turn, policy-constrained customer-support scenarios (e.g., retail, airline, telecom) that require calling APIs and interacting with a simulated user. It probes whether agents can follow domain policies, keep conversational state, and reliably execute tool workflows without violating constraints.","L1: Language Comprehension (minor), Language Production (minor)
L2: Planning, Decision-making, Working Memory
L3: Social Reasoning & Theory of Mind, Inhibitory Control, Emotional intelligence (minor)",L3
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld benchmarks multimodal “computer use” agents that must operate a full desktop-like environment to complete tasks (e.g., browsing, file operations, app interactions). Models need to interpret screenshots/UI state, plan action sequences, and recover from mistakes across many steps.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Visual Attention & Eye Movements, Planning, Decision-making (minor), Working Memory (minor), Sensorimotor Coordination (minor)
L3: ",L2
ARC-AGI-2,https://arcprize.org/arc-agi/2,https://arxiv.org/abs/1911.01547,ARC-AGI-2 is a fluid-reasoning benchmark built around abstract grid transformation puzzles where the rule must be inferred from a few examples and then applied to a new input. It is designed to test generalization to novel patterns rather than learned domain knowledge or memorization.,"L1: Visual Perception (minor)
L2: Logical Reasoning, Working Memory, Spatial Representation & Mapping (minor), Planning (minor)
L3: Cognitive Flexibility",L3
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon agent coherence and business decision-making in a simulated vending-machine company over an extended time period. Agents must manage inventory, pricing, supplier negotiations, and finances, requiring sustained planning and consistent state tracking across many decisions.","L1: 
L2: Planning, Decision-making, Working Memory, Semantic Understanding & Context Recognition (minor), Reward Mechanisms (minor)
L3: Self-reflection (minor)",L2
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas measures real-world tool-use ability via the Model Context Protocol (MCP), where models must discover, invoke, and compose API tools across multi-step workflows. It focuses on correct tool selection, parameterization, error handling, and integrating tool outputs into accurate responses.","L1: 
L2: Planning, Decision-making, Working Memory, Semantic Understanding & Context Recognition (minor)
L3: Inhibitory Control (minor), Self-reflection (minor)",L2
FinanceAgent,https://www.vals.ai/benchmarks/finance_agent,,"FinanceAgent evaluates agentic performance on tasks typical of entry-level financial analysts, such as extracting information, performing calculations, building structured outputs, and citing sources. It tests multi-step analytical workflows and the ability to produce professional-grade financial reasoning artifacts.","L1: Language Production (minor)
L2: Semantic Understanding & Context Recognition, Logical Reasoning, Planning, Working Memory, Decision-making (minor)
L3: ",L2
CyberGym,https://www.cybergym.io/,https://arxiv.org/abs/2506.02548,"CyberGym evaluates cybersecurity agents on vulnerability identification and discovery tasks grounded in real open-source software projects. Models must interpret vulnerability descriptions or code context, reason about exploitation and fixes, and produce correct outputs under a pass@1 setting.","L1: 
L2: Logical Reasoning, Planning, Working Memory, Semantic Understanding & Context Recognition (minor)
L3: Inhibitory Control (minor), Self-reflection (minor)",L2
SpreadsheetBench,https://spreadsheetbench.github.io/,https://arxiv.org/abs/2406.14991,"SpreadsheetBench measures an agent’s ability to understand, edit, and compute within complex spreadsheets (often with real-world structure and constraints). It stresses structured manipulation, formula reasoning, table operations, and producing correct final spreadsheet artifacts from messy contexts.","L1: 
L2: Planning, Working Memory, Logical Reasoning, Attention (minor), Decision-making (minor), Semantic Understanding & Context Recognition (minor)
L3: ",L2
Humanity’s Last Exam,https://agi.safe.ai/,https://arxiv.org/abs/2501.14249,"Humanity’s Last Exam is a broad, frontier-level benchmark spanning difficult questions across domains (often including multimodal items) intended to probe limits of general reasoning and expert knowledge. It rewards careful synthesis, uncertainty management, and (when allowed) effective use of external tools like search or code.","L1: 
L2: Logical Reasoning, Semantic Understanding & Context Recognition, Working Memory, Planning (minor), Multisensory Integration (minor), Attention (minor)
L3: ",L2
AIME 2025,https://matharena.ai/?view=problem&comp=aime--aime_2025,https://arxiv.org/abs/2505.23281,"AIME 2025 consists of competition mathematics problems from the 2025 American Invitational Mathematics Examination, typically requiring multi-step derivations and exact numeric answers. Performance depends on symbolic manipulation, correct decomposition into subproblems, and avoiding arithmetic slips.","L1: 
L2: Logical Reasoning, Working Memory, Planning, Attention (minor)
L3: ",L2
GPQA Diamond,https://artificialanalysis.ai/evaluations/gpqa-diamond,https://arxiv.org/abs/2311.12022,"GPQA Diamond is a hard subset of graduate-level, “Google-proof” multiple-choice science questions designed to resist shallow retrieval and reward deep reasoning. It tests whether models can integrate domain knowledge with careful inference under distractor-heavy answer choices.","L1: 
L2: Semantic Understanding & Context Recognition, Logical Reasoning, Working Memory (minor), Decision-making (minor)
L3: ",L2
MMMLU,https://huggingface.co/datasets/openai/MMMLU,https://arxiv.org/abs/2009.03300,"MMMLU extends MMLU to multiple languages, evaluating broad academic knowledge and reasoning across subjects in non-English settings. It tests whether models retain competence under multilingual phrasing and culturally varied formulations of concepts and questions.","L1: Language Comprehension
L2: Semantic Understanding & Context Recognition, Logical Reasoning, Working Memory (minor)
L3: Cognitive Flexibility (minor)",L2
MMMU,https://mmmu-benchmark.github.io/,https://arxiv.org/abs/2311.16502,"MMMU evaluates multimodal understanding and reasoning across many disciplines by requiring models to answer questions grounded in images (diagrams, charts, photos) and text. It emphasizes integrating visual evidence with domain knowledge and multi-step inference.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Multisensory Integration, Logical Reasoning, Working Memory (minor), Visual Attention & Eye Movements (minor)
L3: ",L2
MMMU-Pro,https://mmmu-benchmark.github.io/,https://arxiv.org/abs/2409.02813,"MMMU-Pro is a more challenging MMMU variant aimed at higher difficulty and stronger evaluation signal for frontier multimodal models. It emphasizes robust visual reasoning, reduced reliance on shortcuts, and stronger cross-domain generalization from multimodal evidence.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Multisensory Integration, Logical Reasoning, Attention (minor), Working Memory (minor)
L3: ",L2
LAB-Bench FigQA,https://huggingface.co/datasets/futurehouse/lab-bench,https://arxiv.org/abs/2407.10362,"LAB-Bench FigQA tests whether models can interpret and reason over complex scientific figures from biology papers, such as plots, microscopy images, and multi-panel diagrams. It probes visually grounded scientific reasoning, including extracting quantitative trends and mapping captions/labels to figure elements.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Semantic Understanding & Context Recognition, Logical Reasoning, Visual Attention & Eye Movements (minor), Working Memory (minor)
L3: ",L2
