Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,SWE-bench Verified evaluates LLM-based software engineering agents on real GitHub issues where the model must generate a code patch that makes the project’s tests pass. The “Verified” subset contains tasks validated by human engineers to be solvable and is commonly reported as pass@1 under a fixed agent scaffold.,"L1: 
L2: Logical Reasoning, Planning, Working Memory, Semantic Understanding & Context Recognition (minor)
L3: Self-reflection (minor)",L2
SWE-bench Multilingual,https://www.swebench.com/multilingual.html,https://arxiv.org/abs/2504.21798,"SWE-bench Multilingual extends SWE-bench-style bug-fixing to multiple programming languages and ecosystems, requiring models to adapt their coding behaviors beyond Python-centric tooling. Tasks still involve repository understanding, patch generation, and test-based validation, but across varied syntax, libraries, and build systems.","L1: 
L2: Logical Reasoning, Planning, Working Memory, Semantic Understanding & Context Recognition (minor)
L3: Cognitive Flexibility",L3
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a larger and more difficult software engineering benchmark intended to be more contamination-resistant and more reflective of professional, multi-language development work. Models must implement correct patches in real repositories under evaluation harness constraints, typically reported as pass@1.","L1: 
L2: Planning, Logical Reasoning, Working Memory
L3: Self-reflection (minor), Inhibitory Control (minor)",L2
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 measures agentic performance on real command-line tasks executed in sandboxed environments (e.g., debugging, installing dependencies, manipulating files, running programs). Success depends on iteratively using tool feedback (stdout/stderr, exit codes) to converge on a correct terminal workflow under step and resource limits.","L1: 
L2: Planning, Decision-making, Working Memory, Adaptive Error Correction (minor), Attention (minor)
L3: ",L2
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp evaluates “deep research” abilities where models must search and synthesize information from a controlled document corpus or web-like index to answer challenging questions. It stresses retrieval strategy, evidence tracking, and producing a final justified answer in a single attempt or constrained agent setting.","L1: 
L2: Planning, Attention, Working Memory, Semantic Understanding & Context Recognition, Decision-making (minor)
L3: ",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-agents-in-collaborative-real-world-scenarios,https://arxiv.org/abs/2506.07982,"τ2-bench measures how well an agent conducts multi-turn task completion with a simulated user while interacting with domain APIs (e.g., retail, airline, telecom) and adhering to policies. It emphasizes robust tool use, policy-following under pressure, and conversational coordination over long interaction trajectories.","L1: 
L2: Planning, Decision-making, Working Memory (minor)
L3: Social Reasoning & Theory of Mind, Inhibitory Control",L3
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld benchmarks multimodal “computer use” where an agent must complete tasks by operating within an operating-system-like GUI using screenshots and actions (click, type, navigate). It probes perception-to-action grounding, interface understanding, and step-by-step planning under a bounded action budget.","L1: Visual Perception
L2: Visual Attention & Eye Movements, Planning, Working Memory, Spatial Representation & Mapping (minor)
L3: ",L2
ARC-AGI-2,https://arcprize.org/arc-agi/2,https://arxiv.org/abs/1911.01547,ARC-AGI-2 is a “fluid reasoning” benchmark of abstract grid transformations where each task provides a few input-output examples and requires inferring the rule to transform a novel input. It is designed to emphasize generalization and rule induction rather than memorized domain knowledge.,"L1: 
L2: Logical Reasoning, Working Memory, Scene Understanding & Visual Reasoning, Spatial Representation & Mapping (minor)
L3: Cognitive Flexibility",L3
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon agent coherence by simulating management of a vending-machine business over an extended period, with performance scored by final financial outcome. Agents must plan, negotiate, track inventory, adapt pricing, and maintain consistency across many sequential decisions.","L1: 
L2: Planning, Decision-making, Working Memory, Reward Mechanisms (minor)
L3: Self-reflection (minor)",L2
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas tests real-world tool use through the Model Context Protocol (MCP), requiring models to discover tools, call them correctly, handle errors, and compose multi-step workflows across servers. It reflects production-like API orchestration and robustness in tool-driven task execution.","L1: 
L2: Planning, Decision-making, Working Memory, Attention (minor)
L3: Inhibitory Control (minor)",L2
FinanceAgent,https://www.vals.ai/benchmarks/finance_agent,,"FinanceAgent evaluates tasks characteristic of entry-level financial analysis, such as interpreting financial documents, performing calculations, building models, and producing analyst-style outputs. It stresses domain knowledge application, structured reasoning, and multi-step artifact generation rather than single fact recall.","L1: 
L2: Logical Reasoning, Planning, Decision-making (minor), Semantic Understanding & Context Recognition, Working Memory
L3: ",L2
CyberGym,https://www.cybergym.io/,https://arxiv.org/abs/2506.02548,"CyberGym evaluates cybersecurity agent capabilities on large suites of tasks including identifying known vulnerabilities from descriptions and, in some settings, discovering new vulnerabilities in real open-source projects. Performance depends on code comprehension, hypothesis generation about exploits, and iterative debugging/testing in constrained environments.","L1: 
L2: Logical Reasoning, Planning, Working Memory, Attention (minor)
L3: Self-reflection (minor)",L2
SpreadsheetBench,https://spreadsheetbench.github.io/,https://arxiv.org/abs/2406.14991,"SpreadsheetBench assesses an agent’s ability to navigate, edit, and compute with complex spreadsheets derived from real-world scenarios. Tasks require locating relevant cells/sheets, applying correct formulas or transformations, and producing correctly formatted outputs under tool-based execution.","L1: 
L2: Planning, Working Memory, Decision-making, Attention, Logical Reasoning (minor)
L3: ",L2
Humanity’s Last Exam,https://agi.safe.ai/,https://arxiv.org/abs/2501.14249,"Humanity’s Last Exam (HLE) is a broad, frontier-level benchmark spanning difficult questions across many domains and modalities, often requiring multi-step reasoning and, in some settings, tool use (search/code). It is intended to approximate the outer edge of expert knowledge work rather than narrow academic quizzes.","L1: Visual Perception (minor)
L2: Semantic Understanding & Context Recognition, Logical Reasoning, Working Memory (minor), Planning (minor)
L3: ",L2
AIME 2025,https://matharena.ai/?view=problem&comp=aime--aime_2025,https://arxiv.org/abs/2505.23281,"AIME 2025 evaluates competition-style mathematics problems from the American Invitational Mathematics Examination, typically requiring multi-step symbolic reasoning and careful constraint handling. Scores are reported as accuracy over the problem set, sometimes with or without tool assistance.","L1: 
L2: Logical Reasoning, Working Memory, Planning (minor), Attention (minor)
L3: ",L2
GPQA Diamond,https://artificialanalysis.ai/evaluations/gpqa-diamond,https://arxiv.org/abs/2311.12022,GPQA Diamond is a curated subset of the GPQA benchmark consisting of very difficult graduate-level multiple-choice science questions designed to be “Google-proof.” It emphasizes deep scientific reasoning and discrimination among close distractors rather than surface-level recall.,"L1: 
L2: Logical Reasoning, Semantic Understanding & Context Recognition, Working Memory (minor), Attention (minor)
L3: ",L2
MMMLU,https://huggingface.co/datasets/openai/MMMLU,https://arxiv.org/abs/2009.03300,"MMMLU extends MMLU into multiple languages, testing broad academic knowledge and reasoning across many subjects with multilingual prompts. It probes whether a model’s competence generalizes beyond English and across language-specific phrasing and conventions.","L1: Language Comprehension
L2: Semantic Understanding & Context Recognition, Logical Reasoning (minor)
L3: Cognitive Flexibility (minor)",L2
