Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates whether a model can fix real bugs in open-source Python repositories by producing a patch that makes provided tests pass. The “Verified” subset consists of issues that have been checked by humans to be solvable and correctly specified, emphasizing realistic software-engineering debugging rather than toy problems.","L1: Language Comprehension, Language Production
L2: Logical Reasoning, Planning, Working Memory
L3: Self-reflection (minor)",L2
SWE-bench Multilingual,https://www.swebench.com/multilingual.html,https://arxiv.org/abs/2504.21798,"SWE-bench Multilingual extends SWE-bench-style repository-level bug fixing beyond Python, measuring patch generation across multiple programming languages. It stresses a model’s ability to transfer debugging and code-editing competence across different syntaxes, ecosystems, and tooling conventions.","L1: Language Comprehension, Language Production
L2: Logical Reasoning, Planning, Working Memory
L3: Cognitive Flexibility",L3
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a larger and more difficult software engineering benchmark designed to be more robust to contamination and to better reflect industrially relevant bug-fix tasks across multiple languages. Tasks typically require deeper repository understanding, more complex edits, and stronger end-to-end solution reliability.","L1: Language Comprehension, Language Production
L2: Logical Reasoning, Planning, Decision-making (minor), Working Memory
L3: Self-reflection (minor), Cognitive Flexibility (minor)",L2
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 evaluates agentic problem solving in a command-line environment where the model must complete real tasks by issuing shell commands and interpreting outputs. It emphasizes iterative investigation, tool-driven execution, and robust multi-step workflows under environment constraints.","L1: Language Comprehension (minor)
L2: Planning, Decision-making, Working Memory, Attention (minor)
L3: Self-reflection (minor)",L2
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp measures “deep research” ability by requiring models to answer difficult questions using browsing/search over a curated document collection (or controlled search interfaces), with an emphasis on reproducibility. Strong performance typically requires decomposing queries, triangulating evidence, and synthesizing grounded final answers from multiple sources.","L1: Language Comprehension (minor), Language Production (minor)
L2: Planning, Decision-making, Attention, Working Memory, Semantic Understanding & Context Recognition
L3: Self-reflection (minor)",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-agents-in-collaborative-real-world-scenarios,https://arxiv.org/abs/2506.07982,"τ2-bench evaluates interactive agent performance in multi-turn customer-support-style environments (e.g., retail, airline, telecom) that combine policy following, tool/API use, and conversational cooperation with a simulated user. It probes whether an agent can resolve goals while respecting constraints and maintaining coherent dialogue over long horizons.","L1: Language Comprehension, Language Production
L2: Planning, Decision-making, Working Memory
L3: Social Reasoning & Theory of Mind, Inhibitory Control, Emotional intelligence (minor), Empathy (minor)",L3
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld is a multimodal benchmark for computer-use agents operating in an operating-system-like environment, requiring navigation of GUIs, applications, and files to complete tasks. It tests whether a model can perceive screen state, plan actions, and execute stepwise interaction robustly over many steps.","L1: Visual Perception
L2: Visual Attention & Eye Movements, Scene Understanding & Visual Reasoning, Planning, Decision-making, Working Memory, Sensorimotor Coordination (minor)
L3: ",L2
ARC-AGI-2,https://arcprize.org/arc-agi/2,https://arxiv.org/abs/1911.01547,"ARC-AGI-2 is a fluid-intelligence-style benchmark where models infer abstract transformation rules from a few input–output grid examples and apply the rule to a new grid. It aims to reduce reliance on memorized patterns and emphasize novel reasoning, compositional rule inference, and generalization from sparse demonstrations.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Logical Reasoning, Working Memory, Attention (minor)
L3: Cognitive Flexibility",L3
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon autonomy by having an agent run a simulated vending machine business over an extended period, making many interdependent decisions (inventory, supplier negotiation, pricing, budgeting). Success depends on sustained coherence, strategic planning, and adapting actions to evolving market dynamics.","L1: 
L2: Planning, Decision-making, Working Memory, Reward Mechanisms (minor)
L3: Self-reflection (minor), Social Reasoning & Theory of Mind (minor)",L2
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas measures real-world tool-use via the Model Context Protocol (MCP), requiring models to discover available tools, invoke APIs correctly, handle errors, and compose multi-step workflows across servers. It emphasizes reliable action sequencing and integration of tool outputs into correct final responses.","L1: Language Comprehension (minor), Language Production (minor)
L2: Planning, Decision-making, Working Memory
L3: Self-reflection (minor)",L2
FinanceAgent,https://www.vals.ai/benchmarks/finance_agent,,"FinanceAgent evaluates agent performance on tasks representative of entry-level financial analysis, such as interpreting financial documents, performing calculations, building structured analyses, and producing decision-support outputs. The benchmark emphasizes correctness, domain reasoning, and coherent artifact generation under realistic constraints.","L1: Language Production (minor)
L2: Semantic Understanding & Context Recognition, Logical Reasoning, Planning, Decision-making (minor), Working Memory
L3: ",L2
