Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates software engineering by giving a model a real GitHub repository issue and requiring it to produce a code patch that makes the project’s tests pass. The Verified subset uses human-validated tasks to reduce ambiguity and unsolved or underspecified issues, making pass@1 patch success more interpretable.","L1: 
L2: Logical Reasoning, Planning, Working Memory, Decision-making (minor), Semantic Understanding & Context Recognition (minor)
L3: ",L2
SWE-bench Multilingual,https://www.swebench.com/multilingual.html,https://arxiv.org/abs/2504.21798,"SWE-bench Multilingual extends SWE-bench-style repository repair to multiple programming languages, testing whether a model can localize and fix bugs across diverse ecosystems and toolchains. It emphasizes cross-language transfer, syntax/idiom adaptation, and consistent patch quality under a single evaluation interface.","L1: 
L2: Logical Reasoning, Planning, Working Memory, Semantic Understanding & Context Recognition (minor)
L3: Cognitive Flexibility",L3
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a larger, harder software engineering benchmark designed to be more contamination-resistant and more representative of professional coding work. It evaluates end-to-end patch generation for realistic issues, often requiring deeper repository understanding and more robust debugging than typical unit-test style tasks.","L1: 
L2: Logical Reasoning, Planning, Working Memory, Decision-making
L3: Cognitive Flexibility (minor)",L2
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 evaluates agentic coding and system operation in a real command-line environment, where the model must run programs, inspect files, install dependencies, and iteratively fix issues. Success depends on choosing effective shell actions, interpreting tool outputs, and converging on a working solution under constraints.","L1: 
L2: Planning, Decision-making, Working Memory, Logical Reasoning
L3: Inhibitory Control (minor)",L2
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp measures deep-research and browsing ability by requiring models to find answers using web-style information access rather than only parametric memory. It tests whether an agent can search, read, synthesize across sources, and produce a grounded final answer under realistic retrieval constraints.","L1: Language Comprehension
L2: Planning, Attention, Working Memory, Semantic Understanding & Context Recognition (minor)
L3: ",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-agents-in-collaborative-real-world-scenarios,https://arxiv.org/abs/2506.07982,"τ2-bench evaluates interactive tool-using agents in multi-turn customer-support scenarios (e.g., retail, airline, telecom) with domain policies and programmatic APIs. Models must maintain state across turns, follow constraints, gather needed information, and execute correct tool calls while communicating clearly with a simulated user.","L1: Language Comprehension (minor), Language Production (minor)
L2: Planning, Decision-making, Working Memory
L3: Social Reasoning & Theory of Mind, Inhibitory Control",L3
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld evaluates multimodal computer-use agents operating in desktop environments, requiring navigation of GUIs, reading screens, and completing tasks via interactions like clicking and typing. It probes whether an agent can translate visual interface state into correct multi-step actions over long trajectories.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Visual Attention & Eye Movements, Planning, Decision-making, Working Memory (minor)
L3: ",L2
ARC-AGI-2,https://arcprize.org/arc-agi/2,https://arxiv.org/abs/1911.01547,ARC-AGI-2 is a fluid-intelligence style benchmark based on discovering latent rules from a few input–output grid examples and applying the inferred transformation to a new input. It is designed to emphasize novel pattern induction and generalization rather than memorized knowledge.,"L1: Visual Perception (minor)
L2: Logical Reasoning, Working Memory, Spatial Representation & Mapping
L3: Cognitive Flexibility",L3
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 measures long-horizon coherence and economic planning in a simulated vending-machine business run over many steps. Models must manage inventory, negotiate, set prices, and adapt strategies over time to maximize final balance, stressing sustained goal pursuit.","L1: 
L2: Planning, Decision-making, Working Memory, Reward Mechanisms (minor)
L3: Self-reflection (minor)",L2
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas evaluates real-world tool use through the Model Context Protocol, requiring models to discover tools, invoke them correctly, handle errors, and compose multi-step workflows across servers. It emphasizes reliable action selection and execution in production-like API environments.","L1: Language Comprehension (minor)
L2: Planning, Decision-making, Working Memory
L3: Inhibitory Control (minor)",L2
