Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,SWE-bench Verified evaluates software engineering agents on real GitHub issues by requiring them to generate a code patch that makes the repository’s tests pass. The “Verified” subset uses tasks that have been validated as solvable and is typically scored by whether the produced patch passes an automated test harness in a single attempt.,"L1: 
L2: Logical Reasoning, Planning, Working Memory, Adaptive Error Correction (minor), Semantic Understanding & Context Recognition (minor)
L3: ",L2
SWE-bench Multilingual,https://www.swebench.com/multilingual.html,https://arxiv.org/abs/2504.21798,"SWE-bench Multilingual extends the SWE-bench paradigm to multiple programming languages, testing whether an agent can understand diverse repos, error messages, and language-specific tooling. It emphasizes cross-language generalization while retaining the core “fix the bug / implement the change” setup with test-based verification.","L1: 
L2: Logical Reasoning, Planning, Working Memory, Semantic Understanding & Context Recognition (minor)
L3: Cognitive Flexibility",L3
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a larger and harder software engineering benchmark focused on realistic, higher-variance engineering work, often spanning more complex repos and tasks than SWE-bench Verified. It is designed to better reflect professional development scenarios and to be more robust for differentiating frontier systems.","L1: 
L2: Planning, Logical Reasoning, Decision-making, Working Memory
L3: Cognitive Flexibility (minor)",L2
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 evaluates agentic coding and system tasks performed through a command-line interface, such as editing files, running commands, installing dependencies, and debugging failures. Success typically depends on choosing appropriate shell actions and iterating toward a working solution under resource and time constraints.","L1: 
L2: Planning, Decision-making, Working Memory, Attention (minor), Adaptive Error Correction (minor)
L3: ",L2
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp evaluates “deep research” agents that must use browsing/search tools to answer difficult questions that require multi-step information gathering and synthesis. It emphasizes reliable tool use, evidence aggregation, and producing a final answer that is supported by retrieved sources rather than pure parametric recall.","L1: 
L2: Planning, Attention, Semantic Understanding & Context Recognition, Working Memory
L3: Self-reflection (minor)",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-agents-in-collaborative-real-world-scenarios,https://arxiv.org/abs/2506.07982,"τ2-bench measures interactive agent performance in simulated real-world customer support settings (e.g., retail, airline, telecom) where the agent must converse with a user and invoke APIs while obeying policies. The benchmark stresses multi-turn coherence, policy compliance, and practical tool-mediated task completion.","L1: Language Comprehension (minor), Language Production (minor)
L2: Decision-making, Planning
L3: Social Reasoning & Theory of Mind, Inhibitory Control",L3
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld evaluates multimodal “computer use” agents that operate in a desktop-like operating system environment, using screenshots and UI actions to complete tasks. It stresses robust perception of GUI state, planning sequences of actions, and adapting when intermediate steps fail.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Planning, Visual Attention & Eye Movements (minor), Working Memory (minor), Sensorimotor Coordination (minor)
L3: ",L2
ARC-AGI-2,https://arcprize.org/arc-agi/2,https://arxiv.org/abs/1911.01547,"ARC-AGI-2 is a fluid intelligence benchmark based on abstract grid transformation puzzles, where models must infer a hidden rule from a few input-output examples and apply it to a new input. It targets generalization to novel patterns and compositional reasoning under strong distribution shift.","L1: Visual Perception (minor)
L2: Logical Reasoning, Working Memory, Spatial Representation & Mapping
L3: Cognitive Flexibility",L3
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon autonomy by placing an agent in a simulated vending-machine business that it must run over extended time, including procurement, pricing, inventory, and communication. Scores are based on business outcomes (e.g., final balance), rewarding sustained strategy and coherent decision-making across many steps.","L1: 
L2: Planning, Decision-making, Working Memory, Reward Mechanisms (minor), Episodic Memory (minor)
L3: ",L2
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas evaluates real-world tool use via the Model Context Protocol (MCP), requiring models to discover tools, call them correctly, handle failures, and combine results across multi-step workflows. Tasks are designed to resemble production API usage, emphasizing reliability and correctness under tool-mediated interaction.","L1: 
L2: Planning, Decision-making, Working Memory, Adaptive Error Correction (minor), Attention (minor)
L3: ",L2
FinanceAgent,https://www.vals.ai/benchmarks/finance_agent,,"FinanceAgent assesses agent performance on tasks typical of an entry-level financial analyst, often involving document/financial statement analysis, computation, and producing structured deliverables. It emphasizes applied reasoning with domain constraints and correctness of quantitative and narrative outputs.","L1: 
L2: Semantic Understanding & Context Recognition, Logical Reasoning, Working Memory, Planning (minor), Decision-making (minor)
L3: ",L2
CyberGym,https://www.cybergym.io/,https://arxiv.org/abs/2506.02548,"CyberGym evaluates cybersecurity agents on tasks such as identifying known vulnerabilities from descriptions and discovering new vulnerabilities in real open-source projects. It stresses reading code, forming hypotheses about weakness locations, and validating findings with systematic investigation.","L1: 
L2: Logical Reasoning, Planning, Attention, Semantic Understanding & Context Recognition (minor)
L3: Inhibitory Control (minor)",L2
SpreadsheetBench,https://spreadsheetbench.github.io/,https://arxiv.org/abs/2406.14991,"SpreadsheetBench evaluates an agent’s ability to understand, edit, and compute over complex spreadsheets, often requiring multi-step transformations and correct formula/structure manipulation. Many tasks resemble real office workflows, emphasizing accurate structured reasoning and careful execution.","L1: 
L2: Working Memory, Logical Reasoning, Planning, Attention (minor)
L3: ",L2
Humanity’s Last Exam,https://agi.safe.ai/,https://arxiv.org/abs/2501.14249,"Humanity’s Last Exam is a difficult multimodal benchmark intended to probe frontier-level knowledge and reasoning across many domains, often requiring synthesis rather than rote recall. It is used to evaluate broad general capability on expert-like questions that may involve text, images, and tool use in some settings.","L1: 
L2: Semantic Understanding & Context Recognition, Logical Reasoning, Working Memory, Multisensory Integration (minor), Planning (minor)
L3: ",L2
AIME 2025,https://matharena.ai/?view=problem&comp=aime--aime_2025,https://arxiv.org/abs/2505.23281,"AIME 2025 consists of problems from a well-known high school mathematics competition that require multi-step symbolic reasoning and careful case handling. Models are scored by exact answers, often under a no-tools or restricted-tools setting depending on the evaluation protocol.","L1: 
L2: Logical Reasoning, Working Memory, Planning (minor)
L3: ",L2
GPQA Diamond,https://artificialanalysis.ai/evaluations/gpqa-diamond,https://arxiv.org/abs/2311.12022,"GPQA Diamond is a challenging set of graduate-level multiple-choice science questions designed to be resistant to superficial pattern matching and “Googleable” shortcuts. It targets deep understanding and reasoning in physics, chemistry, and biology under constrained answer formats.","L1: 
L2: Semantic Understanding & Context Recognition, Logical Reasoning, Working Memory (minor)
L3: ",L2
MMMLU,https://huggingface.co/datasets/openai/MMMLU,https://arxiv.org/abs/2009.03300,"MMMLU extends large-scale multi-subject knowledge testing to multiple languages, assessing whether models can answer academic questions across many fields in non-English settings. It emphasizes multilingual generalization while retaining the breadth and coverage of MMLU-style evaluations.","L1: Language Comprehension
L2: Semantic Understanding & Context Recognition, Working Memory (minor)
L3: Cognitive Flexibility",L3
