Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates automated software engineering by asking a model to generate patches that fix real issues in open-source Python repositories. The “Verified” subset consists of tasks validated by humans to be solvable and to have reliable test-based grading, emphasizing end-to-end repo understanding and correct code edits.","L1: 
L2: Logical Reasoning, Planning, Working Memory, Semantic Understanding & Context Recognition (minor)
L3: Cognitive Flexibility (minor), Inhibitory Control (minor)",L2
SWE-bench Multilingual,https://www.swebench.com/multilingual.html,https://arxiv.org/abs/2504.21798,"SWE-bench Multilingual extends SWE-bench-style repository bug-fixing beyond Python to multiple programming languages, testing whether models can adapt their code understanding and patch generation across different ecosystems. It emphasizes cross-language generalization, tooling familiarity, and producing changes that satisfy project tests.","L1: Language Comprehension (minor)
L2: Logical Reasoning, Planning, Working Memory, Semantic Understanding & Context Recognition (minor)
L3: Cognitive Flexibility",L3
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a harder software engineering benchmark designed to be more industrially realistic and contamination-resistant than SWE-bench Verified, spanning multiple languages and more complex tasks. It assesses whether a model can robustly implement correct fixes under realistic constraints and evaluation harnesses.","L1: 
L2: Logical Reasoning, Planning, Working Memory
L3: Cognitive Flexibility, Inhibitory Control (minor)",L3
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 evaluates agentic performance in command-line environments, where the model must complete real tasks using shell commands, file operations, and program execution. It measures the ability to iteratively diagnose problems, manipulate artifacts, and drive tasks to completion in an interactive tool loop.","L1: 
L2: Planning, Decision-making, Working Memory, Logical Reasoning
L3: Inhibitory Control (minor), Self-reflection (minor)",L2
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp evaluates “deep research” style web-browsing agents that must search, read, and synthesize information to answer challenging questions. Performance depends on selecting good search queries, cross-checking sources, and integrating evidence across documents under tool and context constraints.","L1: 
L2: Planning, Attention, Working Memory, Decision-making, Semantic Understanding & Context Recognition (minor)
L3: Inhibitory Control (minor)",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-agents-in-collaborative-real-world-scenarios,https://arxiv.org/abs/2506.07982,"τ2-bench measures interactive tool use in realistic, policy-constrained customer support simulations (e.g., retail, airline, telecom), where models must follow procedures while resolving user issues over multiple turns. It probes robust policy adherence, correct API usage, and coherent dialogue-driven task completion.","L1: Language Comprehension (minor), Language Production (minor)
L2: Planning, Decision-making, Working Memory
L3: Social Reasoning & Theory of Mind, Inhibitory Control",L3
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld evaluates multimodal computer-use agents that operate a desktop-like environment to complete tasks across applications (e.g., browsing, documents, settings). It stresses perception-action loops: interpreting UI state from screenshots, selecting actions, and executing multi-step workflows reliably.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Visual Attention & Eye Movements, Planning, Decision-making, Working Memory (minor)
L3: ",L2
ARC-AGI-2,https://arcprize.org/arc-agi/2,https://arxiv.org/abs/1911.01547,"ARC-AGI-2 is an abstract reasoning benchmark based on solving novel grid-transformation puzzles from a few examples, aiming to isolate fluid reasoning rather than memorized knowledge. It emphasizes inferring latent rules, generalizing to new inputs, and avoiding overfitting to superficial patterns.","L1: 
L2: Logical Reasoning, Working Memory, Scene Understanding & Visual Reasoning, Spatial Representation & Mapping (minor), Attention (minor)
L3: Cognitive Flexibility",L3
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon autonomous agency in a simulated business setting, where an agent manages a vending-machine operation over extended time with many decisions and messages. Success requires sustained coherence, strategic planning, and adapting to changing market and operational conditions.","L1: 
L2: Planning, Decision-making, Working Memory, Reward Mechanisms (minor)
L3: Cognitive Flexibility (minor), Self-reflection (minor)",L2
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas evaluates real-world tool use via the Model Context Protocol (MCP), requiring models to discover tools, call them correctly, handle errors, and compose multi-step workflows. It focuses on reliable action selection and execution across heterogeneous APIs and environments.","L1: 
L2: Planning, Decision-making, Working Memory
L3: Inhibitory Control (minor), Cognitive Flexibility (minor)",L2
