Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates software engineering agents by asking them to produce patches that fix real GitHub issues in Python repositories, with correctness determined by running the project’s tests. The “Verified” subset consists of tasks curated to be solvable and reliably testable, reducing noise from flaky or underspecified problems.","L1: Language Comprehension (minor)
L2: Planning, Logical Reasoning, Working Memory, Adaptive Error Correction, Decision-making (minor)
L3: ",L2
SWE-bench Multilingual,https://www.swebench.com/multilingual.html,https://arxiv.org/abs/2504.21798,"SWE-bench Multilingual extends SWE-bench-style issue resolution to repositories written in multiple programming languages, assessing whether an agent can read unfamiliar codebases, localize bugs, and implement correct fixes across language ecosystems. It emphasizes cross-language generalization and robustness of debugging and patch generation.","L1: Language Comprehension (minor)
L2: Planning, Logical Reasoning, Working Memory, Adaptive Error Correction
L3: Cognitive Flexibility",L3
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a larger, more difficult software engineering benchmark intended to better reflect professional, real-world coding work across multiple languages and more complex repositories. It typically stresses end-to-end engineering behavior (reading specs/issues, proposing changes, implementing, and validating) with stronger emphasis on realism and contamination resistance.","L1: 
L2: Planning, Decision-making, Logical Reasoning, Working Memory, Adaptive Error Correction
L3: Cognitive Flexibility (minor)",L2
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 evaluates agentic coding and system-operation skills in a command-line environment, where models must execute sequences of shell commands, inspect outputs, edit files, and iterate to complete real tasks. Success depends on maintaining state across steps and using feedback from tools and logs to converge on a correct solution.","L1: 
L2: Planning, Decision-making, Working Memory, Adaptive Error Correction, Attention (minor)
L3: Inhibitory Control (minor)",L2
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp evaluates “deep research” style browsing: the model must search a controlled web/document collection, retrieve evidence, and answer questions that require multi-hop navigation and synthesis. It measures how effectively an agent can plan searches, filter results, and integrate information across documents.","L1: Language Comprehension (minor)
L2: Planning, Attention, Working Memory, Semantic Understanding & Context Recognition, Decision-making (minor)
L3: ",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-agents-in-collaborative-real-world-scenarios,https://arxiv.org/abs/2506.07982,"τ2-bench measures an agent’s ability to handle multi-turn, policy-constrained customer-support tasks while interacting with simulated users and backend APIs (e.g., retail, airline, telecom). Models must follow domain rules, gather necessary information conversationally, and execute correct tool/API actions to resolve the case.","L1: Language Comprehension (minor), Language Production (minor)
L2: Planning, Decision-making, Working Memory
L3: Social Reasoning & Theory of Mind, Inhibitory Control",L3
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld evaluates multimodal computer-use agents on realistic desktop operating-system tasks, requiring navigation of GUI applications, reading on-screen content, and executing action sequences (clicks/typing) under step limits. Performance depends on mapping visual observations to correct actions and recovering from errors during long interaction chains.","L1: Visual Perception
L2: Visual Attention & Eye Movements, Scene Understanding & Visual Reasoning, Planning, Decision-making, Working Memory, Sensorimotor Coordination (minor)
L3: ",L2
ARC-AGI-2,https://arcprize.org/arc-agi/2,https://arxiv.org/abs/1911.01547,"ARC-AGI-2 tests fluid, abstract reasoning on novel grid-based puzzles where only a few input-output examples define an unknown transformation rule. Models must infer the latent rule and generate the correct output for new inputs, emphasizing generalization to unfamiliar patterns rather than memorized knowledge.","L1: Visual Perception (minor)
L2: Logical Reasoning, Working Memory, Scene Understanding & Visual Reasoning, Attention (minor)
L3: Cognitive Flexibility",L3
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon agent coherence and strategy by simulating the operation of a vending machine business over many decisions (pricing, inventory, supplier interaction, and adaptation to demand). The score is typically tied to the final financial outcome, requiring sustained planning and consistent policy execution over extended trajectories.","L1: 
L2: Planning, Decision-making, Working Memory, Reward Mechanisms
L3: Cognitive Flexibility (minor), Self-reflection (minor)",L2
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas assesses real-world tool use via the Model Context Protocol (MCP), requiring models to discover tools, call them with correct arguments, handle failures, and compose multi-step workflows across services. It targets agent reliability in executing structured API-driven tasks rather than only producing text explanations.","L1: 
L2: Planning, Decision-making, Working Memory, Logical Reasoning (minor)
L3: Inhibitory Control (minor)",L2
FinanceAgent,https://www.vals.ai/benchmarks/finance_agent,,"FinanceAgent evaluates capabilities expected of an entry-level financial analyst, such as interpreting financial documents, building analyses, and producing structured deliverables that may require calculations and citations. Tasks often require integrating multiple information sources and maintaining consistency across assumptions and outputs.","L1: Language Production (minor)
L2: Semantic Understanding & Context Recognition, Logical Reasoning, Planning, Working Memory, Decision-making (minor)
L3: ",L2
CyberGym,https://www.cybergym.io/,https://arxiv.org/abs/2506.02548,"CyberGym evaluates cybersecurity agent skills on real software vulnerability tasks, including identifying known vulnerabilities from descriptions and discovering new weaknesses in codebases. It emphasizes precise technical reasoning, reading code and logs, and iterating based on tool feedback and test outcomes.","L1: 
L2: Logical Reasoning, Planning, Attention, Working Memory, Adaptive Error Correction (minor), Decision-making (minor)
L3: ",L2
SpreadsheetBench,https://spreadsheetbench.github.io/,https://arxiv.org/abs/2406.14991,"SpreadsheetBench evaluates an agent’s ability to understand, manipulate, and generate spreadsheets for realistic tasks such as cleaning data, computing formulas, restructuring tables, and producing correct outputs. It probes whether models can reason over semi-structured data while maintaining consistency across many interdependent cells and steps.","L1: 
L2: Working Memory, Logical Reasoning, Planning, Attention, Decision-making (minor)
L3: ",L2
Humanity’s Last Exam,https://agi.safe.ai/,https://arxiv.org/abs/2501.14249,"Humanity’s Last Exam (HLE) is a difficult, broad benchmark intended to measure frontier knowledge and reasoning across many domains, often including multimodal questions. It stresses synthesis, careful reading, and (when tools are allowed) the ability to verify and integrate information from external resources.","L1: Language Comprehension, Visual Perception (minor)
L2: Semantic Understanding & Context Recognition, Logical Reasoning, Working Memory, Multisensory Integration (minor)
L3: ",L2
AIME 2025,https://matharena.ai/?view=problem&comp=aime--aime_2025,https://arxiv.org/abs/2505.23281,"AIME 2025 is a competition-math benchmark based on problems from the American Invitational Mathematics Examination, typically requiring multi-step derivations and exact numeric answers. It measures structured mathematical reasoning under tight correctness constraints.","L1: 
L2: Logical Reasoning, Working Memory, Planning (minor)
L3: ",L2
GPQA Diamond,https://artificialanalysis.ai/evaluations/gpqa-diamond,https://arxiv.org/abs/2311.12022,GPQA Diamond is a high-quality subset of GPQA consisting of challenging graduate-level multiple-choice science questions designed to be difficult for non-experts and hard to answer by superficial pattern matching. It targets deep domain understanding and careful multi-step scientific reasoning.,"L1: 
L2: Semantic Understanding & Context Recognition, Logical Reasoning, Working Memory (minor), Decision-making (minor)
L3: ",L2
MMMLU,https://huggingface.co/datasets/openai/MMMLU,https://arxiv.org/abs/2009.03300,"MMMLU (Multilingual MMLU) evaluates knowledge and reasoning across many subjects in multiple languages, requiring accurate comprehension of prompts and selection of correct answers across diverse cultural and linguistic contexts. It is a standard test of multilingual academic knowledge and general reasoning.","L1: Language Comprehension
L2: Semantic Understanding & Context Recognition, Logical Reasoning (minor), Working Memory (minor)
L3: ",L2
MMMU,https://mmmu-benchmark.github.io/,https://arxiv.org/abs/2311.16502,"MMMU evaluates multimodal understanding and reasoning across many disciplines, where questions require combining text with information embedded in images such as diagrams, charts, or screenshots. It stresses visual interpretation, cross-modal grounding, and multi-step reasoning to reach the correct answer.","L1: Visual Perception, Language Comprehension
L2: Multisensory Integration, Scene Understanding & Visual Reasoning, Working Memory (minor), Logical Reasoning (minor)
L3: ",L2
MMMU-Pro,https://mmmu-benchmark.github.io/,https://arxiv.org/abs/2409.02813,"MMMU-Pro is a more challenging variant of MMMU designed to better differentiate top multimodal models, typically by increasing question difficulty, reducing shortcuts, and emphasizing robust reasoning. It probes reliable visual grounding and expert-level multimodal inference.","L1: Visual Perception
L2: Multisensory Integration, Scene Understanding & Visual Reasoning, Logical Reasoning, Working Memory (minor)
L3: ",L2
LAB-Bench FigQA,https://huggingface.co/datasets/futurehouse/lab-bench,https://arxiv.org/abs/2407.10362,"LAB-Bench FigQA tests whether models can correctly interpret complex scientific figures from biology papers and answer questions that require reading plots, legends, and visual encodings. It emphasizes accurate extraction of quantitative/relational information from figures and disciplined reasoning grounded in the visual evidence.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Attention, Semantic Understanding & Context Recognition (minor), Logical Reasoning (minor)
L3: ",L2
WebArena,https://webarena.dev/,https://arxiv.org/abs/2307.13854,"WebArena evaluates autonomous web agents on realistic multi-step tasks across several web applications (e-commerce, CMS, code hosting, forums), requiring navigation, form filling, and goal completion. It stresses long action sequences, robust state tracking, and correct interpretation of dynamic web UIs.","L1: Visual Perception
L2: Planning, Decision-making, Working Memory, Visual Attention & Eye Movements
L3: Inhibitory Control (minor)",L2
MathArena Apex,https://matharena.ai/?view=problem&comp=apex--apex_2025,https://arxiv.org/abs/2505.23281,"MathArena Apex is a hard mathematics benchmark (competition-style) aimed at differentiating frontier models on multi-step problem solving under exact-answer grading. It typically includes problems that require creative decomposition, careful algebraic manipulation, and sustained symbolic reasoning.","L1: 
L2: Logical Reasoning, Working Memory, Planning
L3: Cognitive Flexibility (minor)",L2
ScreenShot-Pro,https://gui-agent.github.io/grounding-leaderboard/,https://arxiv.org/abs/2504.07981,"ScreenShot-Pro evaluates understanding of complex, high-resolution GUI screenshots, often requiring models to locate specific elements, interpret interface state, and answer questions grounded in spatial layout and visual cues. It targets pixel/GUI grounding and robust visual reasoning rather than general language-only knowledge.","L1: Visual Perception
L2: Visual Attention & Eye Movements, Scene Understanding & Visual Reasoning, Spatial Representation & Mapping (minor), Working Memory (minor)
L3: ",L2
CharXiv Reasoning,https://charxiv.github.io/,https://arxiv.org/abs/2406.18521,"CharXiv Reasoning evaluates reasoning over scientific figures (often charts/plots) drawn from research-paper contexts, requiring models to interpret axes, trends, and encoded comparisons. It emphasizes grounded, quantitative visual reasoning and resisting plausible-sounding but unsupported claims.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Attention, Logical Reasoning (minor)
L3: Inhibitory Control (minor)",L2
OmniDocBench 1.5,https://github.com/opendatalab/OmniDocBench,https://arxiv.org/abs/2412.07626,"OmniDocBench 1.5 evaluates document understanding and OCR across heterogeneous elements such as text blocks, tables, formulas, and reading order, often scored by edit distance and structure accuracy. It measures whether a model can faithfully transcribe and structurally parse complex documents rather than merely summarize them.","L1: Visual Perception, Language Comprehension (minor)
L2: Attention, Scene Understanding & Visual Reasoning, Working Memory (minor)
L3: ",L2
Video-MMMU,https://videommmu.github.io/,https://arxiv.org/abs/2501.13826,"Video-MMMU extends multimodal understanding to video, requiring models to integrate information over time and across frames to answer questions about events, actions, and visual details. It stresses temporal integration and maintaining coherent interpretations over long video contexts.","L1: Visual Perception
L2: Attention, Working Memory, Multisensory Integration (minor), Scene Understanding & Visual Reasoning (minor)
L3: Cognitive Timing & Predictive Modeling (minor)",L2
LiveCodeBench Pro,https://livecodebenchpro.com/projects/livecodebench-pro/leaderboard,https://arxiv.org/abs/2506.11928,"LiveCodeBench Pro evaluates coding ability on programming problems intended to reflect contemporary software-development tasks, typically emphasizing correctness under execution-based tests. It targets writing, debugging, and refining code under constraints closer to real coding workflows than static text-only tasks.","L1: 
L2: Logical Reasoning, Planning, Working Memory, Adaptive Error Correction (minor), Decision-making (minor)
L3: ",L2
FACTS Benchmark Suite,https://deepmind.google/blog/facts-benchmark-suite-systematically-evaluating-the-factuality-of-large-language-models/,https://arxiv.org/abs/2512.10791,"FACTS Benchmark Suite systematically evaluates LLM factuality across multiple subtests, focusing on whether models produce statements that are supported by evidence and avoid hallucinations. It emphasizes calibrated answering, distinguishing known from unknown, and maintaining consistency with provided sources.","L1: 
L2: Semantic Understanding & Context Recognition, Decision-making (minor), Attention (minor)
L3: Inhibitory Control, Self-reflection (minor)",L3
