Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates end-to-end software engineering by asking a model to produce a patch that fixes real issues in open-source Python repositories. The Verified subset contains tasks that have been curated/validated to be solvable and testable, emphasizing correctness under real unit/integration tests rather than isolated code snippets.","L1: 
L2: Logical Reasoning, Planning, Working Memory, Attention (minor), Semantic Understanding & Context Recognition (minor)
L3: ",L2
SWE-bench Multilingual,https://www.swebench.com/multilingual.html,https://arxiv.org/abs/2504.21798,"SWE-bench Multilingual extends SWE-bench-style repository patching to multiple programming languages, measuring whether models can generalize software engineering behavior beyond Python. Tasks require understanding project structure, making changes consistent with language/tooling conventions, and passing tests in diverse ecosystems.","L1: 
L2: Logical Reasoning, Planning, Working Memory, Semantic Understanding & Context Recognition (minor)
L3: Cognitive Flexibility",L3
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a larger and more difficult software engineering benchmark designed to be more industrially relevant and more resistant to shortcutting/contamination than earlier SWE-bench variants. Models must implement realistic fixes/features in repositories across multiple languages, with success determined by executing tests and/or evaluation harnesses.","L1: 
L2: Planning, Logical Reasoning, Working Memory
L3: Cognitive Flexibility, Inhibitory Control (minor)",L3
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 evaluates agentic performance in command-line environments, where the model must solve practical tasks by issuing shell commands, inspecting outputs, and iterating until completion. It emphasizes tool-mediated exploration, error recovery, and correctly sequencing actions under resource and environment constraints.","L1: 
L2: Planning, Decision-making, Adaptive Error Correction, Working Memory, Attention (minor)
L3: Cognitive Flexibility",L3
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp measures deep research and web-browsing competence by requiring models/agents to locate, synthesize, and justify answers using information from a controlled or specified web/document corpus. It tests whether an agent can decompose a question into search subproblems, gather evidence, and avoid spurious or unsupported conclusions.","L1: 
L2: Planning, Decision-making, Attention, Working Memory, Semantic Understanding & Context Recognition
L3: Inhibitory Control (minor)",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-agents-in-collaborative-real-world-scenarios,https://arxiv.org/abs/2506.07982,"τ2-bench evaluates interactive tool-using agents in realistic customer-service style scenarios (e.g., retail, airline, telecom) with policies, APIs, and multi-turn user simulation. It emphasizes consistent policy following, correct API usage over long dialogues, and robust handling of ambiguous, evolving user constraints.","L1: Language Comprehension (minor), Language Production (minor)
L2: Planning, Decision-making, Working Memory
L3: Social Reasoning & Theory of Mind, Inhibitory Control",L3
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld evaluates multimodal computer-use agents that interact with a full operating-system-like environment via screenshots and UI actions to complete tasks. It requires interpreting visual interfaces, navigating applications, and executing multi-step procedures reliably under partial observability and action constraints.","L1: Visual Perception
L2: Visual Attention & Eye Movements, Scene Understanding & Visual Reasoning, Planning, Decision-making, Sensorimotor Coordination (minor)
L3: Cognitive Flexibility (minor)",L2
ARC-AGI-2,https://arcprize.org/arc-agi/2,https://arxiv.org/abs/1911.01547,"ARC-AGI-2 is a fluid reasoning benchmark based on abstract grid transformation tasks where models infer latent rules from a few input-output examples and apply them to a new input. It is designed to stress generalization to novel patterns and compositional reasoning, rather than recall of domain facts.","L1: Visual Perception
L2: Logical Reasoning, Working Memory, Scene Understanding & Visual Reasoning, Spatial Representation & Mapping (minor)
L3: Cognitive Flexibility",L3
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon agent coherence and strategy in a simulated vending-machine business run over an extended period (e.g., a year). Models must manage inventory, pricing, supplier negotiations, and adapt to changing market signals to maximize final profit/balance.","L1: 
L2: Planning, Decision-making, Working Memory, Reward Mechanisms (minor)
L3: Cognitive Flexibility, Social Reasoning & Theory of Mind (minor)",L3
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas evaluates real-world tool use via the Model Context Protocol (MCP), where agents must discover, invoke, and chain tools across multi-step workflows. It stresses correct argument construction, error handling, and synthesizing tool outputs into a final response that satisfies task goals.","L1: 
L2: Planning, Decision-making, Working Memory, Logical Reasoning (minor)
L3: Cognitive Flexibility",L3
