Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates software-engineering agents on real GitHub issues by requiring them to produce a patch that passes the project’s tests. The “Verified” subset contains instances validated by human review as solvable with the provided repository context, emphasizing correct code changes rather than plausible explanations.","L1: Language Comprehension (minor)
L2: Planning, Logical Reasoning, Working Memory, Semantic Understanding & Context Recognition
L3: Inhibitory Control (minor)",L2
SWE-bench Multilingual,https://www.swebench.com/multilingual.html,https://arxiv.org/abs/2504.21798,"SWE-bench Multilingual extends SWE-bench-style repository patching beyond Python to multiple programming languages, testing whether an agent can understand unfamiliar codebases and tooling conventions. It stresses cross-language transfer of debugging and refactoring skills under realistic build/test pipelines.","L1: Language Comprehension (minor)
L2: Planning, Logical Reasoning, Working Memory, Semantic Understanding & Context Recognition
L3: Cognitive Flexibility",L3
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a larger and more difficult software-engineering benchmark aimed at higher industrial realism and stronger contamination resistance. It typically requires deeper multi-file changes, better test-driven iteration, and more robust patch quality across varied projects and languages.","L1: 
L2: Planning, Logical Reasoning, Working Memory, Decision-making
L3: Cognitive Flexibility (minor), Inhibitory Control (minor)",L2
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 evaluates agents operating in real terminal environments (e.g., Linux shells) to complete multi-step tasks such as installing dependencies, running scripts, inspecting outputs, and fixing failures. Success depends on correctly sequencing commands, interpreting system feedback, and maintaining state over long tool-interaction traces.","L1: 
L2: Planning, Decision-making, Working Memory, Logical Reasoning, Attention (minor)
L3: Inhibitory Control (minor)",L2
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp measures an agent’s ability to answer difficult information-seeking questions by browsing and synthesizing evidence from documents, typically under constraints that make naive web search unreliable. It emphasizes decomposition into sub-queries, source selection, and faithful aggregation of retrieved facts into a final answer.","L1: 
L2: Planning, Attention, Working Memory, Semantic Understanding & Context Recognition, Logical Reasoning (minor)
L3: Inhibitory Control (minor)",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-agents-in-collaborative-real-world-scenarios,https://arxiv.org/abs/2506.07982,"τ2-bench evaluates interactive, policy-constrained agent behavior in simulated real-world service workflows (e.g., retail, airline, telecom) that require using tools/APIs while conversing with a user. It tests whether the agent can maintain policy compliance, handle long multi-turn state, and complete tasks end-to-end without breaking rules or losing context.","L1: Language Comprehension (minor), Language Production (minor)
L2: Planning, Decision-making, Working Memory
L3: Social Reasoning & Theory of Mind, Inhibitory Control",L3
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld is a multimodal computer-use benchmark where an agent interacts with desktop-like environments to complete tasks across applications, requiring perception of UI states and execution of appropriate actions. It probes robust long-horizon control: navigating menus, handling errors, and adapting to changing on-screen layouts.","L1: Visual Perception
L2: Planning, Decision-making, Scene Understanding & Visual Reasoning, Visual Attention & Eye Movements (minor), Working Memory
L3: Inhibitory Control (minor)",L2
ARC-AGI-2,https://arcprize.org/arc-agi/2,https://arxiv.org/abs/1911.01547,"ARC-AGI-2 is a fluid-reasoning benchmark based on abstract grid transformation tasks that must be solved from a few input-output examples. It is designed to minimize reliance on memorized knowledge and instead emphasize discovering latent rules, generalizing to new inputs, and avoiding brittle pattern matching.","L1: 
L2: Logical Reasoning, Working Memory, Attention (minor), Planning (minor)
L3: Cognitive Flexibility",L3
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon autonomous business management in a simulated vending-machine scenario, scoring agents by final financial outcome after many sequential decisions. To perform well, an agent must budget, negotiate, plan inventory and pricing, and adapt strategy to changing market dynamics over extended time.","L1: 
L2: Planning, Decision-making, Working Memory, Reward Mechanisms
L3: Social Reasoning & Theory of Mind (minor), Cognitive Flexibility (minor)",L2
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas measures tool-use competence via the Model Context Protocol (MCP), requiring models to discover tools, call them with correct schemas, handle errors, and compose multi-step workflows across servers. It emphasizes reliable action selection and integration of tool outputs into accurate final responses.","L1: 
L2: Planning, Decision-making, Working Memory, Logical Reasoning (minor)
L3: Inhibitory Control (minor)",L2
