Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates software engineering by giving a model a real GitHub issue plus a repository snapshot and asking it to produce a patch that makes the associated tests pass. The Verified subset focuses on tasks that have been manually validated as solvable and reliably testable, emphasizing end-to-end bug fixing over isolated coding puzzles.","L1: Language Comprehension (minor)
L2: Planning, Logical Reasoning, Working Memory, Attention (minor)
L3: Self-reflection (minor)",L2
SWE-bench Multilingual,https://www.swebench.com/multilingual.html,https://arxiv.org/abs/2504.21798,"SWE-bench Multilingual extends the SWE-bench style of repository-level bug fixing to multiple programming languages, testing whether models can transfer software engineering competence beyond Python. Tasks still require producing patches that satisfy project-specific tests, but with varied ecosystems, tooling conventions, and language semantics.","L1: Language Comprehension (minor)
L2: Planning, Logical Reasoning, Working Memory
L3: Cognitive Flexibility, Self-reflection (minor)",L3
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a larger and more difficult software engineering benchmark designed to be more diverse and contamination-resistant, spanning multiple languages and more complex real-world tasks. It emphasizes robust repository understanding, correct patch construction, and consistent success across industrially realistic failure modes.","L1: 
L2: Planning, Decision-making, Logical Reasoning, Working Memory
L3: Cognitive Flexibility (minor), Self-reflection (minor)",L2
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 evaluates agentic coding and systems skills by placing models in a command-line environment where they must accomplish real tasks using shell commands, files, and project tooling. Success requires selecting appropriate commands, interpreting outputs and errors, and iterating toward a working solution under resource constraints.","L1: 
L2: Planning, Decision-making, Logical Reasoning, Working Memory
L3: Self-reflection (minor), Inhibitory Control (minor)",L2
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp measures deep-research capability by requiring models or agents to answer questions using information found in a controlled or web-like document collection, emphasizing multi-step search and synthesis. It targets realistic browsing behaviors such as query formulation, evidence aggregation, and producing a grounded final answer.","L1: Language Production (minor)
L2: Planning, Decision-making, Attention, Working Memory, Semantic Understanding & Context Recognition
L3: ",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-agents-in-collaborative-real-world-scenarios,https://arxiv.org/abs/2506.07982,"τ2-bench evaluates interactive tool-using agents in multi-turn customer-support-like scenarios (e.g., retail, airline, telecom) with policies and simulated users. Models must follow rules, use APIs correctly, maintain dialogue state across turns, and arrive at policy-compliant resolutions.","L1: Language Comprehension (minor)
L2: Planning, Decision-making, Working Memory
L3: Social Reasoning & Theory of Mind, Inhibitory Control",L3
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld is a computer-use benchmark where agents operate graphical desktop environments to complete tasks across apps and OS settings. It tests whether a model can perceive UI state, plan multi-step interactions, and reliably execute actions in a partially observable, dynamic interface.","L1: Visual Perception
L2: Planning, Decision-making, Visual Attention & Eye Movements, Working Memory, Scene Understanding & Visual Reasoning (minor)
L3: ",L2
ARC-AGI-2,https://arcprize.org/arc-agi/2,https://arxiv.org/abs/1911.01547,ARC-AGI-2 is a fluid reasoning benchmark based on few-shot grid transformation puzzles where models infer latent rules from a handful of input–output examples. It is designed to emphasize novel pattern induction and abstraction over memorized knowledge or large-scale training familiarity.,"L1: Visual Perception (minor)
L2: Logical Reasoning, Working Memory, Spatial Representation & Mapping (minor), Attention (minor)
L3: Cognitive Flexibility",L3
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon autonomy in a simulated vending-machine business, where an agent must manage inventory, suppliers, pricing, and finances over an extended period. Performance is typically measured by profitability, requiring sustained coherence and adaptive strategy across many decisions.","L1: 
L2: Planning, Decision-making, Working Memory, Reward Mechanisms (minor), Semantic Understanding & Context Recognition (minor)
L3: Self-reflection (minor)",L2
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas measures real-world tool use via the Model Context Protocol (MCP), requiring models to discover tools, call APIs correctly, handle errors, and compose multi-step workflows across services. It focuses on reliable orchestration rather than single-turn question answering.","L1: Language Comprehension (minor)
L2: Planning, Decision-making, Working Memory, Attention (minor)
L3: Self-reflection (minor)",L2
