Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates repository-level software engineering by giving a model a real GitHub issue and codebase context, then scoring whether the produced patch passes the project’s tests. The “Verified” split uses human-validated tasks intended to be solvable and reliably graded, emphasizing end-to-end bug fixing rather than toy coding problems.","L1: 
L2: Logical Reasoning, Planning, Working Memory
L3: Self-reflection (minor), Cognitive Flexibility (minor)",L2
SWE-bench Multilingual,https://www.swebench.com/multilingual.html,https://arxiv.org/abs/2504.21798,"SWE-bench Multilingual extends repository-level bug-fixing beyond Python to multiple programming languages, measuring whether models can localize faults and implement correct patches across diverse ecosystems. It probes whether agentic coding skills transfer across language syntax, tooling conventions, and test harnesses.","L1: Language Comprehension (minor), Language Production (minor)
L2: Logical Reasoning, Planning, Working Memory
L3: Cognitive Flexibility",L3
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a harder, larger-scale software engineering benchmark designed to be more realistic and more resistant to shortcut solutions, including broader language coverage and more industrially relevant tasks. It measures whether models can execute longer, more ambiguous debugging and implementation work under stricter evaluation conditions.","L1: 
L2: Planning, Logical Reasoning, Working Memory, Decision-making (minor)
L3: Cognitive Flexibility, Self-reflection (minor)",L3
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 evaluates agentic problem solving in a command-line environment, where models must use shell tools to inspect files, run programs, diagnose failures, and complete tasks. Success requires correct sequencing of actions, interpretation of tool outputs, and iterative refinement under resource and time constraints.","L1: 
L2: Planning, Decision-making, Working Memory, Logical Reasoning, Attention (minor)
L3: Self-reflection (minor), Cognitive Flexibility (minor)",L2
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp evaluates “deep research” behavior by requiring models/agents to browse a fixed web-like corpus (or controlled search index) and synthesize correct answers grounded in retrieved documents. It emphasizes multi-step information seeking, source triangulation, and managing long tool traces rather than pure recall.","L1: 
L2: Planning, Decision-making, Attention, Working Memory, Semantic Understanding & Context Recognition
L3: Inhibitory Control (minor), Self-reflection (minor)",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-agents-in-collaborative-real-world-scenarios,https://arxiv.org/abs/2506.07982,"τ2-bench measures interactive tool use in realistic customer-support style scenarios (e.g., retail, airline, telecom) where the agent must converse with a simulated user and call APIs while following domain policies. It probes reliability across many turns, policy adherence, and correct handling of procedural workflows under partial information.","L1: Language Comprehension (minor), Language Production (minor)
L2: Planning, Decision-making, Working Memory
L3: Social Reasoning & Theory of Mind, Inhibitory Control (minor)",L3
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld evaluates multimodal “computer use” where an agent operates within an OS-like desktop environment to complete tasks via GUI interactions. It stresses perception of UI state, selecting correct action sequences (click/type/navigate), and robust recovery from mistakes across extended horizons.","L1: 
L2: Scene Understanding & Visual Reasoning, Visual Attention & Eye Movements, Planning, Decision-making, Working Memory, Sensorimotor Coordination (minor)
L3: Inhibitory Control (minor)",L2
ARC-AGI-2,https://arcprize.org/arc-agi/2,https://arxiv.org/abs/1911.01547,"ARC-AGI-2 tests few-shot “fluid reasoning” over abstract grid transformation problems, where models infer the underlying rule from a handful of input-output examples and apply it to a new input. It emphasizes novel pattern induction and compositional reasoning with minimal reliance on memorized domain knowledge.","L1: 
L2: Logical Reasoning, Working Memory, Spatial Representation & Mapping (minor), Scene Understanding & Visual Reasoning (minor)
L3: Cognitive Flexibility",L3
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon autonomous agency in a simulated business environment where the agent runs a vending-machine company over many steps and decisions. Scoring is based on economic outcomes (e.g., final balance), requiring coherent strategy, adaptation to market dynamics, and sustained planning.","L1: 
L2: Planning, Decision-making, Working Memory, Reward Mechanisms (minor)
L3: Cognitive Flexibility (minor), Self-reflection (minor)",L2
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas evaluates real-world tool use through the Model Context Protocol, measuring whether models can discover appropriate tools, invoke them correctly, and complete multi-step workflows across heterogeneous services. It stresses API reasoning, error handling, retries, and integrating results into accurate final outputs.","L1: 
L2: Planning, Decision-making, Working Memory, Attention (minor)
L3: Cognitive Flexibility, Self-reflection (minor)",L3
FinanceAgent,https://www.vals.ai/benchmarks/finance_agent,,"FinanceAgent assesses agent performance on tasks typical of an entry-level financial analyst, such as analyzing documents, performing calculations, and producing structured financial outputs. It probes domain knowledge application plus the ability to execute multi-step quantitative workflows reliably.","L1: 
L2: Logical Reasoning, Semantic Understanding & Context Recognition, Planning, Decision-making (minor), Working Memory (minor)
L3: ",L2
CyberGym,https://www.cybergym.io/,https://arxiv.org/abs/2506.02548,"CyberGym evaluates cybersecurity agent capabilities on large collections of real vulnerability tasks, including identifying known issues from descriptions and, in some settings, discovering new vulnerabilities. It requires understanding codebases and exploit conditions, plus systematic investigation under constraints.","L1: 
L2: Logical Reasoning, Planning, Working Memory
L3: Cognitive Flexibility (minor), Self-reflection (minor)",L2
