Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates software engineering ability by giving a model a real GitHub repository issue and requiring it to produce a patch that passes the project’s tests. The Verified subset consists of tasks that have been human-validated as solvable and have reliable evaluation harnesses, reducing noise from ambiguous or broken tasks.","L1: Language Comprehension (minor)
L2: Planning, Logical Reasoning, Working Memory, Semantic Understanding & Context Recognition
L3: Inhibitory Control (minor)",L2
SWE-bench Multilingual,https://www.swebench.com/multilingual.html,https://arxiv.org/abs/2504.21798,"SWE-bench Multilingual extends the SWE-bench paradigm beyond Python to multiple programming languages, assessing whether models can debug and implement fixes across varied ecosystems and tooling. It emphasizes generalizable program understanding rather than language-specific memorization.","L1: Language Comprehension (minor)
L2: Planning, Logical Reasoning, Working Memory, Semantic Understanding & Context Recognition
L3: Cognitive Flexibility",L3
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a larger and more difficult set of software engineering tasks designed to be more realistic and more resistant to contamination than earlier SWE-bench variants. Tasks typically require deeper codebase understanding, multi-step debugging, and careful patch construction under stricter evaluation.","L1: 
L2: Planning, Logical Reasoning, Working Memory, Semantic Understanding & Context Recognition, Decision-making (minor)
L3: Inhibitory Control (minor)",L2
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 evaluates agentic performance in a command-line environment, where a model must use shell commands and tooling to complete real tasks (e.g., debugging, data processing, environment setup). It stresses iterative interaction, tool use, and recovery from errors under realistic constraints.","L1: 
L2: Planning, Decision-making, Working Memory
L3: Cognitive Flexibility, Inhibitory Control (minor), Self-reflection (minor)",L3
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp evaluates web-browsing research capability by asking models to answer questions that require searching, reading, and synthesizing information from web documents. Performance depends on selecting relevant sources, tracking evidence, and producing grounded final answers.","L1: Language Comprehension
L2: Planning, Attention, Working Memory, Semantic Understanding & Context Recognition
L3: Inhibitory Control (minor)",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-agents-in-collaborative-real-world-scenarios,https://arxiv.org/abs/2506.07982,"τ2-bench measures an agent’s ability to complete multi-turn customer-support-style tasks by interacting with simulated users and APIs while adhering to domain policies. It probes reliable tool calling, policy compliance, and coherent dialogue management over extended interactions.","L1: Language Production (minor)
L2: Planning, Decision-making, Working Memory
L3: Social Reasoning & Theory of Mind, Inhibitory Control",L3
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld benchmarks multimodal “computer use” in a desktop-like environment, requiring models to interpret screenshots and execute actions (clicking, typing, navigating) to accomplish tasks. It emphasizes robust GUI understanding, action sequencing, and long-horizon interaction.","L1: Visual Perception
L2: Visual Attention & Eye Movements, Scene Understanding & Visual Reasoning, Planning, Decision-making, Working Memory (minor)
L3: ",L2
ARC-AGI-2,https://arcprize.org/arc-agi/2,https://arxiv.org/abs/1911.01547,ARC-AGI-2 is a few-shot abstract reasoning benchmark where models infer the transformation rule from small sets of input–output grid examples and generate the correct output for new inputs. It is intended to measure fluid reasoning and adaptation to novel tasks rather than knowledge recall.,"L1: Visual Perception (minor)
L2: Logical Reasoning, Working Memory, Spatial Representation & Mapping, Planning (minor)
L3: Cognitive Flexibility",L3
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon autonomy by having an agent run a simulated vending-machine business over an extended period, optimizing purchasing, pricing, inventory, and communication. Success requires maintaining coherent goals and strategies across many steps and delayed outcomes.","L1: 
L2: Planning, Decision-making, Working Memory, Reward Mechanisms (minor), Semantic Understanding & Context Recognition (minor)
L3: Self-reflection (minor)",L2
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas evaluates real-world tool use via the Model Context Protocol, requiring models to discover tools, invoke them correctly, handle errors, and compose multi-step workflows across MCP servers. It focuses on reliable API interaction and orchestration rather than purely text-only reasoning.","L1: Language Comprehension (minor)
L2: Planning, Decision-making, Working Memory
L3: Cognitive Flexibility, Inhibitory Control (minor)",L3
