Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates an agent’s ability to solve real GitHub issues by producing code patches that make a repository’s tests pass. The Verified subset focuses on tasks that have been manually confirmed as solvable and correctly specified, reducing noise from ambiguous or broken issues.","L1: 
L2: Planning, Logical Reasoning, Working Memory, Attention (minor)
L3: Self-reflection (minor)",L2
SWE-bench Multilingual,https://www.swebench.com/multilingual.html,https://arxiv.org/abs/2504.21798,"SWE-bench Multilingual extends SWE-bench-style repository patching to multiple programming languages and ecosystems beyond Python. It tests whether models can localize bugs, reason about unfamiliar toolchains, and apply correct language-idiomatic fixes under realistic dependency and build constraints.","L1: Language Comprehension (minor)
L2: Planning, Logical Reasoning, Working Memory
L3: Cognitive Flexibility",L3
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a harder, more contamination-resistant software engineering benchmark with larger and more diverse tasks and stricter evaluation procedures. It emphasizes robust end-to-end engineering: understanding the issue, navigating codebases, implementing a correct fix, and satisfying tests across multiple languages.","L1: 
L2: Planning, Logical Reasoning, Working Memory, Decision-making (minor)
L3: Self-reflection (minor)",L2
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 evaluates agentic performance in real command-line environments, where models must run tools, inspect files, install dependencies, and execute multi-step workflows to reach a correct outcome. Success depends on maintaining task state across commands and adapting to errors produced by the environment.","L1: 
L2: Planning, Decision-making, Working Memory, Attention (minor), Logical Reasoning (minor)
L3: ",L2
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp measures an agent’s ability to answer questions by searching and synthesizing information from the web (or a controlled corpus in some variants), rather than relying solely on parametric memory. It stresses query formulation, evidence gathering, citation-like grounding, and integrating multiple sources into a coherent answer.","L1: 
L2: Planning, Attention, Semantic Understanding & Context Recognition, Working Memory, Decision-making (minor)
L3: ",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-agents-in-collaborative-real-world-scenarios,https://arxiv.org/abs/2506.07982,"τ2-bench evaluates tool-using conversational agents in multi-turn, policy-constrained customer-support scenarios (e.g., retail, airline, telecom). Agents must interpret a user’s intent, call APIs correctly, follow domain rules, and manage dialogue state while progressing toward task resolution.","L1: 
L2: Planning, Decision-making, Working Memory
L3: Social Reasoning & Theory of Mind, Inhibitory Control (minor)",L3
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld is a computer-use benchmark where agents interact with operating-system GUIs to complete tasks under step limits. It tests perception-to-action loops such as reading screens, navigating menus, executing sequences of UI operations, and recovering from interaction failures.","L1: Visual Perception
L2: Visual Attention & Eye Movements, Planning, Decision-making, Working Memory (minor)
L3: ",L2
ARC-AGI-2,https://arcprize.org/arc-agi/2,https://arxiv.org/abs/1911.01547,"ARC-AGI-2 is a fluid-intelligence benchmark built around few-shot induction tasks on grid transformations, designed to emphasize novel pattern discovery rather than memorized knowledge. Models must infer latent rules from a handful of examples and apply them to new inputs, often requiring compositional reasoning over spatial structure.","L1: 
L2: Logical Reasoning, Working Memory, Scene Understanding & Visual Reasoning, Attention (minor)
L3: Cognitive Flexibility",L3
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon agent coherence by simulating operation of a vending-machine business over many decisions (inventory, pricing, supplier interaction, and budgeting). Performance reflects whether an agent can form and execute a sustained strategy while adapting to changing conditions over extended trajectories.","L1: 
L2: Planning, Decision-making, Working Memory, Reward Mechanisms (minor)
L3: Cognitive Flexibility (minor)",L2
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas evaluates real-world tool use through the Model Context Protocol, requiring models to discover tools, invoke them with correct arguments, handle errors, and compose results across multiple calls. Tasks emphasize executing multi-step workflows over authentic APIs and returning accurate, grounded outputs.","L1: 
L2: Planning, Decision-making, Working Memory, Attention (minor)
L3: Cognitive Flexibility",L3
FinanceAgent,https://www.vals.ai/benchmarks/finance_agent,,"FinanceAgent measures performance on tasks typical of entry-level financial analysis, such as extracting relevant information, building structured analyses, and producing professional outputs. It rewards correct quantitative/qualitative reasoning, consistency with provided materials, and clean communication of conclusions.","L1: Language Production (minor)
L2: Logical Reasoning, Decision-making, Working Memory, Semantic Understanding & Context Recognition
L3: ",L2
CyberGym,https://www.cybergym.io/,https://arxiv.org/abs/2506.02548,"CyberGym evaluates cybersecurity agent capabilities on large-scale vulnerability tasks, including identifying known vulnerabilities and discovering new ones in real open-source software contexts. It tests reading code and descriptions, forming hypotheses about weaknesses, and producing correct exploit-relevant or fix-relevant outputs under realistic constraints.","L1: 
L2: Logical Reasoning, Planning, Working Memory, Attention (minor), Decision-making (minor)
L3: ",L2
SpreadsheetBench,https://spreadsheetbench.github.io/,https://arxiv.org/abs/2406.14991,"SpreadsheetBench evaluates an agent’s ability to understand and manipulate spreadsheets, including formula reasoning, data cleaning, transformation, and producing correct final artifacts. It reflects practical “office-work” competence where correctness depends on coordinated operations across many cells and sheets.","L1: 
L2: Working Memory, Logical Reasoning, Planning, Attention, Decision-making (minor)
L3: ",L2
Humanity’s Last Exam,https://agi.safe.ai/,https://arxiv.org/abs/2501.14249,"Humanity’s Last Exam is a broad, frontier-level benchmark spanning difficult questions intended to probe advanced reasoning and deep academic knowledge, often in multimodal form. It is designed to stress synthesis across domains, careful problem decomposition, and robustness against shallow pattern-matching.","L1: 
L2: Logical Reasoning, Semantic Understanding & Context Recognition, Working Memory, Multisensory Integration (minor), Attention (minor)
L3: ",L2
AIME 2025,https://matharena.ai/?view=problem&comp=aime--aime_2025,https://arxiv.org/abs/2505.23281,"AIME 2025 evaluates competition-style mathematics problem solving under short, self-contained prompts. Success requires multi-step symbolic reasoning, maintaining intermediate states, and avoiding algebraic or combinatorial errors.","L1: 
L2: Logical Reasoning, Working Memory, Planning (minor)
L3: ",L2
GPQA Diamond,https://artificialanalysis.ai/evaluations/gpqa-diamond,https://arxiv.org/abs/2311.12022,GPQA Diamond is a high-difficulty multiple-choice science benchmark curated to be resistant to superficial lookup and to emphasize expert-level reasoning. The Diamond subset targets questions that reliably distinguish expert understanding from non-expert guessing.,"L1: 
L2: Logical Reasoning, Semantic Understanding & Context Recognition, Working Memory (minor), Decision-making (minor)
L3: ",L2
MMMLU,https://huggingface.co/datasets/openai/MMMLU,https://arxiv.org/abs/2009.03300,"MMMLU extends broad subject-area testing to multiple languages, evaluating whether models can answer questions across many academic domains in non-English settings. It probes multilingual knowledge access and whether reasoning transfers across linguistic contexts.","L1: Language Comprehension
L2: Semantic Understanding & Context Recognition, Logical Reasoning (minor)
L3: Cognitive Flexibility (minor)",L2
MMMU,https://mmmu-benchmark.github.io/,https://arxiv.org/abs/2311.16502,"MMMU is a multimodal benchmark spanning many disciplines where models must combine text with images (e.g., diagrams, charts, screenshots) to answer questions. It emphasizes visual understanding grounded in language-based reasoning over diverse expert topics.","L1: Visual Perception, Language Comprehension (minor)
L2: Scene Understanding & Visual Reasoning, Multisensory Integration, Logical Reasoning (minor)
L3: ",L2
MMMU-Pro,https://mmmu-benchmark.github.io/,https://arxiv.org/abs/2409.02813,"MMMU-Pro is a more challenging, higher-signal variant of MMMU intended to better separate strong multimodal reasoners from weaker ones. It stresses reliable interpretation of complex visuals and more demanding cross-domain reasoning under multimodal inputs.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Multisensory Integration, Working Memory (minor), Logical Reasoning (minor)
L3: ",L2
LAB-Bench FigQA,https://huggingface.co/datasets/futurehouse/lab-bench,https://arxiv.org/abs/2407.10362,"LAB-Bench FigQA tests whether models can interpret scientific figures from biology papers and answer questions requiring careful reading of plots, panels, and experimental summaries. It targets research-relevant figure understanding rather than generic image captioning.","L1: Visual Perception, Language Comprehension (minor)
L2: Scene Understanding & Visual Reasoning, Logical Reasoning, Attention (minor)
L3: ",L2
WebArena,https://webarena.dev/,https://arxiv.org/abs/2307.13854,"WebArena evaluates autonomous web agents performing multi-step tasks across realistic web apps (e-commerce, forums, Git repos, CMS, maps). It tests planning, robust navigation, and state tracking while interacting with dynamic pages and completing goal-oriented workflows.","L1: Visual Perception
L2: Planning, Decision-making, Visual Attention & Eye Movements, Working Memory (minor)
L3: ",L2
MathArena Apex,https://matharena.ai/?view=problem&comp=apex--apex_2025,https://arxiv.org/abs/2505.23281,"MathArena Apex is a competitive math evaluation designed to compare advanced mathematical problem-solving across strong models, typically emphasizing hard multi-step reasoning problems. It is used to assess consistency, depth of derivation, and accuracy under challenging mathematical domains.","L1: 
L2: Logical Reasoning, Working Memory, Planning (minor)
L3: ",L2
ScreenShot-Pro,https://gui-agent.github.io/grounding-leaderboard/,https://arxiv.org/abs/2504.07981,"ScreenShot-Pro evaluates GUI understanding and grounding from high-resolution screenshots, often requiring models to identify UI elements and answer questions or take actions based on spatial layout. It stresses reliable visual parsing of professional interfaces and correct mapping between visual targets and instructions.","L1: Visual Perception
L2: Visual Attention & Eye Movements, Scene Understanding & Visual Reasoning, Planning (minor), Sensorimotor Coordination (minor)
L3: ",L2
CharXiv Reasoning,https://charxiv.github.io/,https://arxiv.org/abs/2406.18521,"CharXiv Reasoning evaluates whether models can answer reasoning questions grounded in scientific figures and surrounding document context from arXiv-style papers. It emphasizes chart/figure interpretation, cross-referencing textual cues, and producing correct, evidence-consistent answers.","L1: Visual Perception, Language Comprehension (minor)
L2: Scene Understanding & Visual Reasoning, Logical Reasoning, Working Memory (minor)
L3: ",L2
OmniDocBench 1.5,https://github.com/opendatalab/OmniDocBench,https://arxiv.org/abs/2412.07626,"OmniDocBench 1.5 benchmarks document understanding and OCR across heterogeneous document components such as text blocks, formulas, tables, and reading order. It measures how well models preserve structure and content when extracting or reconstructing documents from images.","L1: Visual Perception, Language Comprehension (minor)
L2: Attention, Scene Understanding & Visual Reasoning
L3: ",L2
Video-MMMU,https://videommmu.github.io/,https://arxiv.org/abs/2501.13826,"Video-MMMU extends multimodal reasoning to video, requiring integration of information across frames and time to answer questions. It probes temporal accumulation of evidence, event understanding, and cross-modal grounding between visual content and language queries.","L1: Visual Perception
L2: Visual Attention & Eye Movements, Working Memory, Scene Understanding & Visual Reasoning, Multisensory Integration (minor)
L3: ",L2
LiveCodeBench Pro,https://livecodebenchpro.com/projects/livecodebench-pro/leaderboard,https://arxiv.org/abs/2506.11928,"LiveCodeBench Pro evaluates coding ability on competitive-programming-like tasks with controlled evaluation, often tracking performance over time and difficulty. It emphasizes algorithmic reasoning, writing correct executable code, and handling edge cases under strict test suites.","L1: 
L2: Logical Reasoning, Planning, Working Memory, Attention (minor)
L3: ",L2
FACTS Benchmark Suite,https://deepmind.google/blog/facts-benchmark-suite-systematically-evaluating-the-factuality-of-large-language-models/,https://arxiv.org/abs/2512.10791,"FACTS Benchmark Suite systematically evaluates factuality by testing whether model outputs remain consistent with provided sources, world knowledge constraints, or truth-conditional checks across multiple sub-benchmarks. It targets hallucination reduction and faithful grounding rather than generic helpfulness.","L1: 
L2: Semantic Understanding & Context Recognition, Attention (minor)
L3: Inhibitory Control, Self-reflection (minor)",L3
SimpleQA Verified,https://www.kaggle.com/benchmarks/deepmind/simpleqa-verified,https://arxiv.org/abs/2509.07968,"SimpleQA Verified is a factual short-answer benchmark with verified ground truth, designed to measure whether models can answer simple questions correctly without fabrication. It is commonly used as a lightweight indicator of parametric knowledge quality and precision.","L1: Language Comprehension
L2: Semantic Understanding & Context Recognition
L3: Inhibitory Control (minor)",L2
Global PIQA,https://huggingface.co/datasets/mrlbenchmarks/global-piqa-nonparallel,https://arxiv.org/abs/2510.24081,"Global PIQA evaluates pragmatic and commonsense reasoning across languages and culturally diverse contexts, emphasizing whether models can choose plausible actions or interpretations in everyday scenarios. It is designed to test robustness of practical reasoning beyond a single linguistic or cultural setting.","L1: Language Comprehension (minor)
L2: Semantic Understanding & Context Recognition, Logical Reasoning
L3: Cognitive Flexibility (minor)",L2
MRCR v2 (8-needle),https://huggingface.co/datasets/openai/mrcr,https://arxiv.org/abs/2409.12640,"MRCR v2 (8-needle) tests long-context, multi-round coreference resolution by inserting repeated, similar “needle” interactions into large “haystacks” and asking the model to reproduce the correct response for a specified needle. The 8-needle setting increases interference, stressing robust retrieval and discrimination under long contexts.","L1: 
L2: Working Memory, Attention, Episodic Memory
L3: Inhibitory Control (minor)",L2
GDPval,https://openai.com/index/gdpval/,https://arxiv.org/abs/2510.04374,"GDPval evaluates well-specified professional knowledge-work tasks spanning many occupations, judged against high-quality human work products. It emphasizes producing usable artifacts (e.g., plans, spreadsheets, presentations) and making correct domain-appropriate decisions under realistic constraints.","L1: Language Production
L2: Planning, Decision-making, Semantic Understanding & Context Recognition
L3: Social Reasoning & Theory of Mind (minor)",L2
SWE-Lancer,https://openai.com/index/swe-lancer/,https://arxiv.org/abs/2502.12115,"SWE-Lancer evaluates software engineering agents on realistic, longer-horizon engineering work, typically including multi-file changes, integration constraints, and evaluation procedures closer to production workflows. It aims to measure whether models can reliably ship correct fixes with less scaffolding brittleness than simpler coding tests.","L1: 
L2: Planning, Logical Reasoning, Working Memory, Decision-making (minor)
L3: Self-reflection (minor)",L2
Graphwalks,https://huggingface.co/datasets/openai/graphwalks,,"Graphwalks evaluates reasoning over graph-structured data via traversal-style tasks (e.g., reachability, parent/child relations, path properties) often presented in text form. It stresses systematic stepwise inference and maintaining intermediate states across many hops.","L1: 
L2: Logical Reasoning, Working Memory, Spatial Representation & Mapping (minor), Attention (minor)
L3: ",L2
Toolathon,https://toolathlon.xyz,https://arxiv.org/abs/2510.25726,"Toolathon evaluates an agent’s ability to solve tasks by selecting and orchestrating tools across heterogeneous environments, often requiring multiple calls and intermediate verification. It emphasizes robustness of tool selection, correct API usage, and integrating tool outputs into final answers.","L1: 
L2: Planning, Decision-making, Working Memory, Attention (minor)
L3: Cognitive Flexibility",L3
HMMT,https://matharena.ai/?view=problem&comp=hmmt--hmmt_feb_2025,https://arxiv.org/abs/2505.23281,"HMMT is a competition-math benchmark drawn from Harvard-MIT Mathematics Tournament style problems, typically requiring deep multi-step reasoning and careful case analysis. It is used to evaluate high-end mathematical problem solving beyond routine exam questions.","L1: 
L2: Logical Reasoning, Working Memory, Planning (minor)
L3: ",L2
FrontierMath,https://epoch.ai/frontiermath,https://arxiv.org/abs/2411.04872,"FrontierMath is an expert-level mathematics benchmark intended to probe the frontier of mathematical reasoning, including problems that are difficult for strong models and often require novel multi-step derivations. It is used to assess true progress on advanced mathematics rather than memorized competition patterns.","L1: 
L2: Logical Reasoning, Working Memory, Planning (minor)
L3: Cognitive Flexibility (minor)",L2
