Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates software engineering agents on real GitHub issues where the model must produce a patch that passes the repository’s tests. The “Verified” subset contains tasks validated by humans to be solvable and to have reliable evaluation via unit tests, emphasizing correct code changes over explanation quality.","L1: Language Comprehension (minor)
L2: Planning, Logical Reasoning, Working Memory
L3: Cognitive Flexibility, Self-reflection (minor)",L3
SWE-bench Multilingual,https://www.swebench.com/multilingual.html,https://arxiv.org/abs/2504.21798,"SWE-bench Multilingual extends SWE-bench-style patch generation to multiple programming languages, evaluating whether agents can localize bugs and implement fixes outside Python-only settings. It stresses transfer of debugging and repository navigation skills across distinct ecosystems, tooling conventions, and language semantics.","L1: Language Comprehension (minor)
L2: Planning, Logical Reasoning, Working Memory, Semantic Understanding & Context Recognition (minor)
L3: Cognitive Flexibility",L3
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a larger, harder software engineering benchmark intended to be more realistic and resistant to shortcuts, with many more tasks and broader coverage. Models must still generate working patches, but the problems are designed to be more diverse and industrially relevant, increasing the need for robust debugging and multi-file reasoning.","L1: 
L2: Planning, Logical Reasoning, Working Memory, Decision-making (minor)
L3: Cognitive Flexibility, Self-reflection (minor)",L3
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 evaluates agents on real-world tasks performed in a command-line environment, such as building, testing, debugging, and manipulating files or dependencies. Success requires executing tool calls (shell commands) correctly over multi-step workflows, often under resource constraints and with environment feedback.","L1: Language Comprehension (minor)
L2: Planning, Decision-making, Working Memory, Logical Reasoning
L3: Cognitive Flexibility",L3
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp measures an agent’s ability to use web browsing/search to answer difficult questions that typically require multi-hop information gathering and synthesis. It emphasizes tool use, source triangulation, and maintaining task goals across long trajectories rather than isolated question answering.","L1: 
L2: Planning, Attention, Working Memory, Decision-making, Semantic Understanding & Context Recognition
L3: Inhibitory Control (minor)",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-agents-in-collaborative-real-world-scenarios,https://arxiv.org/abs/2506.07982,"τ2-bench evaluates interactive customer-support agents in simulated domains (e.g., retail, airline, telecom) where models must follow policies while helping a user through multi-turn workflows and API/tool calls. It stresses consistent policy adherence, state tracking across turns, and effective conversational collaboration with a (simulated) user.","L1: Language Comprehension, Language Production
L2: Planning, Decision-making, Working Memory
L3: Social Reasoning & Theory of Mind, Inhibitory Control, Emotional intelligence (minor), Empathy (minor)",L3
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld benchmarks multimodal “computer use” agents that interact with a desktop-like operating system to complete tasks through GUI actions over multiple steps. Agents must interpret screenshots, locate relevant UI elements, and execute sequences of actions reliably within step limits.","L1: Visual Perception
L2: Visual Attention & Eye Movements, Scene Understanding & Visual Reasoning, Planning, Decision-making, Working Memory, Sensorimotor Coordination (minor)
L3: ",L2
ARC-AGI-2,https://arcprize.org/arc-agi/2,https://arxiv.org/abs/1911.01547,ARC-AGI-2 is a fluid-reasoning benchmark of abstract grid-based tasks where the model must infer a transformation rule from a few examples and apply it to a new input. It is designed to test generalization to novel patterns and compositional reasoning rather than memorized knowledge.,"L1: Visual Perception
L2: Logical Reasoning, Working Memory, Scene Understanding & Visual Reasoning, Attention (minor)
L3: Cognitive Flexibility",L3
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon agent coherence and strategy in a simulated year-long vending machine business, where the agent manages inventory, pricing, supplier negotiations, and cash flow. The score is based on business outcomes (e.g., final balance), requiring sustained planning and adaptation across many decisions.","L1: 
L2: Planning, Decision-making, Working Memory, Reward Mechanisms, Semantic Understanding & Context Recognition (minor)
L3: Self-reflection (minor)",L2
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas evaluates real-world tool use via the Model Context Protocol (MCP), where models must discover tools, invoke them correctly, handle errors, and compose multi-step workflows across servers. It targets practical agent reliability when interacting with authentic APIs and tool schemas.","L1: Language Comprehension (minor)
L2: Planning, Decision-making, Working Memory
L3: Cognitive Flexibility, Inhibitory Control (minor)",L3
