Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates software engineering by asking a model to produce patches that fix real issues in open-source Python repositories. The “Verified” subset contains tasks that have been confirmed by human annotators to be solvable and to have reliable test-based verification, emphasizing end-to-end debugging and code change generation.","L1: Language Comprehension (minor), Language Production (minor)
L2: Planning, Logical Reasoning, Working Memory
L3: Cognitive Flexibility, Self-reflection (minor), Inhibitory Control (minor)",L3
SWE-bench Multilingual,https://www.swebench.com/multilingual.html,https://arxiv.org/abs/2504.21798,"SWE-bench Multilingual extends SWE-style repo-level bugfixing beyond Python to multiple programming languages, testing whether models can localize issues and implement correct patches across diverse ecosystems. It stresses generalization across syntax, tooling, and idioms while still requiring test-passing solutions.","L1: Language Comprehension (minor), Language Production (minor)
L2: Planning, Logical Reasoning, Working Memory
L3: Cognitive Flexibility, Self-reflection (minor)",L3
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a larger and more difficult software engineering benchmark intended to be more realistic and contamination-resistant, spanning multiple programming languages and industrially relevant tasks. Models must produce correct patches in real repositories under evaluation harnesses that check correctness via tests and task-specific criteria.","L1: 
L2: Planning, Decision-making, Logical Reasoning, Working Memory
L3: Cognitive Flexibility, Inhibitory Control (minor), Self-reflection (minor)",L3
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 evaluates agentic coding and systems tasks executed through a command-line environment, requiring iterative tool use (shell commands), inspection of outputs, and corrective actions. It probes whether models can operate effectively in realistic developer workflows under execution constraints.","L1: 
L2: Planning, Decision-making, Working Memory, Logical Reasoning, Attention (minor)
L3: Cognitive Flexibility, Self-reflection (minor)",L3
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp evaluates deep research and browsing agents that must retrieve and synthesize information from documents to answer challenging questions. The benchmark emphasizes multi-step search strategy, evidence aggregation, and producing answers grounded in retrieved material rather than relying on parametric memory alone.","L1: Language Comprehension (minor)
L2: Planning, Decision-making, Attention, Working Memory, Semantic Understanding & Context Recognition
L3: Inhibitory Control (minor)",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-agents-in-collaborative-real-world-scenarios,https://arxiv.org/abs/2506.07982,"τ2-bench measures tool-using customer-support agents operating in simulated domains (e.g., retail, airline, telecom) that must follow policies while using APIs and interacting in multi-turn dialogues. It stresses reliable action selection, policy adherence, and maintaining coherent state over long interactions.","L1: Language Comprehension (minor), Language Production (minor)
L2: Planning, Decision-making, Working Memory
L3: Inhibitory Control, Social Reasoning & Theory of Mind (minor)",L3
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld is a multimodal computer-use benchmark where agents must complete tasks in an operating-system-like environment using UI interactions (e.g., clicking, typing, navigating apps). It evaluates perception of screen content, goal-directed action sequencing, and robust recovery from UI-level errors.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Visual Attention & Eye Movements, Planning, Decision-making, Working Memory (minor), Sensorimotor Coordination (minor)
L3: ",L2
ARC-AGI-2,https://arcprize.org/arc-agi/2,https://arxiv.org/abs/1911.01547,ARC-AGI-2 is a fluid intelligence benchmark of abstract grid transformation tasks where models infer latent rules from a few input–output examples and generalize to a novel test input. It is designed to reward novel pattern discovery and compositional reasoning rather than memorization.,"L1: Visual Perception
L2: Logical Reasoning, Working Memory, Scene Understanding & Visual Reasoning, Planning (minor), Attention (minor)
L3: Cognitive Flexibility",L3
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon agent coherence by having a model run a simulated vending-machine business over many steps (e.g., sourcing, pricing, inventory management). Scores depend on sustained planning, adapting to changing conditions, and making consistent decisions across an extended timeline.","L1: 
L2: Planning, Decision-making, Working Memory, Reward Mechanisms (minor)
L3: Cognitive Flexibility, Self-reflection (minor)",L3
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas measures real-world tool-use performance over Model Context Protocol (MCP) servers, requiring models to discover tools, call them correctly, handle errors, and compose multi-step workflows. It targets practical agent reliability in API-rich environments with authentic data and tool semantics.","L1: 
L2: Planning, Decision-making, Working Memory, Semantic Understanding & Context Recognition (minor)
L3: Cognitive Flexibility, Inhibitory Control (minor)",L3
