Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates whether a model can generate a correct code patch for real GitHub issues in Python repositories, using a curated subset of tasks verified by humans to be solvable. Success typically requires understanding the issue description, navigating the codebase, and producing changes that pass the repository’s tests.","L1: 
L2: Planning, Logical Reasoning, Working Memory, Semantic Understanding & Context Recognition, Decision-making (minor)
L3: Self-reflection (minor)",L2
SWE-bench Multilingual,https://www.swebench.com/multilingual.html,https://arxiv.org/abs/2504.21798,"SWE-bench Multilingual extends the SWE-bench paradigm beyond Python, testing patch-generation across multiple programming languages and ecosystems. It probes whether models can transfer software engineering competence across differing syntax, tooling, and library conventions.","L1: 
L2: Planning, Logical Reasoning, Working Memory, Semantic Understanding & Context Recognition
L3: Cognitive Flexibility, Self-reflection (minor)",L3
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a larger, harder software engineering benchmark designed to be more industrially relevant and contamination-resistant than prior SWE-bench variants. It emphasizes robust repo understanding, multi-file changes, and reliably producing patches that satisfy hidden evaluation checks.","L1: 
L2: Planning, Logical Reasoning, Working Memory, Decision-making
L3: Self-reflection (minor), Inhibitory Control (minor)",L2
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 evaluates agentic performance in command-line environments, where the model must accomplish real tasks by issuing shell commands and manipulating files. It stresses end-to-end problem solving under tool feedback (stdout/stderr) and constrained execution environments.","L1: 
L2: Planning, Decision-making, Working Memory, Logical Reasoning
L3: Self-reflection (minor), Inhibitory Control (minor)",L2
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp measures deep-research capability over a controlled web-like corpus, typically requiring search, retrieval, and synthesis to answer difficult questions. Performance depends on selecting good queries, verifying sources, and integrating evidence across multiple documents.","L1: 
L2: Planning, Attention, Working Memory, Semantic Understanding & Context Recognition, Decision-making
L3: Self-reflection (minor)",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-agents-in-collaborative-real-world-scenarios,https://arxiv.org/abs/2506.07982,"τ2-bench evaluates interactive, policy-constrained customer-support agents in simulated domains (e.g., retail, airline, telecom), combining tool/API use with multi-turn dialogue. It probes reliable policy adherence, long-horizon task completion, and maintaining coherent state across the interaction.","L1: Language Comprehension (minor), Language Production (minor)
L2: Planning, Decision-making, Working Memory
L3: Social Reasoning & Theory of Mind, Inhibitory Control",L3
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld evaluates multimodal computer-use agents that must complete tasks in a desktop-like operating system environment. Agents must interpret screenshots, choose UI actions, and execute long sequences of steps to reach a goal, often under step limits and interface variability.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Visual Attention & Eye Movements, Planning, Working Memory, Sensorimotor Coordination (minor)
L3: ",L2
ARC-AGI-2,https://arcprize.org/arc-agi/2,https://arxiv.org/abs/1911.01547,"ARC-AGI-2 is a fluid-reasoning benchmark of novel grid transformation puzzles, where models infer a hidden rule from a few examples and apply it to a new input. It is intended to reduce the benefits of memorization and emphasize abstraction, generalization, and rule induction.","L1: Visual Perception (minor)
L2: Logical Reasoning, Working Memory, Spatial Representation & Mapping, Scene Understanding & Visual Reasoning (minor)
L3: Cognitive Flexibility",L3
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon agent coherence by simulating a vending machine business over an extended period, with many sequential decisions affecting outcomes. High scores require sustained strategy, budgeting, supplier interaction, and adapting to changing conditions over time.","L1: 
L2: Planning, Decision-making, Working Memory, Semantic Understanding & Context Recognition (minor), Reward Mechanisms (minor)
L3: Self-reflection (minor)",L2
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas measures real-world tool-use via the Model Context Protocol, requiring models to discover, call, and chain tools correctly across multi-step workflows. It emphasizes robust API interaction, error handling, and synthesizing tool outputs into correct final responses.","L1: 
L2: Planning, Decision-making, Working Memory, Semantic Understanding & Context Recognition
L3: Self-reflection (minor), Inhibitory Control (minor)",L2
