Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates automated software engineering by giving a model a real GitHub repository and an issue description, and scoring whether the produced patch passes the project’s tests under a standardized harness. The “Verified” subset contains tasks that have been manually validated as solvable and correctly specified, reducing noise from ambiguous or broken tasks.","L1: 
L2: Planning, Logical Reasoning, Working Memory
L3: Self-reflection (minor), Inhibitory Control (minor)",L2
SWE-bench Multilingual,https://www.swebench.com/multilingual.html,https://arxiv.org/abs/2504.21798,"SWE-bench Multilingual extends SWE-bench-style repository patching to multiple programming languages, measuring whether models can understand, modify, and test codebases beyond Python. It emphasizes cross-language generalization in debugging, API usage, and codebase navigation under realistic constraints.","L1: Language Comprehension (minor)
L2: Planning, Logical Reasoning, Working Memory
L3: Cognitive Flexibility",L3
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a larger, harder software engineering benchmark designed to be more diverse and more resistant to shortcuts, typically spanning multiple languages and more complex repositories. It stresses end-to-end bug fixing and feature implementation, often requiring deeper investigation, multi-file edits, and robust test-driven iteration.","L1: 
L2: Planning, Logical Reasoning, Working Memory
L3: Cognitive Flexibility, Self-reflection (minor)",L3
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 evaluates agentic competence in command-line environments, where the model must use shell commands and tools to complete real tasks (e.g., debugging, building, data processing) in a sandbox. Performance depends on selecting correct commands, interpreting outputs, and iterating safely under resource and time constraints.","L1: 
L2: Planning, Decision-making, Working Memory, Logical Reasoning
L3: Inhibitory Control (minor)",L2
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp evaluates deep research and browsing: the model must answer questions that require locating, reading, and synthesizing information from external documents rather than relying on memorization. It emphasizes search strategy, evidence aggregation, and maintaining consistency between retrieved sources and final answers.","L1: 
L2: Planning, Attention, Working Memory, Semantic Understanding & Context Recognition
L3: Inhibitory Control (minor)",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-agents-in-collaborative-real-world-scenarios,https://arxiv.org/abs/2506.07982,"τ2-bench (Tau2-bench) measures interactive tool use in realistic, policy-constrained customer-support scenarios (e.g., retail, airline, telecom) with multi-turn dialogues and API calls. Success requires executing correct sequences of actions while adhering to domain rules and communicating clearly with a simulated user.","L1: Language Comprehension
L2: Planning, Decision-making
L3: Social Reasoning & Theory of Mind, Inhibitory Control",L3
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld evaluates multimodal computer-use agents on real operating-system tasks (e.g., using apps, navigating GUIs, editing files) with step limits and a realistic desktop environment. Models must ground instructions in visual UI state, choose correct actions, and recover from errors across long interaction chains.","L1: Visual Perception
L2: Planning, Decision-making, Scene Understanding & Visual Reasoning, Visual Attention & Eye Movements (minor)
L3: ",L2
ARC-AGI-2,https://arcprize.org/arc-agi/2,https://arxiv.org/abs/1911.01547,"ARC-AGI-2 is a fluid intelligence benchmark based on abstract grid transformation tasks, where the model must infer latent rules from a few input-output examples and apply them to a novel input. It is designed to emphasize novel pattern induction and compositional reasoning rather than domain knowledge or memorization.","L1: 
L2: Logical Reasoning, Working Memory, Planning (minor), Attention (minor)
L3: Cognitive Flexibility",L3
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon autonomous agency by simulating management of a vending-machine business over an extended time period, scoring outcomes such as final balance. The agent must plan, negotiate, manage inventory, and adapt to changing conditions while maintaining coherence across many steps.","L1: 
L2: Planning, Decision-making, Working Memory, Reward Mechanisms (minor)
L3: Self-reflection (minor)",L2
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas evaluates real-world tool use via the Model Context Protocol (MCP), requiring models to discover tools, call them correctly, handle errors, and compose multi-step workflows across servers. It targets practical agent reliability: correct parameterization, sequencing, and synthesis of tool outputs into final responses.","L1: Language Comprehension (minor)
L2: Planning, Decision-making, Working Memory
L3: Inhibitory Control (minor)",L2
