Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,SWE-bench Verified evaluates software engineering agents on real GitHub issues by requiring a correct patch that makes the project’s tests pass. The “Verified” subset uses tasks that have been human-validated as solvable and has standardized execution and grading to reduce flakiness and ambiguity.,"L1: Language Comprehension (minor)
L2: Planning, Logical Reasoning, Working Memory, Adaptive Error Correction (minor)
L3: ",L2
SWE-bench Multilingual,https://www.swebench.com/multilingual.html,https://arxiv.org/abs/2504.21798,"SWE-bench Multilingual extends the SWE-bench setup beyond Python to multiple programming languages, testing whether agents can localize bugs and implement fixes across diverse ecosystems and toolchains. It emphasizes cross-language code understanding, repository navigation, and producing correct patches under language-specific constraints.","L1: Language Production (minor)
L2: Planning, Logical Reasoning, Working Memory
L3: Cognitive Flexibility",L3
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a larger and harder software engineering benchmark designed to be more realistic and contamination-resistant, typically spanning multiple languages and more industrially representative tasks. Models must generate patches that solve complex issues in real repositories, often requiring deeper debugging and broader codebase understanding than SWE-bench Verified.","L1: 
L2: Planning, Logical Reasoning, Working Memory, Decision-making (minor), Adaptive Error Correction (minor)
L3: ",L2
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 evaluates agentic performance in a command-line environment where models must complete real tasks by issuing shell commands, inspecting outputs, editing files, and iterating toward a goal. It measures end-to-end autonomy in tool use under realistic constraints like limited resources and multi-step workflows.","L1: 
L2: Planning, Decision-making, Working Memory, Adaptive Error Correction (minor)
L3: Inhibitory Control (minor)",L2
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp is a benchmark for “deep research” agents that must search, read, and synthesize information from a controlled web-like corpus to answer questions. It emphasizes reliable information gathering, source tracking, and multi-step verification rather than memorized knowledge.","L1: 
L2: Planning, Attention, Semantic Understanding & Context Recognition, Working Memory
L3: Self-reflection (minor)",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-agents-in-collaborative-real-world-scenarios,https://arxiv.org/abs/2506.07982,"τ2-bench evaluates interactive tool-using agents in collaborative customer-support-style scenarios (e.g., retail, airline, telecom) that require multi-turn dialogue, API calls, and policy adherence. It tests whether an agent can maintain consistency over a conversation while solving the user’s problem within domain-specific rules.","L1: Language Comprehension (minor)
L2: Planning, Decision-making
L3: Social Reasoning & Theory of Mind, Inhibitory Control",L3
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld benchmarks multimodal computer-use agents that must operate within an OS-like desktop environment (apps, settings, files) via UI interactions. Tasks typically require perceiving screens, choosing actions, and executing multi-step workflows reliably over many steps.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Visual Attention & Eye Movements, Planning, Sensorimotor Coordination (minor)
L3: ",L2
ARC-AGI-2,https://arcprize.org/arc-agi/2,https://arxiv.org/abs/1911.01547,"ARC-AGI-2 is a fluid-intelligence benchmark based on abstract grid transformations, where models infer hidden rules from a few input-output examples and generalize to a new instance. It is designed to emphasize novel pattern induction and compositional reasoning under minimal data.","L1: Visual Perception (minor)
L2: Logical Reasoning, Working Memory, Spatial Representation & Mapping (minor)
L3: Cognitive Flexibility",L3
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon agent coherence by simulating the management of a vending machine business over extended time (e.g., a year). The agent must make thousands of interdependent decisions—inventory, pricing, supplier negotiation—optimizing a final objective such as profit or ending balance.","L1: 
L2: Planning, Decision-making, Working Memory, Reward Mechanisms (minor)
L3: Self-reflection (minor)",L2
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas measures real-world tool use via the Model Context Protocol (MCP), requiring models to discover tools, invoke them correctly, handle errors, and chain multiple calls into a correct workflow. It emphasizes operational reliability with production-like APIs and multi-step execution rather than single-shot QA.","L1: 
L2: Planning, Decision-making, Working Memory, Logical Reasoning (minor)
L3: Inhibitory Control (minor)",L2
FinanceAgent,https://www.vals.ai/benchmarks/finance_agent,,"FinanceAgent evaluates agent performance on tasks expected of an entry-level financial analyst, such as document-based analysis, calculations, and producing finance work products. It typically stresses structured reasoning with domain knowledge, including careful handling of numbers, assumptions, and citations.","L1: Language Production (minor)
L2: Logical Reasoning, Planning, Working Memory, Semantic Understanding & Context Recognition
L3: ",L2
CyberGym,https://www.cybergym.io/,https://arxiv.org/abs/2506.02548,"CyberGym evaluates cybersecurity agents on tasks involving finding known vulnerabilities and discovering new ones in real open-source software, often from high-level vulnerability descriptions. It measures an agent’s ability to reason about code, reproduce exploits conceptually, and propose fixes or vulnerability reports under realistic constraints.","L1: 
L2: Logical Reasoning, Planning, Working Memory
L3: Cognitive Flexibility (minor), Inhibitory Control (minor)",L2
SpreadsheetBench,https://spreadsheetbench.github.io/,https://arxiv.org/abs/2406.14991,"SpreadsheetBench tests an agent’s ability to navigate, edit, and compute within complex spreadsheets derived from real-world use cases. Tasks require correct formula reasoning, structured data manipulation, and producing an accurate spreadsheet artifact rather than only a textual answer.","L1: 
L2: Working Memory, Logical Reasoning, Planning, Decision-making (minor), Attention (minor)
L3: ",L2
Humanity’s Last Exam,https://agi.safe.ai/,https://arxiv.org/abs/2501.14249,"Humanity’s Last Exam (HLE) is a frontier, multi-domain benchmark spanning difficult questions at the edge of expert knowledge, often including multimodal items. It stresses deep reasoning, careful use of evidence (often with tools like search or code), and robustness to ambiguity and long context.","L1: 
L2: Logical Reasoning, Semantic Understanding & Context Recognition, Working Memory, Planning (minor), Multisensory Integration (minor)
L3: ",L2
AIME 2025,https://matharena.ai/?view=problem&comp=aime--aime_2025,https://arxiv.org/abs/2505.23281,"AIME 2025 uses problems from the American Invitational Mathematics Examination, a competition-style math dataset requiring multi-step derivations and precise final answers. Performance depends heavily on symbolic manipulation, careful constraint tracking, and error avoidance in multi-stage reasoning.","L1: 
L2: Logical Reasoning, Working Memory, Planning (minor)
L3: ",L2
GPQA Diamond,https://artificialanalysis.ai/evaluations/gpqa-diamond,https://arxiv.org/abs/2311.12022,"GPQA Diamond is a difficult, graduate-level multiple-choice science benchmark curated so that non-experts struggle while experts succeed, reducing “easy win” cues. It tests whether models can integrate scientific knowledge with multi-step reasoning under adversarially hard distractors.","L1: 
L2: Logical Reasoning, Semantic Understanding & Context Recognition, Working Memory (minor)
L3: ",L2
MMMLU,https://huggingface.co/datasets/openai/MMMLU,https://arxiv.org/abs/2009.03300,"MMMLU extends MMLU to multiple languages, evaluating broad academic knowledge and reasoning across many subjects and non-English settings. It tests cross-lingual generalization: understanding prompts and choosing correct answers without relying on English-only priors.","L1: Language Comprehension
L2: Semantic Understanding & Context Recognition, Logical Reasoning (minor)
L3: Cognitive Flexibility (minor)",L2
MMMU,https://mmmu-benchmark.github.io/,https://arxiv.org/abs/2311.16502,"MMMU is a multimodal benchmark spanning many disciplines where models must answer questions using images plus text (e.g., diagrams, charts, figures). It measures visual understanding integrated with domain reasoning, often requiring interpreting spatial layouts and quantitative information in visuals.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Multisensory Integration, Logical Reasoning (minor)
L3: ",L2
MMMU-Pro,https://mmmu-benchmark.github.io/,https://arxiv.org/abs/2409.02813,"MMMU-Pro is a more challenging or higher-fidelity variant of MMMU intended to better discriminate frontier models on expert-level multimodal reasoning. It typically increases difficulty via harder questions, stronger distractors, and/or evaluation protocols aimed at reducing shortcuts.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Multisensory Integration, Working Memory (minor), Logical Reasoning (minor)
L3: ",L2
LAB-Bench FigQA,https://huggingface.co/datasets/futurehouse/lab-bench,https://arxiv.org/abs/2407.10362,"LAB-Bench FigQA evaluates whether models can correctly answer questions about complex scientific figures from biology papers, such as plots, microscopy panels, and multi-part diagrams. It tests fine-grained extraction of visual evidence and linking it to scientific concepts and question constraints.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Attention, Semantic Understanding & Context Recognition (minor)
L3: ",L2
WebArena,https://webarena.dev/,https://arxiv.org/abs/2307.13854,"WebArena evaluates autonomous web agents that must complete realistic tasks across multiple web applications (e-commerce, CMS, forums, code hosting, maps) using browser interactions. Tasks require multi-step navigation, form filling, and state tracking under dynamic web interfaces and long action horizons.","L1: 
L2: Planning, Decision-making, Working Memory, Visual Attention & Eye Movements
L3: Inhibitory Control (minor)",L2
MathArena Apex,https://matharena.ai/?view=problem&comp=apex--apex_2025,https://arxiv.org/abs/2505.23281,"MathArena Apex is a competition-style suite aimed at the high end of mathematical reasoning, typically including problems that require deeper insight than standard contest sets. It emphasizes long multi-step solutions, careful case analysis, and robustness against subtle traps.","L1: 
L2: Logical Reasoning, Working Memory, Planning (minor)
L3: Cognitive Flexibility (minor)",L2
ScreenShot-Pro,https://gui-agent.github.io/grounding-leaderboard/,https://arxiv.org/abs/2504.07981,"ScreenShot-Pro tests models on understanding high-resolution screenshots of professional software interfaces and answering questions that depend on precise UI comprehension. It emphasizes reading visual layout, identifying widgets/values, and reasoning about screen state to produce correct responses (often aided by tool use).","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Visual Attention & Eye Movements, Working Memory (minor), Sensorimotor Coordination (minor)
L3: ",L2
CharXiv Reasoning,https://charxiv.github.io/,https://arxiv.org/abs/2406.18521,"CharXiv Reasoning evaluates reasoning over scientific charts and figures (often from research papers), requiring models to interpret plotted data, axes, legends, and experimental comparisons. It targets quantitative visual reasoning and multi-step inference grounded in the figure rather than prior textual knowledge.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Logical Reasoning, Attention (minor)
L3: ",L2
OmniDocBench 1.5,https://github.com/opendatalab/OmniDocBench,https://arxiv.org/abs/2412.07626,"OmniDocBench 1.5 evaluates document understanding/OCR across diverse document elements such as text blocks, tables, formulas, and reading order. It measures robust extraction and structural reconstruction from document images, often scoring via edit-distance-style metrics across multiple sub-tasks.","L1: Visual Perception, Language Comprehension (minor)
L2: Attention, Scene Understanding & Visual Reasoning
L3: ",L2
Video-MMMU,https://videommmu.github.io/,https://arxiv.org/abs/2501.13826,"Video-MMMU extends multimodal understanding to video, requiring temporal integration across frames to answer questions about events, procedures, and visual details. It stresses aligning text queries with time-varying visual evidence and maintaining coherence across longer sequences.","L1: Visual Perception
L2: Multisensory Integration, Working Memory, Attention (minor)
L3: Cognitive Timing & Predictive Modeling (minor)",L2
LiveCodeBench Pro,https://livecodebenchpro.com/projects/livecodebench-pro/leaderboard,https://arxiv.org/abs/2506.11928,"LiveCodeBench Pro is a competitive coding evaluation designed to reflect realistic programming problem-solving with strong anti-contamination measures and leaderboard-style scoring (e.g., Elo). It measures the ability to generate correct code under constraints and to handle diverse problem types and edge cases.","L1: Language Production (minor)
L2: Logical Reasoning, Working Memory, Planning
L3: ",L2
FACTS Benchmark Suite,https://deepmind.google/blog/facts-benchmark-suite-systematically-evaluating-the-factuality-of-large-language-models/,https://arxiv.org/abs/2512.10791,"The FACTS Benchmark Suite systematically evaluates factuality in language model outputs across multiple settings, such as grounding to provided sources and resisting hallucinations. It aims to characterize when models make unsupported claims and how reliably they track and report evidence.","L1: 
L2: Semantic Understanding & Context Recognition, Working Memory (minor)
L3: Inhibitory Control, Self-reflection (minor)",L3
SimpleQA Verified,https://www.kaggle.com/benchmarks/deepmind/simpleqa-verified,https://arxiv.org/abs/2509.07968,"SimpleQA Verified is a factual question answering benchmark with verified ground truth and standardized evaluation, often used to measure precision on short, unambiguous factual queries. It emphasizes correctness and calibration on straightforward knowledge retrieval rather than long-form reasoning.","L1: Language Comprehension (minor)
L2: Semantic Understanding & Context Recognition
L3: Inhibitory Control (minor)",L2
Global PIQA,https://huggingface.co/datasets/mrlbenchmarks/global-piqa-nonparallel,https://arxiv.org/abs/2510.24081,"Global PIQA evaluates physical commonsense reasoning across many languages and locales, typically focusing on what actions or outcomes are physically plausible in everyday situations. It stresses robust commonsense generalization beyond English-centric phrasing and cultural priors.","L1: Language Comprehension (minor)
L2: Semantic Understanding & Context Recognition, Logical Reasoning
L3: Cognitive Flexibility (minor)",L2
MRCR v2 (8-needle),https://huggingface.co/datasets/openai/mrcr,https://arxiv.org/abs/2409.12640,"MRCR v2 (8-needle) is a long-context evaluation where multiple similar “needle” requests are embedded in a large “haystack” of dialogue or documents, and the model must retrieve the correct referenced item. The 8-needle variant increases distractors and tests robust cross-document co-reference and retrieval under long contexts.","L1: 
L2: Working Memory, Attention, Semantic Understanding & Context Recognition, Planning (minor)
L3: ",L2
GDPval,https://openai.com/index/gdpval/,https://arxiv.org/abs/2510.04374,"GDPval evaluates well-specified professional knowledge-work tasks across many occupations, judging outputs against industry professionals in side-by-side comparisons. Tasks often require producing realistic work artifacts (e.g., plans, analyses, slides/spreadsheets) with correct structure, assumptions, and prioritization.","L1: Language Production
L2: Planning, Decision-making, Semantic Understanding & Context Recognition
L3: Social Reasoning & Theory of Mind (minor)",L2
SWE-Lancer,https://openai.com/index/swe-lancer/,https://arxiv.org/abs/2502.12115,"SWE-Lancer evaluates agentic software engineering in a more autonomous, “contractor-like” setting where models must execute longer workflows to deliver fixes or features in real codebases. It emphasizes end-to-end productivity: scoping tasks, making tradeoffs, implementing changes, and validating outcomes.","L1: 
L2: Planning, Decision-making, Working Memory, Logical Reasoning
L3: Self-reflection (minor)",L2
Graphwalks,https://huggingface.co/datasets/openai/graphwalks,,"Graphwalks tests long-context algorithmic reasoning by placing graph descriptions and traversal queries into text, requiring models to simulate operations like BFS-style exploration or parent tracking. It emphasizes systematic state tracking and resistance to distractors over long sequences.","L1: 
L2: Working Memory, Logical Reasoning, Attention, Planning (minor), Spatial Representation & Mapping (minor)
L3: ",L2
Toolathon,https://toolathlon.xyz,https://arxiv.org/abs/2510.25726,"Toolathon evaluates an agent’s ability to use tools across diverse tasks, typically requiring correct tool selection, parameterization, and multi-step tool chaining under realistic constraints. It stresses reliability in executing workflows and recovering from tool errors or partial results.","L1: 
L2: Planning, Decision-making, Working Memory, Adaptive Error Correction (minor)
L3: Inhibitory Control (minor)",L2
HMMT,https://matharena.ai/?view=problem&comp=hmmt--hmmt_feb_2025,https://arxiv.org/abs/2505.23281,"HMMT uses problems from the Harvard-MIT Mathematics Tournament, which are often harder and more proof/insight-driven than standard exam-style math. It tests deep multi-step reasoning, careful constraint management, and the ability to avoid subtle logical pitfalls.","L1: 
L2: Logical Reasoning, Working Memory, Planning (minor)
L3: Cognitive Flexibility (minor)",L2
FrontierMath,https://epoch.ai/frontiermath,https://arxiv.org/abs/2411.04872,"FrontierMath is an expert-level mathematics benchmark designed to probe the limits of advanced mathematical reasoning, including problems closer to research-level difficulty tiers. It emphasizes sustained, precise multi-step derivations and rigorous correctness, often benefiting from tool-assisted computation for checking and exploration.","L1: 
L2: Logical Reasoning, Working Memory, Planning
L3: Self-reflection (minor)",L2
