Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates end-to-end software engineering by asking a model to produce patches that fix real issues in open-source Python repositories. The “Verified” subset contains tasks that have been confirmed by human review to be solvable and correctly specified, emphasizing reliable repo-level debugging and implementation.","L1: 
L2: Planning, Logical Reasoning, Working Memory, Adaptive Error Correction (minor)
L3: Inhibitory Control (minor)",L2
SWE-bench Multilingual,https://www.swebench.com/multilingual.html,https://arxiv.org/abs/2504.21798,"SWE-bench Multilingual extends SWE-bench-style repository patching to multiple programming languages, testing whether models can debug and implement fixes across diverse ecosystems. It stresses transfer of software engineering competence beyond Python, including language- and tooling-specific conventions.","L1: Language Comprehension (minor)
L2: Planning, Logical Reasoning, Working Memory
L3: Cognitive Flexibility",L3
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a harder, more contamination-resistant software engineering benchmark with a larger set of industrially relevant tasks across multiple languages. It emphasizes robust patch generation under realistic repository constraints, where superficial pattern-matching is less effective.","L1: 
L2: Planning, Logical Reasoning, Working Memory, Decision-making (minor)
L3: Cognitive Flexibility (minor)",L2
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 evaluates agentic performance in command-line environments, where models must execute multi-step terminal workflows (e.g., using shell commands, editing files, and running programs) to complete tasks. Success depends on maintaining state over long action sequences and recovering from tool errors and environment feedback.","L1: 
L2: Planning, Decision-making, Working Memory, Adaptive Error Correction (minor)
L3: Inhibitory Control",L3
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp measures deep-research style browsing: models must search, read, and synthesize information from a constrained or controlled web/document collection to answer complex questions. It targets tool-augmented information seeking, evidence integration, and attribution-quality answering under retrieval constraints.","L1: Language Comprehension (minor)
L2: Planning, Attention, Working Memory, Semantic Understanding & Context Recognition
L3: ",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-agents-in-collaborative-real-world-scenarios,https://arxiv.org/abs/2506.07982,"τ2-bench evaluates interactive, policy-constrained agent behavior in multi-turn customer support scenarios (e.g., retail, airline, telecom) using tools and simulated users. The model must follow domain policies, keep track of dialog state, and reliably execute API-like actions across long conversations.","L1: Language Comprehension (minor), Language Production (minor)
L2: Planning, Decision-making, Working Memory
L3: Social Reasoning & Theory of Mind, Inhibitory Control",L3
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld is a multimodal computer-use benchmark where an agent operates a real or realistic OS/app environment using screenshots and action tools to complete tasks. It stresses perception-to-action grounding, multi-step planning, and robust execution under UI variability and partial observability.","L1: Visual Perception
L2: Planning, Decision-making, Scene Understanding & Visual Reasoning, Visual Attention & Eye Movements (minor), Working Memory (minor)
L3: ",L2
ARC-AGI-2,https://arcprize.org/arc-agi/2,https://arxiv.org/abs/1911.01547,"ARC-AGI-2 is a fluid reasoning benchmark of abstract grid transformation puzzles, where models infer hidden rules from a few input–output examples and generalize to novel test inputs. It is designed to reduce benefits from memorization and emphasize compositional rule discovery and generalization.","L1: Visual Perception (minor)
L2: Logical Reasoning, Working Memory, Scene Understanding & Visual Reasoning, Planning (minor)
L3: Cognitive Flexibility",L3
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 tests long-horizon autonomous business management in simulation, where an agent runs a vending machine business over many steps (e.g., sourcing, pricing, inventory management, negotiation). The score reflects sustained coherence, strategic adaptation, and outcome optimization across a long trajectory.","L1: 
L2: Planning, Decision-making, Working Memory, Reward Mechanisms (minor)
L3: Cognitive Flexibility, Social Reasoning & Theory of Mind (minor)",L3
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas measures real-world tool use via the Model Context Protocol by requiring models to discover, call, and chain multiple tools/APIs to solve tasks. It emphasizes correct tool selection, argument construction, error handling, and integration of tool outputs into final responses.","L1: Language Comprehension (minor)
L2: Planning, Decision-making, Working Memory
L3: Cognitive Flexibility, Inhibitory Control (minor)",L3
