Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates software engineering by asking a model to generate a patch that fixes a real issue in an open-source Python repository, with correctness determined by repository tests. The Verified split filters for tasks that are confirmed solvable and have reliable evaluation infrastructure, making results more comparable across systems.","L1: 
L2: Planning, Logical Reasoning, Working Memory, Decision-making, Adaptive Error Correction (minor)
L3: Inhibitory Control (minor)",L2
SWE-bench Multilingual,https://www.swebench.com/multilingual.html,https://arxiv.org/abs/2504.21798,"SWE-bench Multilingual extends the SWE-bench paradigm beyond Python to multiple programming languages, testing whether models can understand repos, implement fixes, and satisfy unit/integration tests across diverse ecosystems. It stresses code understanding and patch generation under language- and tooling-specific constraints.","L1: Language Comprehension (minor)
L2: Planning, Logical Reasoning, Working Memory, Decision-making
L3: Cognitive Flexibility",L3
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a larger and more difficult software engineering benchmark aimed at being more industrially realistic and more resistant to shortcutting/contamination. Tasks typically require multi-step repo navigation, dependency understanding, and robust patches that pass tests across multiple languages/frameworks.","L1: 
L2: Planning, Logical Reasoning, Working Memory, Decision-making
L3: Cognitive Flexibility, Self-reflection (minor)",L3
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 evaluates agentic performance in command-line environments, where a model must complete realistic tasks by issuing shell commands, inspecting outputs, and editing files. Success depends on making correct sequential actions under partial observability and environment feedback.","L1: 
L2: Planning, Decision-making, Working Memory, Logical Reasoning, Adaptive Error Correction (minor)
L3: Inhibitory Control (minor)",L2
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp evaluates “deep research” question answering where models must browse and synthesize information from documents rather than relying on parametric recall. It is designed to test search/browsing strategies, evidence integration, and producing grounded final answers.","L1: Language Comprehension
L2: Planning, Attention, Working Memory, Semantic Understanding & Context Recognition, Decision-making
L3: ",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-agents-in-collaborative-real-world-scenarios,https://arxiv.org/abs/2506.07982,"τ2-bench measures an agent’s ability to handle multi-turn customer-support-style interactions while using tools/APIs and complying with domain policies (e.g., retail, airline, telecom). It emphasizes reliable tool use, policy adherence, and maintaining coherent dialogue state over long interactions.","L1: Language Comprehension, Language Production
L2: Planning, Decision-making, Working Memory
L3: Social Reasoning & Theory of Mind, Inhibitory Control, Emotional intelligence (minor)",L3
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld evaluates multimodal “computer use” on operating-system-style tasks that require interpreting screenshots and executing UI actions over many steps. Models must navigate apps, manage state across steps, and recover from errors to complete end-to-end objectives.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Visual Attention & Eye Movements, Planning, Decision-making, Working Memory, Sensorimotor Coordination (minor)
L3: ",L2
ARC-AGI-2,https://arcprize.org/arc-agi/2,https://arxiv.org/abs/1911.01547,ARC-AGI-2 is a fluid reasoning benchmark based on abstract grid transformations where models infer a hidden rule from a few examples and apply it to new inputs. It is designed to emphasize novel pattern induction and compositional reasoning rather than knowledge recall.,"L1: 
L2: Logical Reasoning, Working Memory, Spatial Representation & Mapping, Planning (minor), Attention (minor)
L3: Cognitive Flexibility",L3
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon autonomous agency in a simulated business environment, where an agent runs a vending machine business over extended time and many decisions. It tests strategic planning, bookkeeping-like tracking, and adapting tactics to changing market conditions.","L1: 
L2: Planning, Decision-making, Working Memory, Reward Mechanisms (minor)
L3: Cognitive Flexibility, Self-reflection (minor)",L3
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas measures real-world tool use via the Model Context Protocol (MCP), requiring models to discover tools, call them with correct schemas, and compose multi-step workflows across servers. It emphasizes robust execution (including retries/error handling) and synthesizing tool outputs into correct responses.","L1: 
L2: Planning, Decision-making, Working Memory, Logical Reasoning
L3: Inhibitory Control (minor)",L2
FinanceAgent,https://www.vals.ai/benchmarks/finance_agent,,"FinanceAgent evaluates whether a model can perform tasks typical of an entry-level financial analyst, such as interpreting financial documents, performing calculations, and producing structured analysis artifacts. Tasks commonly require multi-step reasoning with domain constraints and careful numerical consistency.","L1: 
L2: Semantic Understanding & Context Recognition, Logical Reasoning, Planning, Decision-making, Working Memory
L3: Self-reflection (minor)",L2
CyberGym,https://www.cybergym.io/,https://arxiv.org/abs/2506.02548,"CyberGym evaluates cybersecurity capabilities on real software: locating known vulnerabilities from descriptions and attempting to discover new ones, typically in an agentic workflow. It stresses precise technical reasoning, codebase exploration, and producing correct exploit/patch-relevant outputs under strict success criteria.","L1: 
L2: Logical Reasoning, Planning, Decision-making, Working Memory, Attention (minor)
L3: Inhibitory Control (minor)",L2
SpreadsheetBench,https://spreadsheetbench.github.io/,https://arxiv.org/abs/2406.14991,"SpreadsheetBench evaluates a model’s ability to understand and manipulate real spreadsheets to solve practical tasks, often requiring reading formulas, editing sheets, and producing correct outputs. It measures structured data reasoning and reliable multi-step operations over complex tabular artifacts.","L1: 
L2: Logical Reasoning, Working Memory, Planning, Decision-making, Semantic Understanding & Context Recognition
L3: ",L2
Humanity’s Last Exam,https://agi.safe.ai/,https://arxiv.org/abs/2501.14249,"Humanity’s Last Exam is a difficult, broad, and often multimodal evaluation covering frontier-level questions across many domains, intended to stress deep reasoning and synthesis. It is commonly used to probe how models perform on tasks where shallow pattern matching is insufficient and tool use may help.","L1: Language Comprehension
L2: Logical Reasoning, Semantic Understanding & Context Recognition, Working Memory, Planning (minor), Multisensory Integration (minor)
L3: ",L2
AIME 2025,https://matharena.ai/?view=problem&comp=aime--aime_2025,https://arxiv.org/abs/2505.23281,"AIME 2025 is a competition-math benchmark drawn from the 2025 American Invitational Mathematics Examination problems. It tests multi-step symbolic reasoning, careful constraint handling, and producing exact numeric answers.","L1: 
L2: Logical Reasoning, Working Memory, Planning, Attention (minor)
L3: ",L2
GPQA Diamond,https://artificialanalysis.ai/evaluations/gpqa-diamond,https://arxiv.org/abs/2311.12022,"GPQA Diamond is a high-quality subset of graduate-level multiple-choice science questions designed to be hard to answer via simple web search or superficial heuristics. It emphasizes scientific reasoning and precise conceptual understanding across physics, chemistry, and biology.","L1: Language Comprehension
L2: Semantic Understanding & Context Recognition, Logical Reasoning, Working Memory (minor), Decision-making (minor)
L3: ",L2
MMMLU,https://huggingface.co/datasets/openai/MMMLU,https://arxiv.org/abs/2009.03300,"MMMLU extends MMLU-style academic multiple-choice evaluation across many languages, testing whether models can answer subject questions beyond English. It probes multilingual comprehension and the ability to apply learned knowledge consistently across linguistic contexts.","L1: Language Comprehension
L2: Semantic Understanding & Context Recognition, Logical Reasoning (minor), Working Memory (minor)
L3: ",L2
MMMU,https://mmmu-benchmark.github.io/,https://arxiv.org/abs/2311.16502,"MMMU is a multimodal, multi-discipline benchmark where models answer questions requiring joint understanding of images (e.g., diagrams, charts) and text across many expert domains. It emphasizes visual reasoning grounded in domain knowledge and precise instruction following.","L1: Visual Perception, Language Comprehension
L2: Scene Understanding & Visual Reasoning, Multisensory Integration, Logical Reasoning, Visual Attention & Eye Movements (minor), Working Memory (minor)
L3: ",L2
MMMU-Pro,https://mmmu-benchmark.github.io/,https://arxiv.org/abs/2409.02813,"MMMU-Pro is a more challenging/professionalized variant of MMMU intended to better separate frontier vision-language models, often using harder questions and stricter evaluation. It stresses robust multimodal reasoning, fine-grained perception, and reduced reliance on shortcuts.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Multisensory Integration, Logical Reasoning, Working Memory (minor), Attention (minor)
L3: ",L2
LAB-Bench FigQA,https://huggingface.co/datasets/futurehouse/lab-bench,https://arxiv.org/abs/2407.10362,"LAB-Bench FigQA evaluates whether models can interpret and reason about complex scientific figures from biology papers, including charts, microscopy-style visuals, and multi-panel plots. It focuses on extracting the right visual evidence and performing domain-grounded inference from it.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Semantic Understanding & Context Recognition, Logical Reasoning, Visual Attention & Eye Movements (minor), Working Memory (minor)
L3: ",L2
WebArena,https://webarena.dev/,https://arxiv.org/abs/2307.13854,"WebArena evaluates autonomous web agents completing realistic tasks across multiple websites (e-commerce, forums, Git hosting, etc.) using browser interactions. It stresses long-horizon planning, state tracking, and accurate perception of changing web UIs to reach goal states.","L1: Visual Perception
L2: Planning, Decision-making, Working Memory, Scene Understanding & Visual Reasoning, Visual Attention & Eye Movements
L3: Inhibitory Control (minor)",L2
MathArena Apex,https://matharena.ai/?view=problem&comp=apex--apex_2025,https://arxiv.org/abs/2505.23281,"MathArena Apex is a high-difficulty mathematics evaluation composed of challenging problems intended to test advanced reasoning beyond standard competition sets. It emphasizes rigorous multi-step derivations, abstraction, and error-sensitive symbolic manipulation.","L1: 
L2: Logical Reasoning, Working Memory, Planning, Attention (minor)
L3: ",L2
ScreenShot-Pro,https://gui-agent.github.io/grounding-leaderboard/,https://arxiv.org/abs/2504.07981,"ScreenShot-Pro evaluates visual grounding and reasoning over high-resolution screenshots of software interfaces and professional dashboards. Models must locate relevant UI elements, interpret layout/labels, and answer questions or take actions that depend on accurate spatial understanding.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Visual Attention & Eye Movements, Spatial Representation & Mapping, Working Memory (minor), Planning (minor)
L3: ",L2
CharXiv Reasoning,https://charxiv.github.io/,https://arxiv.org/abs/2406.18521,"CharXiv Reasoning tests whether models can answer questions about figures and quantitative plots drawn from scientific papers, often benefiting from computation (e.g., with Python) to validate readings. It emphasizes faithful chart/figure interpretation and chaining that evidence into correct conclusions.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Logical Reasoning, Working Memory (minor), Attention (minor)
L3: ",L2
OmniDocBench 1.5,https://github.com/opendatalab/OmniDocBench,https://arxiv.org/abs/2412.07626,"OmniDocBench 1.5 evaluates document understanding and OCR-like capabilities across diverse document types, including text, tables, formulas, and reading order. It stresses robust extraction and structured reconstruction rather than only recognizing isolated tokens.","L1: Visual Perception, Language Comprehension (minor)
L2: Scene Understanding & Visual Reasoning, Attention, Working Memory (minor)
L3: ",L2
Video-MMMU,https://videommmu.github.io/,https://arxiv.org/abs/2501.13826,"Video-MMMU extends multimodal understanding to video, requiring models to integrate information across frames and temporal context to answer questions. It emphasizes tracking events, interpreting visual scenes over time, and combining visual evidence with text instructions.","L1: Visual Perception
L2: Visual Attention & Eye Movements, Scene Understanding & Visual Reasoning, Multisensory Integration, Working Memory
L3: Cognitive Timing & Predictive Modeling (minor)",L2
LiveCodeBench Pro,https://livecodebenchpro.com/projects/livecodebench-pro/leaderboard,https://arxiv.org/abs/2506.11928,"LiveCodeBench Pro evaluates code-generation and programming problem solving under settings intended to reflect realistic coding constraints and minimize leakage, often reporting performance via an ELO-style rating. Tasks typically require writing correct, executable solutions and handling tricky edge cases.","L1: 
L2: Logical Reasoning, Planning, Working Memory, Decision-making, Adaptive Error Correction (minor)
L3: ",L2
