Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates software engineering by asking a model to generate patches that fix real issues in open-source Python repositories, with each task paired to a test suite that must pass after the patch is applied. The “Verified” subset uses human-validated, solvable problems and standardized evaluation harnesses to reduce noise from underspecified or unsound tasks.","L1: 
L2: Logical Reasoning, Planning, Working Memory, Semantic Understanding & Context Recognition, Adaptive Error Correction (minor)
L3: ",L2
SWE-bench Multilingual,https://www.swebench.com/multilingual.html,https://arxiv.org/abs/2504.21798,"SWE-bench Multilingual extends the SWE-bench paradigm beyond Python to multiple programming languages, measuring whether models can localize bugs, edit code, and satisfy tests in varied ecosystems and toolchains. It probes cross-language transfer and robustness to different idioms, build systems, and dependency layouts.","L1: Language Comprehension (minor)
L2: Logical Reasoning, Planning, Working Memory, Semantic Understanding & Context Recognition
L3: Cognitive Flexibility",L3
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a larger, harder software engineering benchmark designed to be more realistic and contamination-resistant, with tasks spanning multiple languages and more industrially representative codebases. Models must produce correct patches under stricter evaluation setups and often more ambiguous engineering constraints than standard SWE-bench tasks.","L1: 
L2: Logical Reasoning, Planning, Working Memory, Adaptive Error Correction (minor)
L3: Cognitive Flexibility",L3
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 evaluates agentic performance in command-line environments, where models must execute multi-step workflows (e.g., install tools, run scripts, inspect files, and fix errors) to complete real tasks. Success requires maintaining state across actions and responding to tool feedback from a live terminal.","L1: 
L2: Planning, Decision-making, Working Memory, Logical Reasoning, Adaptive Error Correction
L3: Inhibitory Control (minor)",L2
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp evaluates deep research and web-browsing agents on questions that require locating, reading, and synthesizing information from online sources rather than recalling facts from parametric memory alone. The benchmark emphasizes multi-step search strategy, source selection, and faithful synthesis across retrieved documents.","L1: 
L2: Planning, Decision-making, Attention, Working Memory, Semantic Understanding & Context Recognition
L3: Inhibitory Control (minor)",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-agents-in-collaborative-real-world-scenarios,https://arxiv.org/abs/2506.07982,"τ2-bench measures interactive tool use in simulated customer-service domains (e.g., retail, airline, telecom) where an agent must follow policies, query APIs, and communicate with a user over multiple turns. It stresses consistent policy adherence under conversational pressure and correct sequencing of tool calls to resolve cases end-to-end.","L1: Language Comprehension, Language Production
L2: Planning, Decision-making, Working Memory
L3: Social Reasoning & Theory of Mind, Inhibitory Control, Emotional intelligence (minor), Empathy (minor)",L3
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld evaluates computer-use agents that must operate a desktop-like operating system to accomplish tasks across applications using screenshots and UI interactions. It tests whether models can interpret visual UI state, plan action sequences, and recover from mistakes under step limits in realistic workflows.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Visual Attention & Eye Movements, Planning, Decision-making, Working Memory, Sensorimotor Coordination (minor), Adaptive Error Correction (minor)
L3: ",L2
ARC-AGI-2,https://arcprize.org/arc-agi/2,https://arxiv.org/abs/1911.01547,"ARC-AGI-2 is a fluid reasoning benchmark built around few-shot grid transformation puzzles where a model must infer latent rules from a handful of input–output examples and produce the correct output for a new input. Compared with many knowledge benchmarks, it emphasizes abstraction, compositional rule induction, and generalization to novel patterns.","L1: Visual Perception (minor)
L2: Logical Reasoning, Working Memory, Attention, Spatial Representation & Mapping, Planning (minor)
L3: Cognitive Flexibility",L3
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon autonomy by having an agent run a simulated vending machine business over an extended period, making thousands of interdependent decisions (procurement, pricing, inventory, negotiation, etc.). It measures sustained coherence, strategy, and adaptation to a changing environment rather than single-turn correctness.","L1: 
L2: Planning, Decision-making, Working Memory, Semantic Understanding & Context Recognition, Reward Mechanisms (minor), Episodic Memory (minor)
L3: Cognitive Flexibility (minor)",L2
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas evaluates real-world tool use via the Model Context Protocol, requiring models to discover tools, call them with correct schemas, handle errors, and compose multi-step workflows across services. The benchmark focuses on reliability of action selection and correct interfacing with production-like APIs.","L1: 
L2: Planning, Decision-making, Working Memory, Logical Reasoning, Adaptive Error Correction
L3: Inhibitory Control (minor)",L2
