Benchmark,Website,Paper,Description,Cognitive Functions
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 evaluates agentic coding and systems work in real command-line environments (e.g., debugging, building, configuring, and running programs) using a standardized harness. It emphasizes end-to-end task completion with tool use (shell commands), iterative troubleshooting, and robustness to environment feedback.","Planning, Decision-making, Adaptive Error Correction, Working Memory, Language Comprehension, Language Production, Logical Reasoning"
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp is a deep-research benchmark where models answer questions by searching and synthesizing evidence from a controlled web/document corpus. It stresses multi-step information seeking, source triangulation, and producing grounded final responses under realistic retrieval constraints.","Planning, Decision-making, Attention, Working Memory, Semantic Understanding & Context Recognition, Language Comprehension, Language Production, Logical Reasoning"
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld measures an agent’s ability to use a computer operating system to complete tasks across real applications and web interfaces, often via screenshots and low-level actions. Success requires interpreting GUIs, selecting correct action sequences, and recovering from execution errors during long trajectories.","Visual Perception, Scene Understanding & Visual Reasoning, Visual Attention & Eye Movements, Sensorimotor Coordination, Planning, Decision-making, Adaptive Error Correction, Working Memory"
ARC-AGI,https://arcprize.org/arc-agi,https://arxiv.org/abs/1911.01547,"ARC-AGI tests few-shot fluid reasoning on abstract grid transformation puzzles, where the system must infer hidden rules from a small number of input–output examples. It aims to minimize reliance on memorized knowledge and instead probe generalization to novel, compositional patterns.","Logical Reasoning, Working Memory, Cognitive Flexibility, Spatial Representation & Mapping, Attention"
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon autonomous agency by having a model run a simulated vending-machine business over an extended period. Agents must plan strategies, manage inventory and finances, interact with suppliers/customers, and adapt decisions as conditions change.","Planning, Decision-making, Reward Mechanisms, Working Memory, Adaptive Error Correction, Semantic Understanding & Context Recognition"
CyberGym,https://www.cybergym.io/,https://arxiv.org/abs/2506.02548,"CyberGym evaluates cybersecurity agent capabilities on real-world vulnerability tasks, including identifying known weaknesses and discovering new ones in open-source codebases. It stresses technical reasoning, careful tool-driven investigation, and iterative hypothesis testing under realistic constraints.","Logical Reasoning, Planning, Decision-making, Adaptive Error Correction, Working Memory, Semantic Understanding & Context Recognition, Language Comprehension"
SpreadsheetBench,https://spreadsheetbench.github.io/,https://arxiv.org/abs/2406.14991,"SpreadsheetBench tests whether models can navigate and manipulate complex spreadsheets to answer questions or produce correct spreadsheet artifacts. It emphasizes structured data understanding, multi-step transformations (often with tools), and maintaining consistency across formulas, tables, and formatting.","Logical Reasoning, Working Memory, Attention, Planning, Decision-making, Adaptive Error Correction, Semantic Understanding & Context Recognition, Scene Understanding & Visual Reasoning"
Humanity’s Last Exam,https://agi.safe.ai/,https://arxiv.org/abs/2501.14249,"Humanity’s Last Exam (HLE) is a challenging multimodal benchmark intended to probe frontier academic and expert knowledge across domains, including reasoning-intensive questions. It evaluates not only knowledge recall but also synthesis, careful interpretation of problem statements, and (when enabled) tool-augmented problem solving.","Language Comprehension, Semantic Understanding & Context Recognition, Logical Reasoning, Working Memory, Visual Perception, Scene Understanding & Visual Reasoning"
GPQA Diamond,https://artificialanalysis.ai/evaluations/gpqa-diamond,https://arxiv.org/abs/2311.12022,"GPQA Diamond is a high-difficulty multiple-choice science QA benchmark designed to be resistant to shallow pattern matching and simple web search. It focuses on graduate-level reasoning over physics, chemistry, and biology questions where distractors are strong and require careful discrimination.","Language Comprehension, Semantic Understanding & Context Recognition, Logical Reasoning, Working Memory, Inhibitory Control"
MMMU-Pro,https://mmmu-benchmark.github.io/,https://arxiv.org/abs/2409.02813,"MMMU-Pro is a multimodal understanding and reasoning benchmark covering many disciplines with expert-level questions that combine images and text. It tests whether models can integrate visual evidence with domain knowledge to perform precise, multi-step reasoning rather than surface captioning.","Visual Perception, Scene Understanding & Visual Reasoning, Multisensory Integration, Logical Reasoning, Working Memory, Attention, Language Comprehension"
