Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates an agent’s ability to fix real issues in open-source Python repositories by producing a patch that passes the project’s tests. The “Verified” subset uses problems validated by human engineers to be solvable and to have reliable evaluation, emphasizing end-to-end debugging rather than isolated coding puzzles.","L1: 
L2: Planning, Decision-making, Working Memory, Logical Reasoning, Semantic Understanding & Context Recognition, Adaptive Error Correction
L3: ",L2
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a harder, larger software-engineering benchmark that expands beyond Python to multiple languages and aims to be more contamination-resistant and industrially representative. Models must understand a repository, localize the bug or missing feature, implement a correct fix, and satisfy rigorous test-based checks.","L1: 
L2: Planning, Decision-making, Working Memory, Logical Reasoning, Semantic Understanding & Context Recognition, Adaptive Error Correction
L3: Inhibitory Control",L3
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp evaluates “deep research” style browsing where a model must locate and synthesize answers from a fixed document index, reducing variance from live web changes. It tests whether an agent can search effectively, read supporting documents, and provide grounded answers under tool-use constraints.","L1: Language Comprehension
L2: Planning, Decision-making, Attention, Working Memory, Episodic Memory, Semantic Understanding & Context Recognition
L3: ",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-ai-agents,https://arxiv.org/abs/2406.12045,"τ2-bench measures how well an agent handles multi-turn customer-support interactions while using APIs/tools and following domain policies (e.g., retail, airline, telecom). It stresses policy compliance under conversational pressure, tool orchestration, and maintaining consistent state across turns.","L1: Language Comprehension, Language Production
L2: Planning, Decision-making, Working Memory, Reward Mechanisms
L3: Social Reasoning & Theory of Mind, Inhibitory Control",L3
ARC-AGI,https://arcprize.org/arc-agi,https://arxiv.org/abs/1911.01547,"ARC-AGI tests abstract, few-shot “fluid reasoning” on grid-based transformation tasks where the governing rule is novel at test time. Success requires inferring latent patterns from a handful of examples and generalizing to new inputs rather than relying on memorized templates.","L1: 
L2: Logical Reasoning, Working Memory, Attention, Spatial Representation & Mapping, Scene Understanding & Visual Reasoning
L3: Cognitive Flexibility",L3
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas evaluates tool use via the Model Context Protocol (MCP), focusing on discovering appropriate tools, executing multi-step API workflows, handling errors, and synthesizing results. It targets realistic tool ecosystems where correct sequencing and robust recovery matter as much as single-call accuracy.","L1: 
L2: Planning, Decision-making, Working Memory, Semantic Understanding & Context Recognition, Adaptive Error Correction
L3: Inhibitory Control",L3
Humanity’s Last Exam,https://agi.safe.ai/,https://arxiv.org/abs/2501.14249,"Humanity’s Last Exam (HLE) is a large, frontier-level benchmark spanning difficult expert questions, including multimodal items, intended to probe broad general intelligence at the edge of current models. It rewards deep reasoning, careful reading, and (in tool-enabled settings) robust evidence gathering and synthesis.","L1: Language Comprehension, Language Production
L2: Logical Reasoning, Working Memory, Semantic Understanding & Context Recognition, Scene Understanding & Visual Reasoning, Planning, Decision-making
L3: ",L2
AIME 2025,https://matharena.ai/?view=problem&comp=aime--aime_2025,https://arxiv.org/abs/2505.23281,AIME 2025 evaluates competition-style mathematics requiring multi-step derivations and precise final numeric answers. It probes structured reasoning and error-free symbolic manipulation under time-like constraints (single-shot evaluation settings are common).,"L1: 
L2: Logical Reasoning, Working Memory, Planning, Adaptive Error Correction, Attention
L3: ",L2
GPQA Diamond,https://artificialanalysis.ai/evaluations/gpqa-diamond,https://arxiv.org/abs/2311.12022,"GPQA Diamond is a high-difficulty multiple-choice science QA benchmark designed to be “Google-proof,” with the Diamond subset curated for quality and difficulty. It emphasizes reasoning with specialized scientific knowledge rather than surface pattern matching.","L1: 
L2: Semantic Understanding & Context Recognition, Logical Reasoning, Working Memory, Attention, Decision-making
L3: ",L2
MMMLU,https://huggingface.co/datasets/openai/MMMLU,https://arxiv.org/abs/2009.03300,"MMMLU extends MMLU to many languages, testing broad academic knowledge and reasoning across subjects and multilingual settings. It evaluates whether models preserve competence and calibration when prompts and answer choices appear in diverse languages.","L1: Language Comprehension
L2: Semantic Understanding & Context Recognition, Logical Reasoning, Working Memory, Attention
L3: ",L2
