Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates software engineering agents on real GitHub issues where the model must generate a code patch that makes the repository’s tests pass. The “Verified” subset uses tasks that have been human-validated as solvable and focuses on reliable, end-to-end bug fixing under a standardized harness.","L1: 
L2: Planning, Logical Reasoning, Working Memory, Adaptive Error Correction, Semantic Understanding & Context Recognition, Decision-making
L3: ",L2
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a larger, harder software engineering benchmark intended to be more realistic and contamination-resistant, spanning multiple programming languages and more complex repositories. Agents must understand issue descriptions, navigate codebases, implement fixes, and satisfy test suites under stricter evaluation conditions.","L1: 
L2: Planning, Logical Reasoning, Working Memory, Adaptive Error Correction, Semantic Understanding & Context Recognition, Decision-making
L3: Cognitive Flexibility",L3
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp measures a model’s ability to do deep, grounded web research by searching and synthesizing information from an online corpus (or a controlled web index in some variants). Success requires decomposing a query, iteratively retrieving evidence, and producing a supported final answer rather than a purely parametric response.","L1: Language Comprehension, Language Production
L2: Planning, Attention, Episodic Memory, Semantic Understanding & Context Recognition, Decision-making
L3: ",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-ai-agents,https://arxiv.org/abs/2406.12045,"τ2-bench evaluates interactive agent behavior in simulated customer-support domains (e.g., retail, airline, telecom) where the model must use tools/APIs and follow domain policies over multi-turn dialogues. It emphasizes consistent policy adherence, correct tool use, and user-centered problem resolution in realistic workflows.","L1: Language Comprehension, Language Production
L2: Decision-making, Planning, Adaptive Error Correction, Working Memory
L3: Social Reasoning & Theory of Mind, Inhibitory Control",L3
ARC-AGI,https://arcprize.org/arc-agi,https://arxiv.org/abs/1911.01547,"ARC-AGI tests “fluid” abstract reasoning using small grid-based puzzles: given a few input–output examples, the model must infer the hidden transformation rule and apply it to a new input. The benchmark is designed to reward generalization to novel patterns rather than memorization of domain knowledge.","L1: 
L2: Logical Reasoning, Working Memory, Spatial Representation & Mapping, Planning, Attention
L3: Cognitive Flexibility",L3
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas evaluates real-world tool use via the Model Context Protocol (MCP), requiring models to discover tools, call them correctly, handle errors, and compose multi-step workflows across services. Tasks resemble production agent usage, emphasizing robustness, correct API interaction, and coherent final synthesis.","L1: Language Comprehension, Language Production
L2: Planning, Decision-making, Adaptive Error Correction, Working Memory, Semantic Understanding & Context Recognition
L3: ",L2
Humanity’s Last Exam,https://agi.safe.ai/,https://arxiv.org/abs/2501.14249,"Humanity’s Last Exam is a frontier, multimodal benchmark spanning difficult questions across many domains, intended to probe broad, expert-level knowledge and reasoning. It often rewards careful synthesis, multi-step problem solving, and (in tool-enabled settings) strategic use of search or code to verify claims.","L1: Language Comprehension, Language Production
L2: Logical Reasoning, Semantic Understanding & Context Recognition, Working Memory, Multisensory Integration, Planning
L3: ",L2
AIME 2025,https://matharena.ai/?view=problem&comp=aime--aime_2025,https://arxiv.org/abs/2505.23281,"AIME 2025 evaluates competition-level mathematical problem solving on the 2025 American Invitational Mathematics Examination set. Problems require multi-step symbolic reasoning, constraint handling, and exact answer derivation under limited context.","L1: 
L2: Logical Reasoning, Working Memory, Planning, Adaptive Error Correction
L3: ",L2
GPQA Diamond,https://artificialanalysis.ai/evaluations/gpqa-diamond,https://arxiv.org/abs/2311.12022,"GPQA Diamond is a subset of graduate-level, “Google-proof” multiple-choice science questions designed to resist shallow retrieval and reward genuine understanding. It probes disciplined reasoning across physics, chemistry, and biology with carefully curated high-quality items.","L1: Language Comprehension
L2: Logical Reasoning, Semantic Understanding & Context Recognition, Working Memory, Decision-making
L3: ",L2
MMMLU,https://huggingface.co/datasets/openai/MMMLU,https://arxiv.org/abs/2009.03300,"MMMLU extends broad academic knowledge testing into multiple languages, measuring whether models can understand and answer subject-matter questions beyond English. It stresses cross-lingual generalization, stable semantic representations, and consistent reasoning across languages and topics.","L1: Language Comprehension
L2: Semantic Understanding & Context Recognition, Logical Reasoning, Working Memory
L3: ",L2
