Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates models on real GitHub issues in Python repositories, where the system must generate a code patch that makes the test suite pass. The “Verified” subset uses human-validated tasks to reduce ambiguity and ensure solvability, emphasizing realistic debugging and implementation under repository constraints.","L1: 
L2: Logical Reasoning, Planning, Working Memory, Adaptive Error Correction, Decision-making, Semantic Understanding & Context Recognition
L3: ",L2
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a harder, more contamination-resistant software engineering benchmark spanning multiple programming languages and more complex issue types than SWE-bench Verified. Systems must understand large codebases, localize faults or missing features, implement patches, and validate results via tests in an agent-like loop.","L1: 
L2: Logical Reasoning, Planning, Working Memory, Adaptive Error Correction, Decision-making, Semantic Understanding & Context Recognition
L3: ",L2
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp measures deep-research agent capability on information-seeking questions that require searching, reading, and synthesizing evidence from many sources. It stresses query formulation, evidence tracking, and producing a grounded final answer rather than a single-step recall response.","L1: Language Comprehension, Language Production
L2: Planning, Decision-making, Working Memory, Attention, Semantic Understanding & Context Recognition
L3: ",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-ai-agents,https://arxiv.org/abs/2406.12045,"τ2-bench evaluates interactive customer-support agents in simulated domains (e.g., retail, airline, telecom) that must follow policies while using tools/APIs across multi-turn dialogues. It probes robustness to user behavior, long-horizon task completion, and adherence to constraints under conversational pressure.","L1: Language Comprehension, Language Production
L2: Planning, Decision-making, Working Memory
L3: Inhibitory Control, Social Reasoning & Theory of Mind",L3
ARC-AGI,https://arcprize.org/arc-agi,https://arxiv.org/abs/1911.01547,"ARC-AGI (Abstraction and Reasoning Corpus) tests “fluid” pattern reasoning on novel grid-based tasks with only a few examples per task. Success requires inferring hidden rules, generalizing to new inputs, and avoiding overfitting to superficial cues.","L1: 
L2: Logical Reasoning, Working Memory, Attention, Spatial Representation & Mapping
L3: Cognitive Flexibility",L3
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas evaluates real-world tool use via the Model Context Protocol, requiring models to discover tools, call them correctly, handle errors, and compose multi-step workflows over authentic APIs. It emphasizes reliability in structured tool invocation and synthesis of tool outputs into correct final responses.","L1: Language Comprehension, Language Production
L2: Planning, Decision-making, Working Memory, Adaptive Error Correction
L3: Inhibitory Control",L3
Humanity’s Last Exam,https://agi.safe.ai/,https://arxiv.org/abs/2501.14249,"Humanity’s Last Exam is a broad, frontier-level benchmark of difficult questions spanning advanced academic and real-world topics, often including multimodal inputs. It targets integrated reasoning, knowledge synthesis, and producing coherent, justifiable answers under uncertainty.","L1: Language Comprehension, Language Production, Visual Perception
L2: Logical Reasoning, Semantic Understanding & Context Recognition, Working Memory, Scene Understanding & Visual Reasoning
L3: ",L2
AIME 2025,https://matharena.ai/?view=problem&comp=aime--aime_2025,https://arxiv.org/abs/2505.23281,"AIME 2025 evaluates competition-style mathematics problem solving drawn from the American Invitational Mathematics Examination. Problems typically require multi-step derivations, careful case analysis, and precise final numeric answers rather than proof writing.","L1: 
L2: Logical Reasoning, Working Memory, Planning, Attention
L3: ",L2
GPQA Diamond,https://artificialanalysis.ai/evaluations/gpqa-diamond,https://arxiv.org/abs/2311.12022,"GPQA Diamond is a subset of the GPQA benchmark consisting of particularly difficult, graduate-level multiple-choice questions in physics, chemistry, and biology designed to be “Google-proof.” It emphasizes deep domain understanding and reasoning over memorized trivia.","L1: Language Comprehension
L2: Logical Reasoning, Semantic Understanding & Context Recognition, Working Memory
L3: ",L2
MMMLU,https://huggingface.co/datasets/openai/MMMLU,https://arxiv.org/abs/2009.03300,"MMMLU extends MMLU to multiple languages, testing breadth of academic knowledge and reasoning across many subjects using standardized questions. It probes whether competence transfers across languages and scripts rather than being limited to English-only instruction tuning.","L1: Language Comprehension
L2: Semantic Understanding & Context Recognition, Logical Reasoning
L3: ",L2
MMMU-Pro,https://mmmu-benchmark.github.io/,https://arxiv.org/abs/2409.02813,"MMMU-Pro is a challenging multimodal benchmark spanning many disciplines where models must answer questions grounded in images (e.g., diagrams, charts, photos) plus text. It focuses on expert-level multimodal understanding and reasoning with reduced shortcut opportunities compared to earlier MMMU settings.","L1: Visual Perception, Language Comprehension
L2: Multisensory Integration, Scene Understanding & Visual Reasoning, Logical Reasoning, Working Memory
L3: ",L2
ScreenShot-Pro,https://gui-agent.github.io/grounding-leaderboard/,https://arxiv.org/abs/2504.07981,"ScreenShot-Pro evaluates screenshot understanding for professional and software-UI contexts, where models must interpret high-resolution interfaces and answer questions that depend on precise visual grounding. It stresses layout-sensitive perception, recognizing UI affordances, and mapping spatial relationships to correct answers.","L1: Visual Perception, Language Comprehension
L2: Scene Understanding & Visual Reasoning, Visual Attention & Eye Movements, Spatial Representation & Mapping, Working Memory
L3: ",L2
