Benchmark,Website,Paper,Description,Cognitive Functions
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates a model’s ability to solve real-world software engineering issues by generating patches that make a repository’s tests pass, using a curated set of tasks validated as solvable. It emphasizes end-to-end debugging and codebase navigation under a standardized, single-attempt evaluation setting.","Language Comprehension, Language Production, Logical Reasoning, Planning, Working Memory, Adaptive Error Correction, Decision-making, Semantic Understanding & Context Recognition"
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a larger and more challenging successor-style benchmark for software engineering, with harder tasks and broader coverage intended to be more contamination-resistant and industrially relevant. It stresses multi-file reasoning, robust patch generation, and reliably resolving complex dependency and test-failure chains.","Language Comprehension, Language Production, Logical Reasoning, Planning, Working Memory, Adaptive Error Correction, Decision-making, Cognitive Flexibility, Semantic Understanding & Context Recognition"
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp evaluates deep research agents on questions that require multi-step web information gathering, synthesis, and verification rather than single-page lookup. It measures whether an agent can search, read, cross-check sources, and produce a correct final answer with appropriate evidence handling.","Planning, Decision-making, Working Memory, Episodic Memory, Attention, Language Comprehension, Language Production, Logical Reasoning, Semantic Understanding & Context Recognition, Self-reflection"
τ2-bench,https://sierra.ai/uk/blog/benchmarking-ai-agents,https://arxiv.org/abs/2406.12045,"τ2-bench evaluates interactive tool-using agents in customer-service style domains (e.g., retail, airline, telecom) where the agent must follow policies while using APIs over multi-turn dialogs. Success depends on correct tool invocation, consistent policy adherence, and recovering from user or system complications across a conversation.","Social Reasoning & Theory of Mind, Language Comprehension, Language Production, Planning, Decision-making, Working Memory, Inhibitory Control, Adaptive Error Correction, Reward Mechanisms, Semantic Understanding & Context Recognition, Attention"
ARC-AGI,https://arcprize.org/arc-agi,https://arxiv.org/abs/1911.01547,ARC-AGI measures generalization and fluid reasoning by requiring models to infer latent transformation rules from a few input–output grid examples and apply them to new grids. It is designed to reward abstract pattern induction and compositional reasoning rather than memorization of domain knowledge.,"Logical Reasoning, Working Memory, Cognitive Flexibility, Spatial Representation & Mapping, Scene Understanding & Visual Reasoning, Attention, Decision-making, Planning"
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas benchmarks real-world tool use via the Model Context Protocol, requiring models to discover relevant tools, correctly call them, and integrate results across multi-step workflows. It focuses on practical API orchestration, error handling, and producing correct end outputs under realistic tool ecosystems.","Planning, Decision-making, Working Memory, Adaptive Error Correction, Language Comprehension, Language Production, Semantic Understanding & Context Recognition, Inhibitory Control, Attention"
Humanity’s Last Exam,https://agi.safe.ai/,https://arxiv.org/abs/2501.14249,"Humanity’s Last Exam is a frontier, multimodal benchmark spanning many expert domains, intended to test advanced reasoning and knowledge at the edge of current model capability. Questions often require combining domain understanding with careful, multi-step inference (and sometimes tool use, depending on the evaluation setup).","Language Comprehension, Language Production, Logical Reasoning, Semantic Understanding & Context Recognition, Working Memory, Attention, Decision-making, Planning, Multisensory Integration, Scene Understanding & Visual Reasoning, Visual Perception"
AIME 2025,https://matharena.ai/?view=problem&comp=aime--aime_2025,https://arxiv.org/abs/2505.23281,"AIME 2025 evaluates competition-style mathematics problem solving from the American Invitational Mathematics Examination. Problems require symbolic manipulation and multi-step reasoning with exact answers, rewarding correctness and disciplined constraint handling.","Logical Reasoning, Working Memory, Planning, Decision-making, Attention, Adaptive Error Correction"
GPQA Diamond,https://artificialanalysis.ai/evaluations/gpqa-diamond,https://arxiv.org/abs/2311.12022,"GPQA Diamond is a highly curated subset of challenging graduate-level science multiple-choice questions designed to be “Google-proof,” emphasizing reasoning over retrieval. The Diamond split focuses on high-quality items where experts succeed and non-experts tend to fail, highlighting deep scientific understanding and careful elimination.","Language Comprehension, Logical Reasoning, Working Memory, Decision-making, Semantic Understanding & Context Recognition, Attention"
MMMLU,https://huggingface.co/datasets/openai/MMMLU,https://arxiv.org/abs/2009.03300,"MMMLU extends MMLU into multiple languages, testing broad academic knowledge and reasoning across many subjects in non-English settings. It probes whether models can maintain competence and instruction-following across languages and cultural contexts while answering exam-style questions.","Language Comprehension, Logical Reasoning, Semantic Understanding & Context Recognition, Working Memory, Attention, Decision-making, Cognitive Flexibility"
