Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates end-to-end software engineering by asking a model/agent to produce patches that fix real issues in GitHub repositories, validated by tests. The “Verified” subset emphasizes tasks confirmed solvable and scored by whether the submitted patch passes the repository’s test suite under the harness.","L1: Language Comprehension
L2: Planning, Logical Reasoning, Working Memory, Adaptive Error Correction, Decision-making
L3: ",L2
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 measures autonomous command-line problem solving, where agents must navigate a terminal environment, run commands, edit files, and iteratively debug to reach a goal state. It stresses long-horizon tool interaction under realistic constraints such as dependency issues, environment errors, and partial progress.","L1: Language Comprehension
L2: Planning, Decision-making, Adaptive Error Correction, Working Memory
L3: Inhibitory Control",L3
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp evaluates deep research behavior: answering questions that require multi-step web-style information gathering, synthesis, and citation-like justification rather than single-hop recall. The benchmark is designed to test whether agents can plan searches, filter noisy evidence, and integrate findings into a coherent final answer.","L1: Language Comprehension, Language Production
L2: Planning, Attention, Semantic Understanding & Context Recognition, Working Memory, Decision-making
L3: Inhibitory Control",L3
τ2-bench,https://sierra.ai/uk/blog/benchmarking-ai-agents,https://arxiv.org/abs/2406.12045,"τ2-bench evaluates agentic tool use in multi-turn customer-service-style simulations (e.g., retail, airline, telecom) where models must follow policies while using APIs to complete tasks. Success depends on reliable action sequencing, state tracking across turns, and policy adherence under pressure from user requests.","L1: Language Comprehension, Language Production
L2: Decision-making, Planning, Working Memory, Attention
L3: Social Reasoning & Theory of Mind, Inhibitory Control",L3
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld benchmarks multimodal computer-use agents that must operate graphical desktop environments to accomplish tasks across applications. It emphasizes perception of UI state (screenshots), action execution (click/type), and robust multi-step planning with error recovery.","L1: Visual Perception
L2: Scene Understanding & Visual Reasoning, Visual Attention & Eye Movements, Sensorimotor Coordination, Planning, Decision-making, Working Memory, Adaptive Error Correction
L3: ",L2
ARC-AGI,https://arcprize.org/arc-agi,https://arxiv.org/abs/1911.01547,"ARC-AGI tests fluid reasoning by requiring inference of abstract rules from a small set of input–output grid examples and applying the rule to a new grid. It aims to measure generalization to novel patterns with minimal data, rather than domain knowledge or memorization.","L1: 
L2: Logical Reasoning, Working Memory, Spatial Representation & Mapping, Attention
L3: Cognitive Flexibility",L3
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 measures long-horizon autonomy in a simulated business management setting, where an agent runs a vending machine operation over many steps and must grow its balance. High performance requires sustained coherence, strategic planning, negotiation/communication, and adaptation to changing market signals.","L1: Language Comprehension, Language Production
L2: Planning, Decision-making, Working Memory, Adaptive Error Correction
L3: Motivational Drives",L3
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas evaluates real-world tool use via the Model Context Protocol by testing whether models can discover tools, call them correctly, handle errors, and compose multi-step workflows across services. It focuses on execution reliability and integration of tool outputs into accurate final responses.","L1: Language Comprehension, Language Production
L2: Planning, Decision-making, Working Memory, Adaptive Error Correction
L3: Inhibitory Control",L3
FinanceAgent,https://www.vals.ai/benchmarks/finance_agent,,"FinanceAgent assesses agent performance on tasks typical of an entry-level financial analyst, such as extracting information from documents, performing calculations, building structured analyses, and producing professional summaries. It emphasizes correct reasoning with numbers, adherence to task constraints, and coherent reporting.","L1: Language Comprehension, Language Production
L2: Logical Reasoning, Decision-making, Planning, Working Memory, Semantic Understanding & Context Recognition, Attention
L3: ",L2
CyberGym,https://www.cybergym.io/,https://arxiv.org/abs/2506.02548,"CyberGym evaluates cybersecurity capability by asking agents to identify known vulnerabilities in real projects and, in some settings, to discover new issues under realistic constraints. It stresses iterative investigation, hypothesis testing, and patch/reproduction workflows.","L1: 
L2: Logical Reasoning, Planning, Adaptive Error Correction, Working Memory, Attention, Decision-making
L3: Inhibitory Control",L3
SpreadsheetBench,https://spreadsheetbench.github.io/,https://arxiv.org/abs/2406.14991,"SpreadsheetBench measures the ability to understand, edit, and compute over complex spreadsheets drawn from realistic scenarios. Agents must interpret layout and formulas, perform structured transformations, and maintain correctness across interdependent cells and sheets.","L1: 
L2: Logical Reasoning, Working Memory, Attention, Semantic Understanding & Context Recognition, Adaptive Error Correction, Planning, Decision-making
L3: ",L2
Humanity’s Last Exam,https://agi.safe.ai/,https://arxiv.org/abs/2501.14249,"Humanity’s Last Exam is a challenging multimodal benchmark spanning advanced questions at the frontier of human knowledge across many domains. It tests not only recall but multi-step reasoning, synthesis of evidence, and, in tool-enabled settings, effective use of external resources to reach correct answers.","L1: Language Comprehension, Language Production, Visual Perception
L2: Logical Reasoning, Working Memory, Attention, Scene Understanding & Visual Reasoning, Semantic Understanding & Context Recognition
L3: ",L2
AIME 2025,https://matharena.ai/?view=problem&comp=aime--aime_2025,https://arxiv.org/abs/2505.23281,"AIME 2025 consists of competition-style mathematics problems requiring precise multi-step derivations and careful handling of algebra, geometry, combinatorics, and number theory. It probes consistency under symbolic manipulation and the ability to avoid small logical slips.","L1: 
L2: Logical Reasoning, Working Memory, Attention, Adaptive Error Correction, Planning
L3: ",L2
