Benchmark,Website,Paper,Description,Cognitive Functions
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates software engineering agents on real GitHub issues where the model must modify an existing repository to make tests pass. The “Verified” subset uses tasks screened to be solvable and reliably evaluated, emphasizing correct patch generation under realistic codebase constraints.","Planning, Logical Reasoning, Working Memory, Adaptive Error Correction, Decision-making, Language Comprehension, Semantic Understanding & Context Recognition"
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 measures how well an agent can complete real tasks in a command-line environment, typically requiring shell usage, file editing, package/tool invocation, and iterative debugging. Success depends on maintaining state across steps and correcting mistakes based on tool outputs and errors.","Planning, Decision-making, Working Memory, Adaptive Error Correction, Attention, Language Comprehension, Semantic Understanding & Context Recognition"
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp evaluates research-style question answering where the agent must use browsing/search to find information and synthesize a supported answer. It stresses information foraging, source selection, and integrating evidence across multiple documents under time and context constraints.","Planning, Decision-making, Attention, Working Memory, Semantic Understanding & Context Recognition, Language Comprehension, Language Production"
τ2-bench,https://sierra.ai/uk/blog/benchmarking-ai-agents,https://arxiv.org/abs/2406.12045,"τ2-bench tests interactive customer-support agents in simulated domains (e.g., retail/airline/telecom) that must follow policies while using tools/APIs across multi-turn dialogues. It emphasizes reliable tool calling, consistent policy adherence, and managing long conversational trajectories with a simulated user.","Social Reasoning & Theory of Mind, Language Comprehension, Language Production, Planning, Decision-making, Working Memory, Inhibitory Control, Attention"
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld evaluates computer-use agents that operate graphical desktop environments to complete tasks (e.g., navigating apps, settings, web UIs) from pixel/GUI observations. It stresses robust perception-action loops, handling UI variability, and multi-step execution with recovery from mistakes.","Visual Perception, Scene Understanding & Visual Reasoning, Visual Attention & Eye Movements, Planning, Decision-making, Sensorimotor Coordination, Working Memory, Adaptive Error Correction"
ARC-AGI,https://arcprize.org/arc-agi,https://arxiv.org/abs/1911.01547,"ARC-AGI measures fluid reasoning on novel grid-based pattern induction tasks: models infer a transformation rule from a few examples and apply it to a new input. It is designed to reduce reliance on memorized knowledge and instead emphasize abstraction, compositional reasoning, and generalization.","Logical Reasoning, Cognitive Flexibility, Working Memory, Spatial Representation & Mapping, Planning, Attention"
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon autonomous agency by running a simulated vending machine business over extended time, requiring procurement, pricing, inventory management, and negotiation-style interactions. The score reflects sustained coherence and strategic adaptation over many sequential decisions.","Planning, Decision-making, Working Memory, Reward Mechanisms, Adaptive Error Correction, Motivational Drives, Semantic Understanding & Context Recognition"
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas evaluates real-world tool use via the Model Context Protocol by requiring multi-step workflows across authentic APIs and tool servers. Tasks probe tool discovery, correct parameterization, error handling/retries, and synthesis of tool outputs into a final response.","Planning, Decision-making, Working Memory, Adaptive Error Correction, Attention, Language Comprehension, Semantic Understanding & Context Recognition"
FinanceAgent,https://www.vals.ai/benchmarks/finance_agent,,"FinanceAgent assesses whether models can perform tasks expected of an entry-level financial analyst, such as analysis, modeling, document-driven reasoning, and generating finance-relevant deliverables. It emphasizes domain-grounded reasoning, structured outputs, and correctness under realistic constraints.","Logical Reasoning, Semantic Understanding & Context Recognition, Language Comprehension, Language Production, Working Memory, Planning, Decision-making"
CyberGym,https://www.cybergym.io/,https://arxiv.org/abs/2506.02548,"CyberGym evaluates cybersecurity agents on tasks involving identifying and exploiting known vulnerabilities and, in some cases, discovering new ones in real open-source projects. It emphasizes systematic investigation, code/behavior reasoning, and iterative refinement from tool feedback.","Planning, Logical Reasoning, Working Memory, Adaptive Error Correction, Decision-making, Attention, Semantic Understanding & Context Recognition"
