Benchmark,Website,Paper,Description,Cognitive Functions
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates models on real GitHub issues that require producing a correct code patch in a Python repository. The “Verified” subset consists of tasks that have been confirmed by human review to be solvable and to have reliable, test-based grading, emphasizing end-to-end bug fixing and feature implementation.","Language Comprehension, Planning, Decision-making, Logical Reasoning, Adaptive Error Correction, Working Memory"
SWE-bench Multilingual,https://www.swebench.com/multilingual.html,https://arxiv.org/abs/2504.21798,"SWE-bench Multilingual extends the SWE-bench format beyond Python to multiple programming languages, testing whether a model can diagnose and repair issues across diverse ecosystems. It stresses robust code reasoning under varying syntax, tooling conventions, and library idioms while still requiring an executable patch that passes tests.","Language Comprehension, Cognitive Flexibility, Planning, Decision-making, Logical Reasoning, Adaptive Error Correction, Working Memory"
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a larger and more difficult software engineering benchmark designed to be more realistic and contamination-resistant, spanning multiple languages and industrial-style tasks. It emphasizes longer-horizon debugging and implementation, where models must select strategies, manage context, and iteratively converge on a correct solution under strict evaluation.","Language Comprehension, Planning, Decision-making, Logical Reasoning, Adaptive Error Correction, Working Memory"
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 measures how well an agent can complete real tasks in a command-line environment, such as configuring tools, manipulating files, running programs, and troubleshooting failures. Success depends on issuing correct sequences of terminal commands and adapting when outputs, errors, or environment constraints change.","Planning, Decision-making, Adaptive Error Correction, Working Memory, Language Comprehension"
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp evaluates deep-research style question answering where a model must use web browsing/search to locate and synthesize evidence for hard queries. It probes the ability to plan an investigation, extract relevant facts from sources, and maintain coherence while integrating information across multiple documents.","Planning, Decision-making, Language Comprehension, Semantic Understanding & Context Recognition, Working Memory, Episodic Memory"
τ2-bench,https://sierra.ai/uk/blog/benchmarking-ai-agents,https://arxiv.org/abs/2406.12045,"τ2-bench (Tau2-bench) evaluates interactive tool-using agents in multi-turn customer support scenarios with policies, constraints, and simulated users. The agent must follow domain rules, call APIs correctly, and manage conversational state while balancing helpfulness and compliance.","Language Comprehension, Language Production, Social Reasoning & Theory of Mind, Inhibitory Control, Decision-making, Planning, Working Memory"
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld tests multimodal “computer use” agents that must complete tasks on a real or realistic operating system desktop using screenshots and action interfaces (e.g., clicks, typing). It measures perception-to-action competence: interpreting UI state, navigating applications, and executing multi-step procedures reliably.","Visual Perception, Visual Attention & Eye Movements, Sensorimotor Coordination, Planning, Decision-making, Working Memory, Adaptive Error Correction"
ARC-AGI,https://arcprize.org/arc-agi,https://arxiv.org/abs/1911.01547,"ARC-AGI measures abstract pattern discovery and generalization from a few examples using grid-based input-output tasks. Models must infer latent rules and apply them to novel instances, emphasizing flexible reasoning rather than memorized domain knowledge.","Logical Reasoning, Cognitive Flexibility, Working Memory, Spatial Representation & Mapping, Attention"
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon autonomous agent performance in a simulated business setting, where the agent manages a vending machine operation over an extended period. It requires sustained strategy, resource management, adaptation to changing conditions, and coherent decision-making across many steps.","Planning, Decision-making, Reward Mechanisms, Working Memory, Episodic Memory, Adaptive Error Correction, Self-reflection"
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas benchmarks real-world tool use via the Model Context Protocol, requiring models to discover tools, call them with correct arguments, handle errors, and combine outputs into a final answer. It emphasizes multi-step workflow execution across heterogeneous services, closer to production integration than toy tool-use tasks.","Planning, Decision-making, Adaptive Error Correction, Working Memory, Language Comprehension"
