Benchmark,Website,Paper,Description,Cognitive Functions,Max AI Tier
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates agentic software engineering by asking a model to produce a patch that fixes real issues in open-source Python repositories, validated by running the project’s tests. The “Verified” subset consists of tasks that have been manually confirmed to be solvable and correctly specified, emphasizing reliable end-to-end bug fixing over toy coding.","L1: Language Comprehension, Language Production
L2: Planning, Decision-making, Logical Reasoning, Adaptive Error Correction, Working Memory, Semantic Understanding & Context Recognition
L3: ",L2
SWE-bench Multilingual,https://www.swebench.com/multilingual.html,https://arxiv.org/abs/2504.21798,"SWE-bench Multilingual extends SWE-bench-style repository patching to multiple programming languages, assessing whether a model can understand unfamiliar codebases and toolchains beyond Python. It emphasizes robust cross-language debugging, patch generation, and test-driven validation under realistic repo constraints.","L1: Language Comprehension, Language Production
L2: Planning, Decision-making, Logical Reasoning, Adaptive Error Correction, Working Memory, Semantic Understanding & Context Recognition
L3: Cognitive Flexibility",L3
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a larger and more difficult software engineering benchmark designed to be more industrially relevant and contamination-resistant, spanning multiple languages and more complex issues. It tests whether a model can navigate larger repositories, interpret failing tests and logs, and deliver correct patches under stricter evaluation conditions.","L1: Language Comprehension, Language Production
L2: Planning, Decision-making, Logical Reasoning, Adaptive Error Correction, Working Memory, Semantic Understanding & Context Recognition
L3: Cognitive Flexibility",L3
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 evaluates real-world command-line task completion in isolated environments, requiring models to inspect files, run commands, interpret outputs, and iteratively refine actions. It focuses on practical “computer use” through a terminal, where success depends on correct sequencing, debugging, and state tracking across steps.","L1: 
L2: Planning, Decision-making, Adaptive Error Correction, Working Memory, Semantic Understanding & Context Recognition
L3: Inhibitory Control, Cognitive Flexibility",L3
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp evaluates deep research and browsing competence using a controlled document set, where models must search, read, synthesize evidence, and produce grounded answers. It stresses tool-augmented information seeking, long-horizon planning of queries, and integrating multiple sources while avoiding unsupported claims.","L1: Language Comprehension, Language Production
L2: Planning, Decision-making, Attention, Semantic Understanding & Context Recognition, Episodic Memory, Working Memory
L3: ",L2
τ2-bench,https://sierra.ai/uk/blog/benchmarking-ai-agents,https://arxiv.org/abs/2406.12045,"τ2-bench measures an agent’s ability to handle multi-turn customer-support scenarios while calling tools/APIs and adhering to domain policies (e.g., retail, airline, telecom). It emphasizes policy-following behavior in interactive contexts, including correct tool selection, consistent state updates, and resolving ambiguous user goals.","L1: Language Comprehension, Language Production
L2: Planning, Decision-making, Working Memory, Adaptive Error Correction, Reward Mechanisms
L3: Social Reasoning & Theory of Mind, Empathy, Inhibitory Control",L3
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld evaluates multimodal computer-use agents on realistic operating system tasks, requiring interaction with GUI elements, application workflows, and multi-step procedures. Models must perceive screens, decide actions, and execute long sequences reliably while tracking progress and recovering from errors.","L1: Visual Perception
L2: Visual Attention & Eye Movements, Scene Understanding & Visual Reasoning, Planning, Decision-making, Working Memory, Spatial Representation & Mapping, Sensorimotor Coordination, Adaptive Error Correction
L3: ",L2
ARC-AGI,https://arcprize.org/arc-agi,https://arxiv.org/abs/1911.01547,ARC-AGI tests few-shot abstract reasoning on grid-based puzzles where the rule must be inferred from only a handful of input–output examples. It is designed to probe generalization to novel patterns and transformations rather than memorized domain knowledge.,"L1: 
L2: Logical Reasoning, Working Memory, Attention, Spatial Representation & Mapping, Scene Understanding & Visual Reasoning, Planning
L3: Cognitive Flexibility",L3
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon autonomy by having an agent run a simulated vending-machine business over many decisions, optimizing inventory, pricing, procurement, and strategy. Performance depends on maintaining coherent goals across time, adapting to market dynamics, and learning from feedback signals like profit and stockouts.","L1: 
L2: Planning, Decision-making, Working Memory, Episodic Memory, Reward Mechanisms, Adaptive Error Correction
L3: Motivational Drives, Self-reflection",L3
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas evaluates real-world tool use via the Model Context Protocol, requiring models to discover appropriate tools, invoke them correctly, handle errors, and synthesize results into accurate answers. Tasks typically require multi-step workflows across heterogeneous servers/APIs, emphasizing robust orchestration over single-call tool usage.","L1: Language Comprehension, Language Production
L2: Planning, Decision-making, Working Memory, Semantic Understanding & Context Recognition, Adaptive Error Correction
L3: Cognitive Flexibility",L3
