Benchmark,Website,Paper,Description,Cognitive Functions
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates an AI model’s ability to resolve real-world GitHub software issues by generating patches that pass the project’s tests, with a curated set of tasks verified by humans to be solvable. It targets end-to-end bug fixing and feature implementation in Python repositories under a standardized, reliability-focused evaluation setup.","Planning, Decision-making, Adaptive Error Correction, Working Memory, Logical Reasoning, Semantic Understanding & Context Recognition, Language Comprehension, Language Production"
SWE-bench Multilingual,https://www.swebench.com/multilingual.html,https://arxiv.org/abs/2504.21798,"SWE-bench Multilingual extends the SWE-bench paradigm beyond Python to multiple programming languages, assessing whether models can diagnose and patch issues across diverse ecosystems and toolchains. It emphasizes transfer of debugging and code-editing competence across languages and project conventions.","Planning, Decision-making, Adaptive Error Correction, Working Memory, Logical Reasoning, Semantic Understanding & Context Recognition, Language Comprehension, Language Production, Cognitive Flexibility"
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a larger and more challenging software engineering benchmark designed to be more realistic and more resistant to contamination, spanning multiple languages and harder issue types. It evaluates whether models can produce correct patches under stricter, industrially relevant conditions and broader repository diversity.","Planning, Decision-making, Adaptive Error Correction, Working Memory, Logical Reasoning, Semantic Understanding & Context Recognition, Language Comprehension, Language Production, Cognitive Flexibility"
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 evaluates agentic performance on real tasks executed in a command-line environment, where models must iteratively run commands, inspect outputs, and modify files to achieve a goal. It measures practical tool use, debugging, and execution-aware reasoning under environmental constraints and potential flakiness.","Planning, Decision-making, Adaptive Error Correction, Working Memory, Logical Reasoning, Semantic Understanding & Context Recognition, Language Comprehension, Language Production, Attention"
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp evaluates deep-research agents on questions that require searching, reading, and synthesizing information from a fixed document collection to enable reproducible scoring. It probes multi-step retrieval, evidence integration across sources, and maintaining coherence while navigating long or noisy information.","Planning, Decision-making, Attention, Working Memory, Episodic Memory, Semantic Understanding & Context Recognition, Language Comprehension, Language Production, Logical Reasoning"
τ2-bench,https://sierra.ai/uk/blog/benchmarking-ai-agents,https://arxiv.org/abs/2406.12045,"τ2-bench evaluates interactive customer-support-style agents operating over multi-turn dialogs with simulated users and APIs, while following domain policies (e.g., retail, airline, telecom). It measures robust tool calling, policy adherence under pressure, and consistent conversational behavior across long task horizons.","Planning, Decision-making, Inhibitory Control, Social Reasoning & Theory of Mind, Empathy, Working Memory, Attention, Language Comprehension, Language Production, Adaptive Error Correction"
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld measures computer-use agency in a realistic desktop environment, where models must interpret screenshots and execute actions to complete tasks across applications. It emphasizes visually grounded interaction, multi-step navigation, and recovery from mistakes in a dynamic GUI setting.","Visual Perception, Scene Understanding & Visual Reasoning, Visual Attention & Eye Movements, Planning, Decision-making, Sensorimotor Coordination, Working Memory, Adaptive Error Correction"
ARC-AGI,https://arcprize.org/arc-agi,https://arxiv.org/abs/1911.01547,ARC-AGI evaluates “fluid” reasoning by requiring models to infer abstract rules from a few grid-based input-output examples and apply them to new inputs. The tasks are designed to reward generalization and compositional pattern discovery rather than memorization or domain knowledge.,"Logical Reasoning, Cognitive Flexibility, Working Memory, Attention, Spatial Representation & Mapping, Scene Understanding & Visual Reasoning"
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 evaluates long-horizon autonomous decision-making in a simulated vending-machine business, where an agent must manage inventory, pricing, supplier negotiation, and cash flow over an extended timeline. It tests sustained coherence, strategy formation, and adaptation to changing market signals across many steps.","Planning, Decision-making, Reward Mechanisms, Working Memory, Episodic Memory, Adaptive Error Correction, Motivational Drives"
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas evaluates real-world tool-use through the Model Context Protocol, requiring models to discover tools, call APIs correctly, manage multi-step workflows, and synthesize results. It emphasizes execution reliability, error handling, and orchestrating sequences of tool calls to complete tasks.","Planning, Decision-making, Adaptive Error Correction, Working Memory, Attention, Language Comprehension, Language Production, Logical Reasoning"
