Benchmark,Website,Paper,Description,Cognitive Functions
SWE-bench Verified,https://openai.com/index/introducing-swe-bench-verified/,https://arxiv.org/abs/2310.06770,"SWE-bench Verified evaluates whether a model can solve real GitHub issues by generating a correct patch in an existing Python codebase and passing a human-validated test suite. The “Verified” subset focuses on problems confirmed solvable and aims to reduce noise from ambiguous tasks or incorrect tests, emphasizing reliable end-to-end software engineering.","Planning, Decision-making, Logical Reasoning, Working Memory, Adaptive Error Correction, Language Comprehension"
SWE-bench Multilingual,https://www.swebench.com/multilingual.html,https://arxiv.org/abs/2504.21798,"SWE-bench Multilingual extends the SWE-bench paradigm beyond Python to multiple programming languages, assessing whether models can navigate different tooling, libraries, and language idioms while fixing real repository issues. It emphasizes robust transfer of software-engineering behaviors across language ecosystems rather than overfitting to one stack.","Planning, Decision-making, Logical Reasoning, Working Memory, Adaptive Error Correction, Language Comprehension, Cognitive Flexibility"
SWE-bench Pro,https://scale.com/research/swe_bench_pro,https://arxiv.org/abs/2509.16941,"SWE-bench Pro is a larger and more difficult software engineering benchmark designed to be more contamination-resistant and industrially realistic, including tasks across several programming languages and tougher bug-fix/feature contexts. It stresses multi-step repo understanding, test-driven iteration, and higher difficulty issue resolution than standard SWE-bench variants.","Planning, Decision-making, Logical Reasoning, Working Memory, Adaptive Error Correction, Language Comprehension, Cognitive Flexibility"
Terminal-Bench 2.0,https://www.tbench.ai/,,"Terminal-Bench 2.0 evaluates agentic performance in command-line environments, where models must complete practical tasks by issuing shell commands, editing files, installing dependencies, and iterating based on outputs. Success requires reliable tool use, error recovery, and maintaining task state over multi-step workflows.","Planning, Decision-making, Working Memory, Adaptive Error Correction, Language Comprehension"
BrowseComp,https://openai.com/index/browsecomp/,https://arxiv.org/abs/2504.12516,"BrowseComp evaluates “deep research” style agents by requiring them to find and synthesize answers using browsing/search over a controlled document collection, supporting reproducible retrieval conditions. It tests whether an agent can plan a search strategy, integrate evidence across sources, and produce a grounded final answer under constraints.","Planning, Decision-making, Working Memory, Semantic Understanding & Context Recognition, Language Comprehension, Language Production, Adaptive Error Correction"
τ2-bench,https://sierra.ai/uk/blog/benchmarking-ai-agents,https://arxiv.org/abs/2406.12045,"τ2-bench measures tool-using customer-support agents in simulated domains (e.g., retail, airline, telecom) where the model must interact with a user and APIs while following domain policies. It emphasizes multi-turn state tracking, policy adherence under pressure, and robust decision-making across long interaction trajectories.","Social Reasoning & Theory of Mind, Empathy, Inhibitory Control, Decision-making, Planning, Working Memory, Language Comprehension, Language Production, Adaptive Error Correction"
OSWorld,https://os-world.github.io/,https://arxiv.org/abs/2404.07972,"OSWorld evaluates multimodal “computer use” agents that must operate within an operating-system-like environment by interpreting screens and taking UI actions over many steps. It tests grounded perception-to-action loops such as navigation, form filling, and application workflows under step limits and dynamic interfaces.","Visual Perception, Scene Understanding & Visual Reasoning, Visual Attention & Eye Movements, Sensorimotor Coordination, Planning, Decision-making, Working Memory, Adaptive Error Correction"
ARC-AGI,https://arcprize.org/arc-agi,https://arxiv.org/abs/1911.01547,"ARC-AGI tests abstract, few-shot pattern induction using small grid-based input–output examples, where the model must infer the latent rule and apply it to a new grid. The benchmark is designed to emphasize generalizable reasoning and compositional rule discovery rather than domain knowledge.","Logical Reasoning, Cognitive Flexibility, Working Memory, Spatial Representation & Mapping, Scene Understanding & Visual Reasoning, Attention"
Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,https://arxiv.org/abs/2502.15840,"Vending-Bench 2 measures long-horizon agent coherence in a simulated business environment where the model manages a vending-machine operation over extended time (e.g., a year). It requires sustained planning and adaptation—handling inventory, pricing, supplier interaction, and dynamic conditions to maximize outcomes.","Planning, Decision-making, Working Memory, Reward Mechanisms, Adaptive Error Correction, Self-reflection, Motivational Drives, Social Reasoning & Theory of Mind"
MCP-Atlas,https://scale.com/leaderboard/mcp_atlas,,"MCP-Atlas evaluates real-world tool use via the Model Context Protocol (MCP), emphasizing multi-step workflows across authentic APIs and servers. Tasks require discovering appropriate tools, invoking them with correct parameters, handling failures/retries, and synthesizing results into correct responses.","Planning, Decision-making, Working Memory, Adaptive Error Correction, Language Comprehension, Language Production"
